player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg.,x3p,x3pa,x3p.,x2p,x2pa,x2p.,efg.,ft,fta,ft.,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,season_end
Derek Fisher,SG,39,OKC,81,0,1428,141,361,0.391,88,229,0.384279475982533,53,132,0.401515151515151,0.512,55,71,0.775,12,110,122,117,70,3,49,157,425,2013-2014,2013
Evan Fournier,SG,21,DEN,76,4,1503,228,544,0.419,89,237,0.375527426160338,139,307,0.452768729641694,0.501,93,123,0.756,34,168,202,112,34,7,100,179,638,2013-2014,2013
Randy Foye,SG,30,DEN,81,78,2485,361,875,0.413,189,498,0.379518072289157,172,377,0.456233421750663,0.521,157,185,0.849,36,196,232,287,67,39,145,205,1068,2013-2014,2013
Jamaal Franklin,SG,22,MEM,21,0,161,16,39,0.41,5,11,0.454545454545455,11,28,0.392857142857143,0.474,2,2,1,4,19,23,6,4,2,11,23,39,2013-2014,2013
Jimmer Fredette,SG,24,TOT,49,0,519,107,227,0.471,40,84,0.476190476190476,67,143,0.468531468531469,0.559,19,21,0.905,8,44,52,64,14,3,48,35,273,2013-2014,2013
Joel Freeland,C,26,POR,52,0,727,77,162,0.475,0,2,0,77,160,0.48125,0.475,20,29,0.69,88,120,208,36,10,22,32,95,174,2013-2014,2013
Channing Frye,PF,30,PHO,82,82,2312,336,778,0.432,160,432,0.37037037037037,176,346,0.508670520231214,0.535,78,95,0.821,73,343,416,98,60,63,89,245,910,2013-2014,2013
Francisco Garcia,SF,32,HOU,55,4,1083,118,294,0.401,69,193,0.357512953367876,49,101,0.485148514851485,0.519,10,19,0.526,21,101,122,63,27,33,30,120,315,2013-2014,2013
Kevin Garnett,C,37,BRK,54,54,1109,157,356,0.441,0,3,0,157,353,0.444759206798867,0.441,38,47,0.809,60,298,358,82,43,40,69,123,352,2013-2014,2013
Diante Garrett,PG,25,UTA,71,0,1048,101,265,0.381,36,96,0.375,65,169,0.384615384615385,0.449,10,12,0.833,11,86,97,120,41,5,75,75,248,2013-2014,2013
Marc Gasol,C,29,MEM,59,59,1970,336,711,0.473,2,11,0.181818181818182,334,700,0.477142857142857,0.474,185,241,0.768,84,340,424,215,59,76,111,150,859,2013-2014,2013
Pau Gasol,C,33,LAL,60,60,1884,425,885,0.48,4,14,0.285714285714286,421,871,0.483352468427095,0.482,187,254,0.736,124,456,580,201,27,92,141,124,1041,2013-2014,2013
Rudy Gay,SF,27,TOT,73,73,2531,537,1179,0.455,65,197,0.32994923857868,472,982,0.480651731160896,0.483,318,387,0.822,113,324,437,209,95,56,224,171,1457,2013-2014,2013
Alonzo Gee,SF,26,CLE,65,24,1020,98,236,0.415,19,58,0.327586206896552,79,178,0.443820224719101,0.456,43,61,0.705,35,114,149,47,39,15,44,96,258,2013-2014,2013
Paul George,SF,23,IND,80,80,2898,577,1362,0.424,182,500,0.364,395,862,0.458236658932715,0.49,401,464,0.864,64,478,542,283,151,22,224,198,1737,2013-2014,2013
Taj Gibson,PF,28,CHI,82,8,2351,429,896,0.479,0,7,0,429,889,0.482564679415073,0.479,211,281,0.751,200,358,558,91,41,112,150,207,1069,2013-2014,2013
Manu Ginobili,SG,36,SAS,68,3,1550,294,627,0.469,90,258,0.348837209302326,204,369,0.552845528455285,0.541,160,188,0.851,30,172,202,293,70,17,139,128,838,2013-2014,2013
Rudy Gobert,C,21,UTA,45,0,434,36,74,0.486,0,0,NA,36,74,0.486486486486487,0.486,32,65,0.492,51,104,155,7,8,41,32,57,104,2013-2014,2013
Ryan Gomes,SF,31,OKC,5,0,34,3,8,0.375,0,2,0,3,6,0.5,0.375,0,0,NA,0,4,4,1,0,0,1,5,6,2013-2014,2013
Drew Gooden,C,32,WAS,22,0,395,76,143,0.531,7,17,0.411764705882353,69,126,0.547619047619048,0.556,24,27,0.889,37,77,114,15,10,7,17,53,183,2013-2014,2013
Archie Goodwin,SG,19,PHO,52,0,533,76,167,0.455,5,36,0.138888888888889,71,131,0.541984732824427,0.47,37,55,0.673,25,62,87,20,20,11,44,45,194,2013-2014,2013
Ben Gordon,SG,30,CHA,19,0,279,37,108,0.343,8,29,0.275862068965517,29,79,0.367088607594937,0.38,17,21,0.81,3,24,27,21,10,2,21,18,99,2013-2014,2013
Eric Gordon,SG,25,NOP,64,64,2057,356,817,0.436,101,258,0.391472868217054,255,559,0.456171735241503,0.498,175,223,0.785,30,135,165,208,74,12,134,114,988,2013-2014,2013
Marcin Gortat,C,29,WAS,81,80,2655,455,840,0.542,1,1,1,454,839,0.541120381406436,0.542,157,229,0.686,202,565,767,138,41,121,126,201,1068,2013-2014,2013
Danny Granger,SF,30,TOT,41,2,847,116,307,0.378,43,128,0.3359375,73,179,0.407821229050279,0.448,63,67,0.94,31,102,133,41,12,17,46,62,338,2013-2014,2013
Aaron Gray,C,29,TOT,37,6,355,27,61,0.443,0,1,0,27,60,0.45,0.443,11,20,0.55,42,69,111,22,10,8,31,64,65,2013-2014,2013
Danny Green,SG,26,SAS,68,59,1651,218,505,0.432,132,318,0.415094339622642,86,187,0.459893048128342,0.562,50,63,0.794,25,204,229,104,65,61,76,107,618,2013-2014,2013
Draymond Green,SF,23,GSW,82,12,1797,187,459,0.407,55,165,0.333333333333333,132,294,0.448979591836735,0.467,82,123,0.667,86,323,409,152,102,72,91,231,511,2013-2014,2013
Gerald Green,SG,28,PHO,82,48,2330,448,1006,0.445,204,510,0.4,244,496,0.491935483870968,0.547,195,230,0.848,48,227,275,122,70,42,145,220,1295,2013-2014,2013
Jeff Green,SF,27,BOS,82,82,2805,482,1171,0.412,135,396,0.340909090909091,347,775,0.447741935483871,0.469,283,356,0.795,54,326,380,138,57,47,165,180,1382,2013-2014,2013
Willie Green,SG,32,LAC,55,9,869,102,271,0.376,41,121,0.338842975206612,61,150,0.406666666666667,0.452,28,34,0.824,12,66,78,50,22,11,34,96,273,2013-2014,2013
Blake Griffin,PF,24,LAC,80,80,2863,718,1359,0.528,12,44,0.272727272727273,706,1315,0.536882129277567,0.533,482,674,0.715,192,565,757,309,92,51,224,265,1930,2013-2014,2013
Jorge Gutierrez,PG,25,BRK,15,2,244,25,54,0.463,3,12,0.25,22,42,0.523809523809524,0.491,9,12,0.75,3,19,22,30,10,1,14,37,62,2013-2014,2013
Jordan Hamilton,SF,23,TOT,60,12,1019,147,376,0.391,70,198,0.353535353535354,77,178,0.432584269662921,0.484,40,51,0.784,32,162,194,52,44,20,46,67,404,2013-2014,2013
Justin Hamilton,C,23,TOT,8,0,72,9,20,0.45,3,9,0.333333333333333,6,11,0.545454545454545,0.525,5,5,1,4,3,7,0,5,0,4,8,26,2013-2014,2013
Tyler Hansbrough,PF,28,TOR,64,4,978,93,196,0.474,0,2,0,93,194,0.479381443298969,0.474,126,185,0.681,120,167,287,17,28,19,47,132,312,2013-2014,2013
Tim Hardaway,SG,21,NYK,81,1,1875,294,687,0.428,130,358,0.363128491620112,164,329,0.498480243161094,0.523,106,128,0.828,19,102,121,66,44,7,47,144,824,2013-2014,2013
James Harden,SG,24,HOU,73,73,2777,549,1205,0.456,177,483,0.366459627329193,372,722,0.515235457063712,0.529,576,665,0.866,61,283,344,446,115,29,265,177,1851,2013-2014,2013
Maurice Harkless,SF,20,ORL,80,41,1950,224,483,0.464,59,154,0.383116883116883,165,329,0.501519756838906,0.525,85,143,0.594,69,195,264,80,97,50,86,140,592,2013-2014,2013
Josh Harrellson,C,24,DET,32,0,317,38,82,0.463,12,31,0.387096774193548,26,51,0.509803921568627,0.537,5,7,0.714,30,46,76,15,6,15,10,44,93,2013-2014,2013
Al Harrington,PF,33,WAS,34,0,511,82,207,0.396,34,100,0.34,48,107,0.448598130841121,0.478,27,35,0.771,15,65,80,28,14,0,34,72,225,2013-2014,2013
Devin Harris,PG,30,DAL,40,0,818,96,254,0.378,31,101,0.306930693069307,65,153,0.42483660130719,0.439,92,115,0.8,8,77,85,178,28,2,59,72,315,2013-2014,2013
Elias Harris,SF,24,LAL,2,0,11,0,1,0,0,0,NA,0,1,0,0,0,0,NA,1,0,1,1,1,0,0,0,0,2013-2014,2013
Manny Harris,SG,24,LAL,9,0,180,28,70,0.4,7,20,0.35,21,50,0.42,0.45,10,12,0.833,7,27,34,11,4,1,9,10,73,2013-2014,2013
Mike Harris,PF,30,UTA,20,0,225,29,61,0.475,0,2,0,29,59,0.491525423728814,0.475,26,27,0.963,15,18,33,5,16,7,11,36,84,2013-2014,2013
Tobias Harris,PF,21,ORL,61,36,1850,332,716,0.464,32,126,0.253968253968254,300,590,0.508474576271186,0.486,197,244,0.807,88,336,424,82,41,24,78,143,893,2013-2014,2013
Udonis Haslem,PF,33,MIA,46,18,653,74,146,0.507,0,0,NA,74,146,0.506849315068493,0.507,25,44,0.568,42,133,175,13,11,15,24,79,173,2013-2014,2013
Spencer Hawes,C,25,TOT,80,78,2470,403,883,0.456,128,308,0.415584415584416,275,575,0.478260869565217,0.529,119,152,0.783,131,529,660,240,44,94,173,237,1053,2013-2014,2013
Chuck Hayes,C,30,TOT,61,1,754,56,130,0.431,0,1,0,56,129,0.434108527131783,0.431,20,25,0.8,69,141,210,35,34,12,33,95,132,2013-2014,2013
Gordon Hayward,SF,23,UTA,77,77,2800,426,1032,0.413,85,280,0.303571428571429,341,752,0.453457446808511,0.454,311,381,0.816,62,329,391,400,110,40,212,155,1248,2013-2014,2013
Gerald Henderson,SG,26,CHA,77,77,2461,403,930,0.433,40,115,0.347826086956522,363,815,0.445398773006135,0.455,235,309,0.761,31,279,310,199,51,32,113,159,1081,2013-2014,2013
Xavier Henry,SF,22,LAL,43,5,908,144,345,0.417,28,81,0.345679012345679,116,264,0.439393939393939,0.458,116,177,0.655,25,89,114,51,44,7,57,79,432,2013-2014,2013
John Henson,PF,23,MIL,70,23,1856,344,639,0.538,0,1,0,344,638,0.539184952978056,0.538,91,177,0.514,171,326,497,113,41,116,114,185,779,2013-2014,2013
Roy Hibbert,C,27,IND,81,81,2409,331,754,0.439,2,5,0.4,329,749,0.439252336448598,0.44,207,269,0.77,202,336,538,91,29,182,148,269,871,2013-2014,2013
J.J. Hickson,PF,25,DEN,69,52,1859,332,654,0.508,0,8,0,332,646,0.513931888544892,0.508,150,290,0.517,206,426,632,96,47,51,128,177,814,2013-2014,2013
Nene Hilario,PF,31,WAS,53,37,1560,299,594,0.503,1,5,0.2,298,589,0.505942275042445,0.504,155,266,0.583,65,229,294,153,64,47,117,164,754,2013-2014,2013
George Hill,PG,27,IND,76,76,2434,272,616,0.442,95,260,0.365384615384615,177,356,0.497191011235955,0.519,142,176,0.807,53,230,283,265,75,23,92,158,781,2013-2014,2013
Jordan Hill,PF,26,LAL,72,32,1500,286,521,0.549,0,1,0,286,520,0.55,0.549,124,181,0.685,194,341,535,54,29,64,75,172,696,2013-2014,2013
Solomon Hill,SF,22,IND,28,0,226,17,40,0.425,7,23,0.304347826086957,10,17,0.588235294117647,0.513,6,7,0.857,9,32,41,12,5,2,13,19,47,2013-2014,2013
Kirk Hinrich,PG,33,CHI,73,61,2116,243,619,0.393,85,242,0.351239669421488,158,377,0.419098143236074,0.461,95,125,0.76,31,161,192,286,80,26,120,203,666,2013-2014,2013
Jrue Holiday,PG,23,NOP,34,34,1143,203,454,0.447,30,77,0.38961038961039,173,377,0.458885941644562,0.48,51,63,0.81,28,114,142,268,56,12,105,92,487,2013-2014,2013
Ryan Hollins,PF,29,LAC,61,0,482,53,72,0.736,0,0,NA,53,72,0.736111111111111,0.736,35,56,0.625,31,59,90,8,9,31,29,87,141,2013-2014,2013
Scotty Hopson,SG,24,CLE,2,0,7,0,4,0,0,2,0,0,2,0,0,1,2,0.5,0,0,0,1,1,0,0,0,1,2013-2014,2013
Al Horford,C,27,ATL,29,29,958,238,420,0.567,4,11,0.363636363636364,234,409,0.572127139364303,0.571,58,85,0.682,66,178,244,76,27,44,64,56,538,2013-2014,2013
Dwight Howard,C,28,HOU,71,71,2396,473,800,0.591,2,7,0.285714285714286,471,793,0.593947036569987,0.593,349,638,0.547,231,635,866,131,60,128,229,240,1297,2013-2014,2013
Robbie Hummel,SF,24,MIN,53,5,655,67,177,0.379,32,89,0.359550561797753,35,88,0.397727272727273,0.469,15,16,0.938,35,97,132,23,16,2,10,57,181,2013-2014,2013
Kris Humphries,PF,28,BOS,69,30,1376,231,461,0.501,0,2,0,231,459,0.503267973856209,0.501,117,144,0.813,127,282,409,67,31,61,64,136,579,2013-2014,2013
Serge Ibaka,PF,24,OKC,81,81,2666,524,978,0.536,23,60,0.383333333333333,501,918,0.545751633986928,0.548,156,199,0.784,224,485,709,85,39,219,123,233,1227,2013-2014,2013
Andre Iguodala,SF,30,GSW,63,63,2040,220,458,0.48,62,175,0.354285714285714,158,283,0.558303886925795,0.548,86,132,0.652,53,240,293,263,95,18,100,103,588,2013-2014,2013
Ersan Ilyasova,PF,26,MIL,55,47,1478,237,579,0.409,37,131,0.282442748091603,200,448,0.446428571428571,0.441,107,130,0.823,107,235,342,72,46,8,61,135,618,2013-2014,2013
Kyrie Irving,PG,21,CLE,71,71,2496,532,1237,0.43,123,344,0.357558139534884,409,893,0.458006718924972,0.48,291,338,0.861,52,207,259,433,108,23,190,163,1478,2013-2014,2013
Royal Ivey,SG,32,OKC,2,0,5,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,1,1,0,0,0,0,1,0,2013-2014,2013
Jarrett Jack,PG,30,CLE,80,31,2252,286,698,0.41,63,185,0.340540540540541,223,513,0.434697855750487,0.455,125,149,0.839,22,201,223,324,56,22,133,133,760,2013-2014,2013
Reggie Jackson,PG,23,OKC,80,36,2277,403,916,0.44,83,245,0.338775510204082,320,671,0.476900149031297,0.485,158,177,0.893,43,270,313,331,85,9,168,142,1047,2013-2014,2013
Stephen Jackson,SF,35,LAC,9,0,107,6,26,0.231,1,14,0.0714285714285714,5,12,0.416666666666667,0.25,2,4,0.5,2,8,10,5,6,1,6,11,15,2013-2014,2013
Bernard James,C,28,DAL,30,0,146,11,23,0.478,0,1,0,11,22,0.5,0.478,6,11,0.545,15,27,42,3,3,8,10,24,28,2013-2014,2013
Damion James,G,26,SAS,5,1,50,2,9,0.222,0,2,0,2,7,0.285714285714286,0.222,2,2,1,1,11,12,3,0,1,1,3,6,2013-2014,2013
LeBron James,PF,29,MIA,77,77,2902,767,1353,0.567,116,306,0.379084967320261,651,1047,0.621776504297994,0.61,439,585,0.75,81,452,533,488,121,26,270,126,2089,2013-2014,2013
Mike James,PG,38,CHI,11,0,77,5,21,0.238,1,5,0.2,4,16,0.25,0.262,0,2,0,0,7,7,17,2,0,5,11,11,2013-2014,2013
Antawn Jamison,PF,37,LAC,22,0,248,29,92,0.315,8,41,0.195121951219512,21,51,0.411764705882353,0.359,18,25,0.72,9,46,55,7,9,3,7,29,84,2013-2014,2013
Othyus Jeffers,SG,28,TOT,6,1,47,3,6,0.5,0,2,0,3,4,0.75,0.5,3,4,0.75,1,8,9,1,0,0,1,3,9,2013-2014,2013
Al Jefferson,C,29,CHA,73,73,2553,700,1376,0.509,3,15,0.2,697,1361,0.512123438648053,0.51,191,277,0.69,156,636,792,155,67,79,124,176,1594,2013-2014,2013
Richard Jefferson,SF,33,UTA,82,78,2213,294,654,0.45,123,301,0.408637873754153,171,353,0.484419263456091,0.544,120,162,0.741,18,201,219,130,56,14,94,168,831,2013-2014,2013
John Jenkins,SG,22,ATL,13,0,158,16,42,0.381,4,18,0.222222222222222,12,24,0.5,0.429,4,4,1,3,19,22,11,1,1,11,11,40,2013-2014,2013
Brandon Jennings,PG,24,DET,80,79,2728,423,1135,0.373,154,457,0.336980306345733,269,678,0.396755162241888,0.441,241,321,0.751,59,185,244,609,101,8,215,157,1241,2013-2014,2013
Jonas Jerebko,PF,26,DET,64,0,741,98,208,0.471,31,74,0.418918918918919,67,134,0.5,0.546,43,59,0.729,51,124,175,39,21,6,43,85,270,2013-2014,2013
Amir Johnson,PF,26,TOR,77,72,2214,344,612,0.562,20,66,0.303030303030303,324,546,0.593406593406593,0.578,91,143,0.636,172,333,505,115,56,88,123,271,799,2013-2014,2013
Chris Johnson,SF,23,BOS,40,0,789,85,214,0.397,43,127,0.338582677165354,42,87,0.482758620689655,0.498,37,43,0.86,31,66,97,31,27,4,22,63,250,2013-2014,2013
James Johnson,SF,26,MEM,52,4,956,143,308,0.464,22,87,0.252873563218391,121,221,0.547511312217195,0.5,76,90,0.844,60,106,166,111,42,57,66,102,384,2013-2014,2013
Joe Johnson,SG,32,BRK,79,79,2575,462,1018,0.454,162,404,0.400990099009901,300,614,0.488599348534202,0.533,159,195,0.815,48,222,270,216,47,10,120,129,1245,2013-2014,2013
Orlando Johnson,SG,24,TOT,45,0,392,36,113,0.319,9,47,0.191489361702128,27,66,0.409090909090909,0.358,19,26,0.731,9,46,55,20,6,2,15,26,100,2013-2014,2013
Wesley Johnson,SF,26,LAL,79,62,2240,277,651,0.425,100,271,0.3690036900369,177,380,0.465789473684211,0.502,61,77,0.792,70,278,348,124,86,77,90,207,715,2013-2014,2013
Darius Johnson-Odom,SG,24,PHI,3,0,15,0,7,0,0,3,0,0,4,0,0,0,2,0,0,2,2,1,1,0,2,3,0,2013-2014,2013
James Jones,SF,33,MIA,20,6,236,31,68,0.456,28,54,0.518518518518518,3,14,0.214285714285714,0.662,7,11,0.636,2,21,23,9,3,4,4,6,97,2013-2014,2013
Perry Jones,PF,22,OKC,62,7,764,83,181,0.459,22,61,0.360655737704918,61,120,0.508333333333333,0.519,28,42,0.667,28,86,114,26,14,19,21,62,216,2013-2014,2013
Solomon Jones,PF,29,ORL,11,0,85,6,17,0.353,0,0,NA,6,17,0.352941176470588,0.353,2,4,0.5,8,8,16,2,2,2,2,12,14,2013-2014,2013
Terrence Jones,PF,22,HOU,76,71,2078,386,712,0.542,31,101,0.306930693069307,355,611,0.5810147299509,0.564,118,195,0.605,162,366,528,87,53,99,71,139,921,2013-2014,2013
DeAndre Jordan,C,25,LAC,82,82,2870,348,515,0.676,0,0,NA,348,515,0.675728155339806,0.676,160,374,0.428,331,783,1114,74,80,203,123,264,856,2013-2014,2013
Cory Joseph,SG,22,SAS,68,19,936,126,265,0.475,12,38,0.315789473684211,114,227,0.502202643171806,0.498,79,96,0.823,32,75,107,114,35,14,43,84,343,2013-2014,2013
Chris Kaman,C,31,LAL,39,13,736,176,346,0.509,0,3,0,176,343,0.513119533527697,0.509,52,68,0.765,54,175,229,58,11,40,74,93,404,2013-2014,2013
Enes Kanter,C,21,UTA,80,37,2138,419,853,0.491,0,1,0,419,852,0.491784037558685,0.491,149,204,0.73,222,376,598,75,28,42,144,230,987,2013-2014,2013
Sergey Karasev,SF,20,CLE,22,1,156,12,35,0.343,4,19,0.210526315789474,8,16,0.5,0.4,9,10,0.9,0,16,16,6,3,1,11,22,37,2013-2014,2013
Ryan Kelly,PF,22,LAL,59,25,1312,157,371,0.423,48,142,0.338028169014085,109,229,0.475982532751092,0.488,110,135,0.815,42,177,219,95,32,45,47,147,472,2013-2014,2013
Michael Kidd-Gilchrist,SF,20,CHA,62,62,1502,167,353,0.473,1,9,0.111111111111111,166,344,0.482558139534884,0.475,113,184,0.614,109,215,324,52,43,39,60,145,448,2013-2014,2013
Andrei Kirilenko,PF,32,BRK,45,4,857,82,160,0.513,1,5,0.2,81,155,0.52258064516129,0.516,61,119,0.513,55,91,146,72,40,19,54,65,226,2013-2014,2013
Brandon Knight,PG,22,MIL,72,69,2400,461,1092,0.422,110,338,0.325443786982249,351,754,0.46551724137931,0.473,259,323,0.802,46,209,255,352,69,17,188,146,1291,2013-2014,2013
Kyle Korver,SG,32,ATL,71,71,2408,289,609,0.475,185,392,0.471938775510204,104,217,0.47926267281106,0.626,87,94,0.926,22,260,282,208,70,24,102,147,850,2013-2014,2013
Kosta Koufos,C,24,MEM,80,22,1349,227,459,0.495,0,0,NA,227,459,0.494553376906318,0.495,60,93,0.645,160,258,418,39,32,71,67,182,514,2013-2014,2013
Viacheslav Kravtsov,C,26,PHO,20,0,59,8,15,0.533,0,0,NA,8,15,0.533333333333333,0.533,4,8,0.5,9,8,17,1,0,1,6,7,20,2013-2014,2013
Ognjen Kuzmic,C,23,GSW,21,0,92,5,13,0.385,0,0,NA,5,13,0.384615384615385,0.385,5,11,0.455,10,11,21,2,3,4,10,17,15,2013-2014,2013
Doron Lamb,SG,22,ORL,53,0,695,63,160,0.394,36,90,0.4,27,70,0.385714285714286,0.506,29,36,0.806,8,41,49,43,11,1,27,54,191,2013-2014,2013
Jeremy Lamb,SG,21,OKC,78,0,1538,263,609,0.432,88,247,0.356275303643725,175,362,0.483425414364641,0.504,51,64,0.797,27,162,189,115,56,26,61,143,665,2013-2014,2013
Carl Landry,PF,30,SAC,18,1,233,31,60,0.517,0,0,NA,31,60,0.516666666666667,0.517,14,17,0.824,15,42,57,5,3,1,9,34,76,2013-2014,2013
Shane Larkin,PG,21,DAL,48,0,489,52,137,0.38,12,38,0.315789473684211,40,99,0.404040404040404,0.423,16,25,0.64,11,31,42,71,26,1,39,46,132,2013-2014,2013
Ty Lawson,PG,26,DEN,62,61,2222,347,806,0.431,72,202,0.356435643564356,275,604,0.455298013245033,0.475,324,406,0.798,40,175,215,543,100,10,200,113,1090,2013-2014,2013
Ricky Ledo,SG,21,DAL,11,0,33,6,17,0.353,3,8,0.375,3,9,0.333333333333333,0.441,4,4,1,0,2,2,2,1,0,2,2,19,2013-2014,2013
Courtney Lee,SG,28,TOT,79,47,1973,295,614,0.48,72,194,0.371134020618557,223,420,0.530952380952381,0.539,99,112,0.884,29,158,187,115,65,28,73,127,761,2013-2014,2013
David Lee,PF,30,GSW,69,67,2288,513,981,0.523,0,1,0,513,980,0.523469387755102,0.523,231,296,0.78,182,461,643,147,48,26,152,206,1257,2013-2014,2013
Alex Len,C,20,PHO,42,3,362,33,78,0.423,0,0,NA,33,78,0.423076923076923,0.423,20,31,0.645,39,60,99,4,4,18,26,68,86,2013-2014,2013
Kawhi Leonard,SF,22,SAS,66,65,1923,337,645,0.522,69,182,0.379120879120879,268,463,0.578833693304536,0.576,101,126,0.802,76,336,412,133,114,50,80,127,844,2013-2014,2013
Meyers Leonard,C,21,POR,40,0,355,41,91,0.451,0,6,0,41,85,0.482352941176471,0.451,16,21,0.762,26,85,111,18,7,5,15,76,98,2013-2014,2013
Jon Leuer,PF,24,MEM,49,0,642,121,246,0.492,23,49,0.469387755102041,98,197,0.49746192893401,0.539,37,47,0.787,37,121,158,20,18,13,27,63,302,2013-2014,2013
Rashard Lewis,SF,34,MIA,60,6,971,98,236,0.415,46,134,0.343283582089552,52,102,0.509803921568627,0.513,26,33,0.788,24,86,110,57,53,8,35,90,268,2013-2014,2013
DeAndre Liggins,SG,25,MIA,1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,1,0,1,0,0,0,0,0,2,2013-2014,2013
Damian Lillard,PG,23,POR,82,82,2937,553,1304,0.424,218,554,0.393501805054152,335,750,0.446666666666667,0.508,371,426,0.871,35,253,288,457,64,22,193,197,1695,2013-2014,2013
Jeremy Lin,PG,25,HOU,71,33,2054,295,662,0.446,82,229,0.358078602620087,213,433,0.491916859122402,0.508,218,265,0.823,34,153,187,294,68,27,176,166,890,2013-2014,2013
Shaun Livingston,PG,28,BRK,76,54,1974,235,487,0.483,1,6,0.166666666666667,234,481,0.486486486486487,0.484,158,191,0.827,67,179,246,245,93,31,105,172,629,2013-2014,2013
Brook Lopez,C,25,BRK,17,17,533,129,229,0.563,0,1,0,129,228,0.565789473684211,0.563,94,115,0.817,39,63,102,16,9,30,28,52,352,2013-2014,2013
Robin Lopez,C,25,POR,82,82,2603,355,644,0.551,0,1,0,355,643,0.552099533437014,0.551,198,242,0.818,326,374,700,73,25,139,84,196,908,2013-2014,2013
Kevin Love,PF,25,MIN,77,77,2797,650,1421,0.457,190,505,0.376237623762376,460,916,0.502183406113537,0.524,520,633,0.821,224,739,963,341,59,35,196,136,2010,2013-2014,2013
Kyle Lowry,PG,27,TOR,79,79,2862,457,1080,0.423,190,500,0.38,267,580,0.460344827586207,0.511,313,385,0.813,88,281,369,586,121,15,194,267,1417,2013-2014,2013
John Lucas,PG,31,UTA,42,6,591,62,190,0.326,25,84,0.297619047619048,37,106,0.349056603773585,0.392,10,16,0.625,12,27,39,42,14,0,22,41,159,2013-2014,2013
Shelvin Mack,PG,23,ATL,73,11,1490,209,501,0.417,62,184,0.33695652173913,147,317,0.463722397476341,0.479,64,74,0.865,21,139,160,271,50,2,89,100,544,2013-2014,2013
Ian Mahinmi,C,27,IND,77,1,1248,91,189,0.481,0,1,0,91,188,0.484042553191489,0.481,90,145,0.621,107,150,257,24,41,72,58,207,272,2013-2014,2013
Shawn Marion,SF,35,DAL,76,76,2409,341,708,0.482,58,162,0.358024691358025,283,546,0.518315018315018,0.523,51,65,0.785,132,365,497,124,90,37,95,125,791,2013-2014,2013
Kendall Marshall,PG,22,LAL,54,45,1564,170,419,0.406,71,178,0.398876404494382,99,241,0.410788381742739,0.49,19,36,0.528,15,140,155,477,48,4,150,76,430,2013-2014,2013
Cartier Martin,SF,29,TOT,59,6,870,111,264,0.42,59,151,0.390728476821192,52,113,0.460176991150442,0.532,48,65,0.738,13,97,110,33,27,7,34,71,329,2013-2014,2013
Kenyon Martin,PF,36,NYK,32,15,633,63,123,0.512,0,1,0,63,122,0.516393442622951,0.512,11,19,0.579,36,98,134,50,25,27,26,85,137,2013-2014,2013
Kevin Martin,SG,30,MIN,68,68,2177,440,1023,0.43,115,297,0.387205387205387,325,726,0.447658402203857,0.486,303,340,0.891,34,169,203,121,66,6,106,123,1298,2013-2014,2013
Roger Mason,SG,33,MIA,25,2,260,25,67,0.373,17,48,0.354166666666667,8,19,0.421052631578947,0.5,7,7,1,1,21,22,19,6,1,9,26,74,2013-2014,2013
Wesley Matthews,SG,27,POR,82,82,2780,445,1009,0.441,201,511,0.393346379647749,244,498,0.48995983935743,0.541,252,301,0.837,51,238,289,197,76,14,110,176,1343,2013-2014,2013
Jason Maxiell,PF,30,ORL,34,13,488,47,105,0.448,0,0,NA,47,105,0.447619047619048,0.448,15,31,0.484,28,58,86,9,8,20,14,47,109,2013-2014,2013
Eric Maynor,PG,26,TOT,31,0,327,32,101,0.317,12,37,0.324324324324324,20,64,0.3125,0.376,6,11,0.545,9,30,39,52,9,3,29,17,82,2013-2014,2013
O.J. Mayo,SG,26,MIL,52,23,1346,224,550,0.407,84,227,0.370044052863436,140,323,0.43343653250774,0.484,76,88,0.864,24,100,124,113,28,13,95,111,608,2013-2014,2013
Luc Mbah a Moute,PF,27,TOT,64,7,1003,87,193,0.451,4,17,0.235294117647059,83,176,0.471590909090909,0.461,46,67,0.687,56,90,146,36,30,14,40,68,224,2013-2014,2013
Ray McCallum,PG,22,SAC,45,10,897,113,300,0.377,22,59,0.372881355932203,91,241,0.377593360995851,0.413,32,43,0.744,18,61,79,120,22,9,39,69,280,2013-2014,2013
C.J. McCollum,SG,22,POR,38,0,476,74,178,0.416,30,80,0.375,44,98,0.448979591836735,0.5,23,34,0.676,7,41,48,27,14,2,35,53,201,2013-2014,2013
JaVale McGee,C,26,DEN,5,5,79,17,38,0.447,0,0,NA,17,38,0.447368421052632,0.447,1,1,1,10,7,17,2,1,7,8,16,35,2013-2014,2013
Ben McLemore,SG,20,SAC,82,55,2187,255,679,0.376,95,297,0.31986531986532,160,382,0.418848167539267,0.446,115,143,0.804,53,182,235,82,45,18,96,201,720,2013-2014,2013
Josh McRoberts,PF,26,CHA,78,78,2360,247,566,0.436,105,291,0.360824742268041,142,275,0.516363636363636,0.529,62,85,0.729,85,288,373,333,58,46,83,189,661,2013-2014,2013
