Дата рождения;Пол;Дата приема;Дата увольнения;Должность;Подразделение;Дата активации;Дата начала обучения;Дата последнего посещения;Баллы;1;Название курса
04.04.1992 0:00;m;01.10.2012 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Отдел по работе с клиентами LTL;25.08.2016 12:56;;;0,00;Назначен;Навыки оперативного менеджмента
04.05.1982 0:00;w;19.08.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;25.08.2016 15:46;;;0,00;Назначен;Обучающий курс Microsoft PowerPoint 2010
24.10.1985 0:00;m;16.03.2010 0:00;01.01.2001 0:00;Старший менеджер по транспорту;Транспортный отдел;25.08.2016 18:04;25.08.2016 18:04;;0,00;Назначен;Охрана труда для руководителей
11.09.1988 0:00;m;01.03.2010 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;25.08.2016 19:36;25.08.2016 19:39;05.09.2016 19:12;0,00;В процессе;Формирование и развитие команды
04.05.1982 0:00;w;19.08.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;26.08.2016 12:50;26.08.2016 12:53;26.08.2016 13:12;0,00;В процессе;Навыки оперативного менеджмента
04.05.1982 0:00;w;19.08.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;26.08.2016 17:30;26.08.2016 17:31;26.08.2016 17:56;0,00;В процессе;Базовые навыки менеджера: планирование, организация, контроль, мотивация
20.11.1972 0:00;w;17.05.2016 0:00;01.01.2001 0:00;Руководитель направления;Направление развития корпоративных компетенций;26.08.2016 17:36;26.08.2016 17:36;26.08.2016 22:30;52,00;Завершен;Эффективное делегирование полномочий
20.11.1972 0:00;w;17.05.2016 0:00;01.01.2001 0:00;Руководитель направления;Направление развития корпоративных компетенций;26.08.2016 22:31;;;0,00;Назначен;Основы управления временем
20.11.1972 0:00;w;17.05.2016 0:00;01.01.2001 0:00;Руководитель направления;Направление развития корпоративных компетенций;26.08.2016 22:43;26.08.2016 22:43;22.09.2016 20:59;0,00;В процессе;Базовые навыки менеджера: планирование, организация, контроль, мотивация
06.01.1987 0:00;w;24.08.2016 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Группа по работе с клиентами FTL;27.08.2016 12:22;;;0,00;Назначен;Вводный курс. ДЛ-Транс
17.06.1990 0:00;w;28.07.2016 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Отдел по работе с клиентами LTL;29.08.2016 18:40;;;0,00;Назначен;Лидерство
20.10.1968 0:00;m;14.05.2010 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;30.08.2016 16:56;30.08.2016 16:56;30.08.2016 21:25;0,00;В процессе;Формирование и развитие команды
19.06.1977 0:00;w;10.04.2013 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;30.08.2016 20:10;30.08.2016 20:10;21.09.2016 20:32;13,00;В процессе;Эффективное делегирование полномочий
22.09.1982 0:00;m;22.08.2016 0:00;01.01.2001 0:00;Менеджер по работе с поставщиками;Группа региональные перевозки;02.09.2016 12:28;;;0,00;Назначен;Вводный курс. ДЛ-Транс
27.04.1991 0:00;m;29.06.2015 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;05.09.2016 12:04;05.09.2016 12:04;05.09.2016 12:25;0,00;В процессе;Формирование и развитие команды
13.06.1988 0:00;m;18.09.2008 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;05.09.2016 19:48;05.09.2016 19:48;05.09.2016 19:59;10,00;В процессе;Эффективное управление конфликтами
15.01.1993 0:00;w;20.04.2015 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;05.09.2016 20:20;05.09.2016 20:21;23.01.2017 20:40;0,00;В процессе;Лидерство
16.06.1987 0:00;m;01.09.2010 0:00;01.01.2001 0:00;Начальник отдела;Отдел сопровождения перевозок LTL;06.09.2016 0:02;06.09.2016 0:02;06.09.2016 0:03;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
20.12.1985 0:00;w;05.09.2016 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Группа по работе с клиентами FTL;06.09.2016 12:22;13.09.2016 15:33;13.09.2016 15:35;0,00;В процессе;Вводный курс. ДЛ-Транс
17.08.1974 0:00;m;25.05.2006 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;06.09.2016 18:51;06.09.2016 18:51;06.09.2016 18:51;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
24.06.1982 0:00;m;17.09.2014 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;06.09.2016 19:41;06.09.2016 19:41;21.09.2016 16:30;60,00;В процессе;Мотивация персонала
26.12.1978 0:00;m;09.08.2010 0:00;01.01.2001 0:00;Начальник смены;Складской комплекс;07.09.2016 4:44;07.09.2016 4:45;07.09.2016 4:46;0,00;В процессе;Формирование и развитие команды
11.08.1996 0:00;w;09.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;07.09.2016 14:31;07.09.2016 14:31;07.09.2016 14:38;0,00;В процессе;Лидерство
11.08.1996 0:00;w;09.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;07.09.2016 14:38;07.09.2016 14:38;08.09.2016 11:16;33,00;В процессе;Мотивация персонала
15.09.1986 0:00;w;23.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;07.09.2016 17:14;07.09.2016 17:14;07.09.2016 17:38;19,00;В процессе;Эффективное управление конфликтами
15.09.1986 0:00;w;23.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;07.09.2016 17:39;07.09.2016 17:39;07.09.2016 18:30;47,00;Завершен;Эффективное делегирование полномочий
11.08.1987 0:00;w;11.11.2014 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;07.09.2016 17:45;09.09.2016 14:58;19.10.2016 17:16;11,00;В процессе;Формирование и развитие команды
15.09.1986 0:00;w;23.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;07.09.2016 18:31;07.09.2016 18:31;07.09.2016 18:40;0,00;В процессе;Лидерство
05.07.1985 0:00;w;23.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;07.09.2016 18:38;07.09.2016 18:38;07.02.2018 13:42;0,00;В процессе;Лидерство
03.05.1998 0:00;w;09.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;08.09.2016 11:05;08.09.2016 11:06;08.09.2016 11:31;7,00;В процессе;Эффективное делегирование полномочий
11.08.1996 0:00;w;09.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;08.09.2016 11:16;08.09.2016 11:16;;0,00;Назначен;Обучающий курс Microsoft PowerPoint 2010
11.08.1996 0:00;w;09.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;08.09.2016 11:18;08.09.2016 11:18;08.09.2016 11:19;0,00;В процессе;Оценочный тест Microsoft PowerPoint 2010
11.08.1996 0:00;w;09.08.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;08.09.2016 11:19;08.09.2016 11:19;08.09.2016 11:29;4,00;В процессе;Основы управления временем
09.02.1986 0:00;m;25.01.2016 0:00;01.01.2001 0:00;Начальник склада;Группа Ответственного хранения;08.09.2016 12:31;08.09.2016 12:31;18.12.2017 16:27;0,00;В процессе;Мотивация персонала
04.08.1987 0:00;m;03.04.2015 0:00;01.01.2001 0:00;Начальник склада;Складской комплекс;08.09.2016 13:49;08.09.2016 13:49;08.09.2016 18:24;4,00;В процессе;Основы управления временем
25.12.1981 0:00;w;01.04.2010 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;08.09.2016 15:02;08.09.2016 15:10;08.09.2016 15:11;0,00;В процессе;Лидерство
25.12.1981 0:00;w;01.04.2010 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;08.09.2016 15:02;08.09.2016 15:04;08.09.2016 15:10;0,00;В процессе;Оценочный тест Microsoft PowerPoint 2010
08.02.1983 0:00;m;08.09.2016 0:00;01.01.2001 0:00;Начальник автоколонны;Автоколонна № 2;09.09.2016 12:02;;;0,00;Назначен;Вводный курс. ДЛ-Транс
17.03.1987 0:00;w;08.09.2016 0:00;01.01.2001 0:00;Оператор информационной базы сменный;Отдел сопровождения перевозок FTL;09.09.2016 12:42;13.09.2016 13:13;13.09.2016 13:14;0,00;В процессе;Вводный курс. ДЛ-Транс
23.11.1970 0:00;w;16.05.2013 0:00;01.01.2001 0:00;Менеджер по информационной поддержке;Группа информационной поддержки;09.09.2016 13:25;09.09.2016 13:25;09.09.2016 15:22;0,00;В процессе;Формирование и развитие команды
27.12.1986 0:00;m;09.06.2012 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;10.09.2016 19:24;10.09.2016 19:38;13.12.2017 15:43;0,00;В процессе;Лидерство
15.07.1990 0:00;m;16.08.2016 0:00;01.01.2001 0:00;Кладовщик;Группа складов СТО;10.09.2016 21:08;10.09.2016 21:09;;0,00;Назначен;Обучающий курс Microsoft PowerPoint 2010
29.10.1987 0:00;m;02.02.2016 0:00;01.01.2001 0:00;Кладовщик;Группа складов СТО;11.09.2016 2:37;11.09.2016 2:37;11.09.2016 2:39;0,00;В процессе;Манипуляции в переговорном процессе: как распознать и защититься от них
20.01.1967 0:00;m;11.10.2010 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;15.09.2016 11:01;15.09.2016 11:02;22.09.2016 18:57;130,00;В процессе;Манипуляции в переговорном процессе: как распознать и защититься от них
25.02.1983 0:00;m;18.11.2013 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;15.09.2016 17:59;;;0,00;Назначен;Формирование и развитие команды
25.02.1983 0:00;m;18.11.2013 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;15.09.2016 18:00;15.09.2016 18:00;15.09.2016 20:47;45,00;В процессе;Мотивация персонала
29.07.1982 0:00;m;24.07.2012 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;16.09.2016 4:43;16.09.2016 4:43;;0,00;Назначен;Обучающий курс Microsoft PowerPoint 2010
29.07.1982 0:00;m;24.07.2012 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;16.09.2016 4:44;16.09.2016 4:44;22.11.2016 13:15;14,00;В процессе;Эффективное управление конфликтами
28.06.1980 0:00;m;16.10.2006 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;16.09.2016 7:34;16.09.2016 7:34;16.09.2016 7:40;0,00;В процессе;Лидерство
25.02.1983 0:00;m;18.11.2013 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;16.09.2016 16:21;16.09.2016 16:21;16.09.2016 18:39;39,00;Завершен;Основы управления временем
18.07.1996 0:00;w;12.09.2016 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;16.09.2016 19:18;16.09.2016 19:18;16.09.2016 19:51;0,00;В процессе;Формирование и развитие команды
07.06.1988 0:00;w;13.07.2015 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;19.09.2016 15:39;19.09.2016 15:39;19.09.2016 17:44;23,00;В процессе;Эффективное управление конфликтами
07.03.1982 0:00;w;21.08.2006 0:00;01.01.2001 0:00;Старший менеджер;Отдел сопровождения перевозок LTL;19.09.2016 17:29;19.09.2016 17:30;19.09.2016 20:42;31,00;Завершен;Основы управления временем
20.10.1993 0:00;w;09.09.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;19.09.2016 18:25;19.09.2016 18:25;26.09.2016 11:34;15,00;Завершен;Формирование и развитие команды
23.02.1987 0:00;w;01.02.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;19.09.2016 19:57;19.09.2016 20:11;04.10.2017 15:33;42,00;Завершен;Эффективное делегирование полномочий
20.05.1991 0:00;w;12.09.2014 0:00;01.01.2001 0:00;Кассир-операционист;Отдел сопровождения перевозок LTL;20.09.2016 17:51;20.09.2016 17:51;20.09.2016 19:55;22,00;В процессе;Мотивация персонала
29.05.1977 0:00;w;16.09.2016 0:00;01.01.2001 0:00;Оператор информационной базы сменный;Отдел сопровождения перевозок FTL;21.09.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
20.06.1984 0:00;m;25.03.2010 0:00;01.01.2001 0:00;Старший менеджер;Отдел сопровождения перевозок LTL;21.09.2016 15:07;21.09.2016 15:08;21.09.2016 19:42;46,00;Завершен;Эффективное управление конфликтами
03.05.1973 0:00;m;28.07.2011 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;22.09.2016 12:06;22.09.2016 12:06;30.09.2016 20:31;9,00;В процессе;Формирование и развитие команды
07.06.1988 0:00;w;13.07.2015 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;22.09.2016 15:33;22.09.2016 15:34;22.09.2016 19:23;639,00;В процессе;Навыки оперативного менеджмента
28.09.1988 0:00;w;01.07.2013 0:00;01.01.2001 0:00;Менеджер по работе с регионами;Группа регионального развития;22.09.2016 18:27;;;0,00;Назначен;Эффективное управление конфликтами
20.11.1972 0:00;w;17.05.2016 0:00;01.01.2001 0:00;Руководитель направления;Направление развития корпоративных компетенций;22.09.2016 18:34;22.09.2016 18:35;22.09.2016 18:35;0,00;В процессе;Навыки оперативного менеджмента
04.03.1989 0:00;m;27.09.2011 0:00;01.01.2001 0:00;Начальник смены;Складской комплекс;25.09.2016 14:57;25.09.2016 14:57;25.09.2016 15:17;22,00;В процессе;Мотивация персонала
23.02.1987 0:00;w;01.02.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;27.09.2016 23:52;28.09.2016 0:04;05.10.2017 15:21;56,00;В процессе;Мотивация персонала
05.02.1990 0:00;w;29.09.2016 0:00;01.01.2001 0:00;Оператор информационной базы сменный;Отдел сопровождения перевозок FTL;30.09.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
03.05.1973 0:00;m;28.07.2011 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;30.09.2016 16:20;30.09.2016 20:44;03.10.2016 16:07;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
27.02.1988 0:00;w;05.10.2016 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Группа по работе с клиентами FTL;05.10.2016 12:22;05.10.2016 16:05;05.10.2016 16:40;0,00;В процессе;Вводный курс. ДЛ-Транс
24.06.1982 0:00;m;17.09.2014 0:00;01.01.2001 0:00;Бригадир смены;Складской комплекс;05.10.2016 18:20;05.10.2016 18:21;05.10.2016 18:21;0,00;В процессе;Оценочный тест Microsoft PowerPoint 2010
17.08.1994 0:00;w;26.10.2015 0:00;01.01.2001 0:00;Кассир-операционист;Отдел сопровождения перевозок LTL;06.10.2016 18:01;06.10.2016 18:02;06.10.2016 18:04;0,00;В процессе;Лидерство
03.08.1987 0:00;w;28.07.2014 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Отдел по работе с клиентами LTL;07.10.2016 9:50;07.10.2016 11:58;07.10.2016 12:51;100,00;В процессе;Манипуляции в переговорном процессе: как распознать и защититься от них
17.12.1984 0:00;w;26.03.2014 0:00;01.01.2001 0:00;Ведущий менеджер по логистике;Группа внутригородской доставки;07.10.2016 14:21;07.10.2016 14:34;07.10.2016 15:10;0,00;В процессе;Формирование и развитие команды
18.12.1980 0:00;m;15.11.2013 0:00;01.01.2001 0:00;Директор обособленного структурного подразделения;Администрация;07.10.2016 15:07;07.10.2016 15:07;07.10.2016 15:24;0,00;В процессе;Формирование и развитие команды
06.09.1985 0:00;w;12.10.2015 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;08.10.2016 14:37;08.10.2016 14:38;11.10.2016 20:38;34,00;В процессе;Эффективное управление конфликтами
05.06.1993 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 16:41;10.10.2016 16:41;10.10.2016 17:31;21,00;В процессе;Эффективное управление конфликтами
05.08.1994 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 16:44;10.10.2016 16:44;10.10.2016 17:34;22,00;В процессе;Эффективное управление конфликтами
31.03.1977 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 16:48;10.10.2016 16:48;10.10.2016 17:32;19,00;В процессе;Эффективное управление конфликтами
05.06.1993 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 17:31;10.10.2016 17:32;10.10.2016 17:51;11,00;В процессе;Эффективное делегирование полномочий
05.08.1994 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 17:35;10.10.2016 17:35;10.10.2016 17:54;11,00;В процессе;Эффективное делегирование полномочий
31.03.1977 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 17:46;10.10.2016 17:46;10.10.2016 18:07;11,00;В процессе;Эффективное делегирование полномочий
05.06.1993 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 17:52;10.10.2016 17:52;10.10.2016 17:58;0,00;В процессе;Лидерство
05.08.1994 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 17:54;10.10.2016 17:54;10.10.2016 18:00;0,00;В процессе;Лидерство
31.03.1977 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 18:08;10.10.2016 18:08;10.10.2016 18:13;0,00;В процессе;Лидерство
05.08.1994 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 18:09;10.10.2016 18:09;10.10.2016 18:22;15,00;В процессе;Мотивация персонала
05.06.1993 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 18:09;10.10.2016 18:09;10.10.2016 18:21;13,00;В процессе;Мотивация персонала
31.03.1977 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;10.10.2016 18:13;10.10.2016 18:13;10.10.2016 18:23;17,00;В процессе;Мотивация персонала
26.04.1996 0:00;w;05.10.2016 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок LTL;12.10.2016 15:48;12.10.2016 15:49;12.10.2016 17:20;326,00;В процессе;Манипуляции в переговорном процессе: как распознать и защититься от них
17.04.1990 0:00;w;07.10.2016 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Отдел по работе с клиентами LTL;12.10.2016 18:46;12.10.2016 18:48;12.10.2016 19:26;60,00;В процессе;Базовые навыки менеджера: планирование, организация, контроль, мотивация
14.12.1987 0:00;w;12.10.2016 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок FTL;13.10.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
05.06.1993 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;13.10.2016 18:08;13.10.2016 18:08;20.10.2016 16:13;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
22.11.1992 0:00;m;26.10.2015 0:00;01.01.2001 0:00;Приемосдатчик груза и багажа;Группа Ответственного хранения;14.10.2016 13:44;14.10.2016 13:44;15.09.2017 18:08;9,00;В процессе;Мотивация персонала
26.05.1986 0:00;m;19.09.2016 0:00;01.01.2001 0:00;Менеджер по продажам;Отдел продаж LTL;14.10.2016 15:36;14.10.2016 15:36;09.01.2017 14:25;50,00;В процессе;Манипуляции в переговорном процессе: как распознать и защититься от них
22.11.1992 0:00;m;26.10.2015 0:00;01.01.2001 0:00;Приемосдатчик груза и багажа;Группа Ответственного хранения;17.10.2016 9:00;17.10.2016 9:00;17.10.2016 10:53;0,00;В процессе;Лидерство
16.06.1987 0:00;m;01.09.2010 0:00;01.01.2001 0:00;Начальник отдела;Отдел сопровождения перевозок LTL;18.10.2016 1:17;18.10.2016 1:17;18.10.2016 18:22;33,00;В процессе;Навыки оперативного менеджмента
13.11.1985 0:00;w;15.08.2016 0:00;01.01.2001 0:00;Руководитель группы;Группа обучения персонала;18.10.2016 9:34;18.10.2016 9:34;18.10.2016 9:41;20,00;В процессе;Мотивация персонала
11.04.1988 0:00;w;17.10.2016 0:00;01.01.2001 0:00;Оператор информационной базы сменный;Отдел сопровождения перевозок FTL;18.10.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
24.05.1988 0:00;w;25.03.2014 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;18.10.2016 15:16;18.10.2016 15:16;18.10.2016 15:54;15,00;В процессе;Основы управления временем
24.05.1988 0:00;w;25.03.2014 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;18.10.2016 15:55;18.10.2016 15:55;19.10.2016 20:40;0,00;В процессе;Формирование и развитие команды
08.12.1990 0:00;m;26.03.2012 0:00;01.01.2001 0:00;Старший менеджер;Отдел сопровождения перевозок LTL;18.10.2016 17:50;18.10.2016 17:50;18.10.2016 20:44;64,00;В процессе;Мотивация персонала
14.10.1979 0:00;m;10.10.2016 0:00;01.01.2001 0:00;Ведущий программист;Отдел проектной разработки транспортной логистики БИА;18.10.2016 18:34;18.10.2016 18:34;18.10.2016 18:35;0,00;В процессе;Лидерство
20.05.1985 0:00;w;18.10.2016 0:00;01.01.2001 0:00;Оператор информационной базы сменный;Отдел сопровождения перевозок FTL;19.10.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
11.08.1987 0:00;w;11.11.2014 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;19.10.2016 17:04;19.10.2016 17:08;12.12.2016 19:32;32,00;Завершен;Эффективное управление конфликтами
11.08.1987 0:00;w;11.11.2014 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оформления заявок;19.10.2016 17:05;25.11.2016 16:13;25.11.2016 16:30;40,00;В процессе;Базовые навыки менеджера: планирование, организация, контроль, мотивация
27.08.1983 0:00;m;15.08.2016 0:00;01.01.2001 0:00;Администратор баз данных;Группа развития и эксплуатации баз данных БИА;19.10.2016 18:54;26.10.2016 18:07;26.10.2016 18:39;12,00;В процессе;Основы управления временем
16.06.1987 0:00;m;01.09.2010 0:00;01.01.2001 0:00;Начальник отдела;Отдел сопровождения перевозок LTL;19.10.2016 20:30;19.10.2016 20:30;19.10.2016 21:28;0,00;В процессе;Мотивация персонала
16.06.1987 0:00;m;01.09.2010 0:00;01.01.2001 0:00;Начальник отдела;Отдел сопровождения перевозок LTL;19.10.2016 21:52;19.10.2016 21:52;19.10.2016 23:32;12,00;В процессе;Эффективное делегирование полномочий
30.01.1983 0:00;w;17.10.2016 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок FTL;20.10.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
21.07.1989 0:00;w;18.10.2016 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок FTL;20.10.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
05.08.1994 0:00;w;04.10.2016 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа посменного оформления заявок;20.10.2016 16:08;20.10.2016 16:08;20.10.2016 16:15;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
23.02.1987 0:00;w;01.02.2013 0:00;01.01.2001 0:00;Старший оператор информационной базы;Отдел сопровождения перевозок LTL;20.10.2016 17:08;20.10.2016 17:16;09.10.2017 14:51;900,00;В процессе;Навыки оперативного менеджмента
13.05.1985 0:00;w;02.08.2012 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Отдел по работе с клиентами LTL;24.10.2016 18:20;25.10.2016 15:33;25.10.2016 15:43;0,00;В процессе;Лидерство
27.02.1991 0:00;w;24.10.2016 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Группа по работе с клиентами FTL;25.10.2016 12:22;;;0,00;Назначен;Вводный курс. ДЛ-Транс
08.06.1990 0:00;w;24.10.2016 0:00;01.01.2001 0:00;Менеджер по работе с клиентами;Группа по работе с клиентами FTL;25.10.2016 12:22;;;0,00;Назначен;Вводный курс. ДЛ-Транс
12.07.1989 0:00;m;13.02.2015 0:00;01.01.2001 0:00;Специалист информационной базы;Группа оперативной поддержки;25.10.2016 13:54;25.10.2016 13:55;25.10.2016 13:55;0,00;В процессе;Формирование и развитие команды
14.09.1971 0:00;m;02.03.2011 0:00;01.01.2001 0:00;Старший контролер по режиму;Складская группа;25.10.2016 14:54;;;0,00;Назначен;Формирование и развитие команды
11.08.1971 0:00;w;25.06.2014 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;26.10.2016 9:57;26.10.2016 13:15;27.10.2016 15:21;150,00;В процессе;Манипуляции в переговорном процессе: как распознать и защититься от них
10.04.1991 0:00;m;14.08.2015 0:00;01.01.2001 0:00;Менеджер по планированию;Группа складов СТО;27.10.2016 19:36;27.10.2016 19:36;27.10.2016 19:44;0,00;В процессе;Лидерство
15.07.1986 0:00;w;02.06.2015 0:00;01.01.2001 0:00;Менеджер по работе с претензиями;Претензионный отдел ОСП;27.10.2016 20:07;27.10.2016 20:08;27.10.2016 20:53;15,00;В процессе;Эффективное управление конфликтами
16.02.1990 0:00;w;29.08.2013 0:00;01.01.2001 0:00;Руководитель группы;Направление профессионального обучения;28.10.2016 16:21;28.10.2016 16:20;27.04.2017 18:13;0,00;В процессе;Оператор ИБ (Оформление накладной с различными видами услуг)/ Отдел сопровождения перевозок LTL/ Базовый уровень
04.03.1988 0:00;w;03.10.2016 0:00;01.01.2001 0:00;Оператор информационной базы ночной;Отдел сопровождения перевозок LTL;30.10.2016 23:04;30.10.2016 23:04;30.04.2017 21:13;0,00;В процессе;Формирование и развитие команды
19.04.1983 0:00;m;01.11.2016 0:00;01.01.2001 0:00;Инженер по гарантии;Служба по работе со станциями технического обслуживания;01.11.2016 12:44;;;0,00;Назначен;Вводный курс. ДЛ-Транс
21.05.1977 0:00;m;14.02.2013 0:00;01.01.2001 0:00;Начальник отдела;Отдел складских операций;01.11.2016 21:30;02.11.2016 3:00;;0,00;Назначен;Эффективное управление конфликтами
12.10.1985 0:00;w;01.11.2016 0:00;01.01.2001 0:00;Оператор информационной базы;Отдел сопровождения перевозок FTL;02.11.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
01.12.1992 0:00;w;01.11.2016 0:00;01.01.2001 0:00;Оператор информационной базы сменный;Отдел сопровождения перевозок FTL;02.11.2016 12:42;;;0,00;Назначен;Вводный курс. ДЛ-Транс
