DEPARTURE CITY,DEPARTURE STATE,DEPARTURE CARRIER,ARRIVAL CITY,ARRIVAL STATE,ARRIVAL CARRIER,RAIL SPEED SPEED,RAIL CAR TYPE TYPE,RAIL OWNERSHIP OWNERSHIP,RAIL CARLOAD LOAD,DEPEARTURE DATE,ARRIVAL DATE,CAR VALUE,DAMAGED,WEIGHT,FUEL USED,PROPER DESTINATION,MILES,# OF STOPS
Chattanooga,TN,NS,Columbus,OH,NS,Manifest,Box,Private,Petroleum and Petroleum Products,4/7/2013 0:00,4/27/2013 0:00,177633,8180.540249,180,57.16128269,Yes,532,0
Russell,KY,CSX,Chicago,IL,CP,Grain Unit,Box,Foreign,Intermodal,1/4/2013 0:00,1/20/2013 0:00,100699,4966.138554,116,37.62841558,Yes,2159,3
Chicago,IL,CSX,Tulsa,OK,BNSF,Intermodal,Box,System,Intermodal,8/3/2013 0:00,8/19/2013 0:00,135665,2385.236327,198,63.49794934,Yes,812,3
Buffalo,NY,CSX,North Platte West,NE,UP,Grain Unit,Box,Private,Intermodal,1/28/2013 0:00,2/10/2013 0:00,166679,374.7130481,81,21.10695679,Yes,689,4
St. Paul,MN,CP,Fond du Lac Yard,WI,CN,Coal Unit,Box,Foreign,"Farm and Food Products, Excluding Grain",7/17/2013 0:00,7/27/2013 0:00,143669,3417.71782,200,51.40219113,Yes,362,1
Buffalo,NY,CSX,Birmingham,AL,NS,Manifest,Box,Foreign,Coal,9/21/2013 0:00,10/6/2013 0:00,193821,4481.826611,99,33.06631461,Yes,1872,4
Fort Worth,TX,BNSF,Livonia,LA,UP,Intermodal,Box,Foreign,Intermodal,7/11/2013 0:00,7/25/2013 0:00,221322,6636.199108,170,54.68446944,Yes,2034,3
Decatur,IL,NS,Toledo,OH,CSX,Intermodal,Box,System,Intermodal,7/10/2013 0:00,7/24/2013 0:00,75068,1636.889095,134,45.81091254,Yes,1529,3
Russell,KY,CSX,Fort Worth,TX,UP,Manifest,Box,Private,Chemicals,11/6/2013 0:00,11/22/2013 0:00,142426,4207.321662,136,40.79546638,Yes,323,3
Fond du Lac Yard,WI,CN,Fond du Lac Yard,WI,CN,Multilevel,Box,Private,Intermodal,12/5/2013 0:00,12/22/2013 0:00,185942,8772.9144,170,56.65240357,Yes,2146,2
Roseville,CA,UP,Jackson Yard,MS,CN,Manifest,Box,Foreign,Intermodal,3/10/2013 0:00,3/20/2013 0:00,83444,278.5803791,129,33.24040361,Yes,319,2
Chicago,IL,CSX,Markham Yard,IL,CN,Intermodal,Box,Private,Intermodal,10/31/2013 0:00,11/7/2013 0:00,192080,4127.504017,196,60.29307005,Yes,806,5
Kansas City,MO,UP,Selkirk,NY,CSX,Intermodal,Box,Foreign,Forest Products,3/12/2013 0:00,3/22/2013 0:00,132405,4600.11008,90,31.13478056,Yes,1683,2
Chicago(Proviso),IL,UP,Baltimore,MD,CSX,Multilevel,Box,Private,Intermodal,10/6/2013 0:00,10/23/2013 0:00,245984,3734.242515,168,56.53306684,Yes,1250,4
Columbus,OH,NS,North Platte West,NE,UP,Multilevel,Box,System,Intermodal,5/15/2013 0:00,6/1/2013 0:00,110554,1114.98542,138,37.66881126,Yes,909,1
Chicago,IL,CP,Harrison Yard (Memphis),TN,CN,Intermodal,Box,Private,Petroleum and Petroleum Products,3/6/2013 0:00,3/13/2013 0:00,207574,7089.806092,108,28.97805963,Yes,1011,1
Livonia,LA,UP,Louisville,KY,CSX,Manifest,Box,Private,Intermodal,10/28/2013 0:00,11/16/2013 0:00,105485,614.1636478,97,33.02877248,Yes,1108,4
Houston(Settegast),TX,UP,Galesburg,IL,BNSF,Grain Unit,Box,Private,Coal,11/1/2013 0:00,11/10/2013 0:00,101173,3728.190076,108,35.26105038,Yes,675,5
Kansas City,MO,KCS,Cincinnati,OH,CSX,Grain Unit,Box,System,Intermodal,5/12/2013 0:00,6/1/2013 0:00,126028,5524.26308,85,22.23268305,Yes,1629,4
Roanoke,VA,NS,Fort Worth,TX,BNSF,Manifest,Box,Private,Motor Vehicles and Parts,2/26/2013 0:00,3/16/2013 0:00,110643,2741.564797,81,22.44429971,Yes,1755,3
Columbus,OH,NS,Monterrey,NL,KCS,Grain Unit,Box,System,Grain,6/5/2013 0:00,6/20/2013 0:00,212391,595.742095,187,59.43079848,Yes,204,4
Montgomery,AL,CSX,North Little Rock,AR,UP,Grain Unit,Box,Foreign,Grain,3/22/2013 0:00,4/8/2013 0:00,111901,5598.560244,105,35.22822077,Yes,952,2
Pasco,WA,BNSF,North Platte West,NE,UP,Multilevel,Box,Foreign,"Farm and Food Products, Excluding Grain",9/9/2013 0:00,9/19/2013 0:00,81225,3297.425643,159,49.49814484,Yes,1124,3
Roseville,CA,UP,Nashville,TN,CSX,Coal Unit,Box,Foreign,Chemicals,4/7/2013 0:00,4/19/2013 0:00,210795,10746.23008,88,27.51142086,Yes,833,0
Montreal,PQ,CP,Elkhart,IN,NS,Multilevel,Box,Foreign,Intermodal,9/26/2013 0:00,10/8/2013 0:00,76456,3613.023834,118,33.71576193,Yes,1333,1
Cincinnati,OH,CSX,Jackson Yard,MS,CN,Grain Unit,Box,Foreign,Intermodal,3/20/2013 0:00,4/10/2013 0:00,143207,3943.946541,182,45.93207388,Yes,334,1
Macon,GA,NS,Fort Worth,TX,UP,Grain Unit,Box,System,Intermodal,9/16/2013 0:00,9/30/2013 0:00,109364,3691.16101,186,60.71603816,Yes,381,1
North Little Rock,AR,UP,Birmingham,AL,NS,Multilevel,Box,Foreign,Intermodal,8/5/2013 0:00,8/12/2013 0:00,198576,3692.588245,132,38.62943554,Yes,1364,4
Livonia,LA,UP,Fort Worth,TX,BNSF,Grain Unit,Box,System,Intermodal,8/23/2013 0:00,8/31/2013 0:00,157575,8267.798814,174,51.18467406,Yes,1765,1
Corbin,KY,CSX,Memphis,TN,BNSF,Intermodal,Box,System,Petroleum and Petroleum Products,2/16/2013 0:00,3/8/2013 0:00,95489,4835.231872,148,50.92659135,Yes,762,0
Buffalo,NY,CSX,Waycross,GA,CSX,Intermodal,Box,Foreign,"Farm and Food Products, Excluding Grain",8/9/2013 0:00,8/19/2013 0:00,193228,1344.837722,126,44.07838247,Yes,1559,4
North Platte East,NE,UP,St. Paul,MN,CP,Grain Unit,Box,System,Nonmetallic Minerals and Products,12/5/2013 0:00,12/16/2013 0:00,145096,6321.669107,101,31.94942012,Yes,1674,1
Kansas City,KS,BNSF,Tulsa,OK,BNSF,Coal Unit,Box,System,Intermodal,3/1/2013 0:00,3/19/2013 0:00,196515,2754.335211,115,32.66686742,Yes,1891,4
Chattanooga,TN,NS,Monterrey,NL,KCS,Manifest,Box,Foreign,Intermodal,5/9/2013 0:00,5/21/2013 0:00,132169,18644.98477,156,45.57759517,Yes,1885,3
Nashville,TN,CSX,Bellevue,OH,NS,Manifest,Box,System,Forest Products,4/7/2013 0:00,4/19/2013 0:00,148782,135211.0322,155,53.04938258,Yes,1311,2
Sheffield,AL,NS,Hinkle,OR,UP,Manifest,Box,Foreign,Intermodal,9/25/2013 0:00,10/14/2013 0:00,215275,4159.05414,200,64.8715689,Yes,247,3
Jackson,MS,KCS,Fort Worth,TX,BNSF,Grain Unit,Box,Foreign,Intermodal,11/4/2013 0:00,11/15/2013 0:00,119712,3683.340659,151,49.99869336,Yes,405,3
Harrison Yard (Memphis),TN,CN,Nashville,TN,CSX,Manifest,Box,Private,Chemicals,4/20/2013 0:00,5/9/2013 0:00,242280,108120.0783,106,36.94247698,Yes,606,3
Jackson,MS,KCS,North Platte West,NE,UP,Grain Unit,Box,Private,Forest Products,5/8/2013 0:00,5/18/2013 0:00,135224,1726.701418,120,39.33203094,Yes,368,2
Markham Yard,IL,CN,Roseville,CA,UP,Multilevel,Box,System,Nonmetallic Minerals and Products,1/25/2013 0:00,2/5/2013 0:00,207955,2616.013278,174,44.92591089,Yes,1718,4
Louisville,KY,CSX,Baltimore,MD,CSX,Multilevel,Box,System,Nonmetallic Minerals and Products,9/12/2013 0:00,9/26/2013 0:00,190254,10227.88102,101,25.4256059,Yes,236,1
Conway,PA,NS,Markham Yard,IL,CN,Intermodal,Box,Foreign,Coal,4/30/2013 0:00,5/10/2013 0:00,141814,5769.972319,189,64.95821763,Yes,1637,2
Columbus,OH,NS,Cincinnati,OH,CSX,Multilevel,Box,Foreign,Metallic Ores and Metals,1/31/2013 0:00,2/7/2013 0:00,161077,5453.153603,142,40.27032487,Yes,526,3
Sheffield,AL,NS,West Colton,CA,UP,Coal Unit,Box,Foreign,Intermodal,6/8/2013 0:00,6/18/2013 0:00,90032,3457.747128,81,23.04373808,Yes,469,1
Montreal,PQ,CP,Waycross,GA,CSX,Coal Unit,Box,Foreign,Intermodal,9/16/2013 0:00,10/4/2013 0:00,112000,1265.704926,139,37.63847094,Yes,1173,3
Barstow,CA,BNSF,Toledo,OH,CSX,Intermodal,Box,System,Coal,6/16/2013 0:00,6/26/2013 0:00,197372,7491.955479,154,42.90136902,Yes,1730,2
Chattanooga,TN,NS,Nashville,TN,CSX,Intermodal,Box,System,Petroleum and Petroleum Products,3/29/2013 0:00,4/14/2013 0:00,98246,3126.481584,143,35.76209746,Yes,2112,3
Roanoke,VA,NS,Tulsa,OK,BNSF,Manifest,Box,Foreign,Intermodal,9/10/2013 0:00,9/18/2013 0:00,102508,775.2759902,81,21.38497205,Yes,1982,3
Birmingham,AL,NS,Elkhart,IN,NS,Manifest,Box,System,"Farm and Food Products, Excluding Grain",5/25/2013 0:00,6/8/2013 0:00,147199,7230.122491,139,40.41521389,Yes,1899,4
West Colton,CA,UP,Buffalo,NY,CSX,Manifest,Box,Private,Chemicals,8/16/2013 0:00,9/4/2013 0:00,81705,3454.980285,196,51.16390945,Yes,859,5
Cincinnati,OH,CSX,Houston,TX,BNSF,Grain Unit,Box,Foreign,Nonmetallic Minerals and Products,9/22/2013 0:00,10/5/2013 0:00,85443,3216.597548,116,30.76494951,Yes,1641,2
Chattanooga,TN,NS,Willard,OH,CSX,Grain Unit,Box,Private,Intermodal,8/27/2013 0:00,9/16/2013 0:00,163276,148343.4719,92,26.13485885,Yes,731,2
Sheffield,AL,NS,Sheffield,AL,NS,Intermodal,Box,Private,Intermodal,11/18/2013 0:00,11/26/2013 0:00,239547,13695.0412,142,47.8617347,Yes,2089,1
Montreal,PQ,CP,Kansas City,MO,UP,Multilevel,Box,Foreign,Intermodal,10/8/2013 0:00,10/27/2013 0:00,178531,6984.60399,99,33.93117239,Yes,1583,1
Chattanooga,TN,NS,Chicago,IL,CP,Grain Unit,Box,Private,Nonmetallic Minerals and Products,10/19/2013 0:00,11/8/2013 0:00,249393,209537.317,77,22.24546052,Yes,2012,2
Cincinnati,OH,CSX,Denver,CO,BNSF,Coal Unit,Box,System,Coal,1/18/2013 0:00,2/6/2013 0:00,193708,11252.28687,157,52.97354684,Yes,1496,4
Sheffield,AL,NS,Cincinnati,OH,CSX,Intermodal,Box,System,Intermodal,8/24/2013 0:00,9/7/2013 0:00,124108,7431.72947,147,48.54802239,Yes,1437,2
Corbin,KY,CSX,Roseville,CA,UP,Multilevel,Box,Private,Intermodal,2/18/2013 0:00,3/7/2013 0:00,195945,4786.02813,106,32.32802365,Yes,531,2
West Colton,CA,UP,Houston(Settegast),TX,UP,Multilevel,Box,System,Intermodal,4/28/2013 0:00,5/7/2013 0:00,131907,7664.091074,94,25.06327972,Yes,2067,3
Markham Yard,IL,CN,Kansas City,MO,KCS,Coal Unit,Box,System,Coal,6/29/2013 0:00,7/8/2013 0:00,148890,4617.461177,151,52.12609305,Yes,422,0
Elkhart,IN,NS,West Colton,CA,UP,Multilevel,Box,Foreign,Motor Vehicles and Parts,8/8/2013 0:00,8/23/2013 0:00,164993,1888.621248,93,27.6154205,Yes,2087,3
Fort Worth,TX,BNSF,Jackson,MS,KCS,Grain Unit,Box,Private,Intermodal,3/9/2013 0:00,3/29/2013 0:00,230161,7061.694393,87,26.67603718,Yes,468,0
Cincinnati,OH,CSX,Willard,OH,CSX,Grain Unit,Box,Private,Coal,2/19/2013 0:00,3/11/2013 0:00,104600,466.7129826,177,46.51264113,Yes,1819,5
Denver,CO,BNSF,Houston(Settegast),TX,UP,Grain Unit,Box,Foreign,Intermodal,9/30/2013 0:00,10/9/2013 0:00,151470,3917.699265,123,38.87019162,Yes,2020,4
Waycross,GA,CSX,Conway,PA,NS,Intermodal,Box,Private,Coal,10/19/2013 0:00,10/31/2013 0:00,194765,9832.847398,185,49.91362767,Yes,1974,0
Cincinnati,OH,CSX,Laredo,TX,KCS,Coal Unit,Box,Foreign,Intermodal,5/7/2013 0:00,5/26/2013 0:00,227073,5989.902133,157,47.2177294,Yes,236,4
Montreal,PQ,CP,Birmingham,AL,NS,Multilevel,Box,Private,Intermodal,8/28/2013 0:00,9/10/2013 0:00,177438,4540.164224,135,36.75638209,Yes,472,3
Houston,TX,BNSF,Louisville,KY,CSX,Multilevel,Box,System,Coal,1/6/2013 0:00,1/24/2013 0:00,87452,1161.956469,149,43.54669541,Yes,963,2
Knoxville,TN,NS,Nashville,TN,CSX,Grain Unit,Box,System,Intermodal,1/16/2013 0:00,1/26/2013 0:00,153416,110644.4647,133,39.9825042,Yes,729,5
Houston,TX,BNSF,Galesburg,IL,BNSF,Multilevel,Box,Private,Metallic Ores and Metals,11/5/2013 0:00,11/23/2013 0:00,209182,6502.428656,156,42.74331215,Yes,1220,2
North Little Rock,AR,UP,Chattanooga,TN,NS,Manifest,Box,Foreign,Intermodal,7/6/2013 0:00,7/20/2013 0:00,127600,2475.721616,108,34.61126532,Yes,1611,4
Kansas City,MO,KCS,Kansas City,KS,BNSF,Multilevel,Box,Private,Intermodal,11/24/2013 0:00,12/2/2013 0:00,241345,9038.523325,144,43.50903505,Yes,225,4
Nashville,TN,CSX,Linwood,NC,NS,Manifest,Box,Foreign,Motor Vehicles and Parts,8/21/2013 0:00,9/5/2013 0:00,213140,57242.89302,134,41.12430267,Yes,1439,4
Cincinnati,OH,CSX,Selkirk,NY,CSX,Multilevel,Box,Foreign,Metallic Ores and Metals,8/8/2013 0:00,8/27/2013 0:00,191729,6841.354508,189,64.16315285,Yes,1286,5
Harrison Yard (Memphis),TN,CN,Houston,TX,BNSF,Intermodal,Box,Foreign,Intermodal,6/20/2013 0:00,7/8/2013 0:00,116114,39554.25715,186,54.93725012,Yes,1574,3
West Colton,CA,UP,Harrison Yard (Memphis),TN,CN,Multilevel,Box,Foreign,Intermodal,12/8/2013 0:00,12/20/2013 0:00,238893,13160.55489,155,43.48715036,Yes,1950,4
Kansas City,MO,UP,Louisville,KY,CSX,Coal Unit,Box,System,Coal,4/10/2013 0:00,5/1/2013 0:00,235224,5615.978585,168,54.0826177,Yes,2179,2
Nashville,TN,CSX,Fond du Lac Yard,WI,CN,Intermodal,Box,System,Coal,4/4/2013 0:00,4/11/2013 0:00,182221,116888.3387,189,54.61521641,Yes,879,1
Buffalo,NY,CSX,Pasco,WA,BNSF,Coal Unit,Box,Foreign,Chemicals,8/12/2013 0:00,8/19/2013 0:00,226914,13359.17258,149,48.34193937,Yes,1937,3
Columbus,OH,NS,Chattanooga,TN,NS,Manifest,Box,Private,Nonmetallic Minerals and Products,3/1/2013 0:00,3/17/2013 0:00,84061,1899.237529,126,32.22346527,Yes,1815,5
Laredo,TX,KCS,Corbin,KY,CSX,Intermodal,Box,Foreign,Metallic Ores and Metals,8/26/2013 0:00,9/12/2013 0:00,205463,5940.793101,98,33.49852436,Yes,2007,0
Sheffield,AL,NS,Sheffield,AL,NS,Manifest,Box,Private,Intermodal,3/6/2013 0:00,3/24/2013 0:00,79755,3977.193089,76,26.32018577,Yes,624,2
Louisville,KY,CSX,New Orleans,LA,NS,Grain Unit,Box,Private,Coal,3/8/2013 0:00,3/27/2013 0:00,210246,5792.694736,167,53.38663639,Yes,2043,3
Kansas City,KS,BNSF,Pine Bluff,AR,UP,Grain Unit,Box,Foreign,Intermodal,2/17/2013 0:00,3/7/2013 0:00,90635,3508.032703,129,43.05777966,Yes,1414,1
Barstow,CA,BNSF,Lincoln,NE,BNSF,Multilevel,Box,Private,Other,10/21/2013 0:00,11/9/2013 0:00,234653,13965.35523,127,39.71063508,Yes,1948,4
New Orleans,LA,NS,Markham Yard,IL,CN,Intermodal,Box,Foreign,Grain,3/30/2013 0:00,4/9/2013 0:00,93563,2964.053601,91,25.03359577,Yes,1693,4
Shreveport,LA,KCS,Houston,TX,BNSF,Manifest,Box,Private,Intermodal,6/22/2013 0:00,7/2/2013 0:00,173213,5718.031062,155,50.60592108,Yes,260,2
Nashville,TN,CSX,Linwood,NC,NS,Intermodal,Box,Foreign,Coal,5/1/2013 0:00,5/18/2013 0:00,172903,104844.1905,191,49.16821258,Yes,1951,3
Chicago(Proviso),IL,UP,Elkhart,IN,NS,Multilevel,Box,Foreign,Intermodal,8/17/2013 0:00,8/30/2013 0:00,226593,6937.635454,106,27.26080948,Yes,1632,5
Pine Bluff,AR,UP,Montreal,PQ,CP,Multilevel,Box,System,Nonmetallic Minerals and Products,6/26/2013 0:00,7/7/2013 0:00,80845,3400.530754,122,32.61491093,Yes,233,3
Nashville,TN,CSX,Buffalo,NY,CSX,Grain Unit,Box,Foreign,Intermodal,2/1/2013 0:00,2/12/2013 0:00,156456,28952.38239,114,33.70185682,Yes,2045,3
Willard,OH,CSX,Elkhart,IN,NS,Grain Unit,Box,Private,Other,8/5/2013 0:00,8/14/2013 0:00,110988,2123.522751,138,46.6087492,Yes,593,5
Roanoke,VA,NS,Decatur,IL,NS,Multilevel,Box,Private,Intermodal,7/31/2013 0:00,8/7/2013 0:00,237185,10149.70375,152,44.38702664,Yes,2048,0
Markham Yard,IL,CN,Columbus,OH,NS,Coal Unit,Box,System,Coal,7/28/2013 0:00,8/7/2013 0:00,151342,1302.429118,102,28.71857114,Yes,609,2
Waycross,GA,CSX,Elkhart,IN,NS,Manifest,Box,Private,Intermodal,2/18/2013 0:00,3/1/2013 0:00,160232,882.0156997,149,38.22405061,Yes,1652,1
Jackson,MS,KCS,Livonia,LA,UP,Grain Unit,Box,Private,Coal,12/28/2013 0:00,1/17/2014 0:00,153714,7960.796668,164,54.02541243,Yes,426,0
Montreal,PQ,CP,Shreveport,LA,KCS,Intermodal,Box,System,Intermodal,10/5/2013 0:00,10/18/2013 0:00,125107,5335.04627,113,33.96164561,Yes,488,3
Toledo,OH,CSX,Louisville,KY,CSX,Intermodal,Box,System,Metallic Ores and Metals,5/15/2013 0:00,5/24/2013 0:00,92280,1345.87455,115,29.11228619,Yes,2102,5
New Orleans,LA,NS,Tulsa,OK,BNSF,Manifest,Box,Private,Petroleum and Petroleum Products,8/30/2013 0:00,9/19/2013 0:00,221072,2304.029559,131,44.92664166,Yes,2013,2
Houston(Englewood),TX,UP,Milwaukee,WI,CP,Grain Unit,Box,System,Intermodal,6/5/2013 0:00,6/18/2013 0:00,79510,2187.189118,184,50.13416902,Yes,921,3
North Platte East,NE,UP,Willard,OH,CSX,Grain Unit,Box,Foreign,Metallic Ores and Metals,5/14/2013 0:00,6/1/2013 0:00,166078,3724.494581,115,30.12052605,Yes,1661,2
Macon,GA,NS,North Little Rock,AR,UP,Manifest,Box,System,Intermodal,9/29/2013 0:00,10/13/2013 0:00,85086,1667.343471,118,31.87862155,Yes,1632,2
New Orleans,LA,NS,New Orleans,LA,NS,Intermodal,Box,Private,Motor Vehicles and Parts,4/14/2013 0:00,4/30/2013 0:00,144704,1964.23769,188,56.30129256,Yes,772,1
Montreal,PQ,CP,Tulsa,OK,BNSF,Manifest,Box,Private,Intermodal,1/19/2013 0:00,2/1/2013 0:00,180781,5952.986582,190,55.17095021,Yes,688,2
Bellevue,OH,NS,West Colton,CA,UP,Multilevel,Box,Foreign,Intermodal,4/21/2013 0:00,5/11/2013 0:00,196034,9323.306662,185,59.64882506,Yes,1615,4
Roseville,CA,UP,Corbin,KY,CSX,Manifest,Box,Private,Intermodal,10/22/2013 0:00,11/11/2013 0:00,135150,946.5970938,156,46.14136716,Yes,1442,2
Milwaukee,WI,CP,Fort Worth,TX,UP,Intermodal,Box,System,Intermodal,6/30/2013 0:00,7/21/2013 0:00,132192,3349.100373,199,64.10037821,Yes,497,4
Houston(Englewood),TX,UP,Jackson Yard,MS,CN,Coal Unit,Box,System,Coal,1/22/2013 0:00,2/11/2013 0:00,124411,317.9730992,96,27.40043595,Yes,261,3
Elkhart,IN,NS,Montgomery,AL,CSX,Intermodal,Box,System,Intermodal,12/24/2013 0:00,1/12/2014 0:00,139655,3358.658198,89,30.75105374,Yes,2055,5
Kansas City,MO,UP,Sheffield,AL,NS,Manifest,Box,System,Nonmetallic Minerals and Products,7/23/2013 0:00,8/7/2013 0:00,119848,5741.775036,145,46.63147502,Yes,1750,0
Memphis,TN,BNSF,Buffalo,NY,CSX,Intermodal,Box,Foreign,Intermodal,10/8/2013 0:00,10/18/2013 0:00,118322,101242.1161,171,45.36201281,Yes,1794,0
Barstow,CA,BNSF,Livonia,LA,UP,Grain Unit,Box,Foreign,Intermodal,9/14/2013 0:00,9/23/2013 0:00,106621,207.203077,89,26.94297526,Yes,1992,2
Elkhart,IN,NS,Jackson,MS,KCS,Coal Unit,Box,System,Metallic Ores and Metals,4/22/2013 0:00,5/11/2013 0:00,217204,5792.703903,133,37.04779681,Yes,1442,4
Markham Yard,IL,CN,Indianapolis,IN,CSX,Multilevel,Box,Private,Chemicals,4/17/2013 0:00,5/8/2013 0:00,166552,3526.41221,183,62.60362402,Yes,834,2
Toledo,OH,CSX,Jackson Yard,MS,CN,Grain Unit,Box,System,Intermodal,12/1/2013 0:00,12/11/2013 0:00,132884,4438.550715,140,36.01977507,Yes,874,4
Hinkle,OR,UP,Lincoln,NE,BNSF,Manifest,Box,Private,Coal,12/10/2013 0:00,12/22/2013 0:00,245032,4548.276595,149,42.50047028,Yes,961,0
Allentown,PA,NS,Elkhart,IN,NS,Multilevel,Box,Foreign,Coal,10/28/2013 0:00,11/17/2013 0:00,90978,4763.888662,143,40.95440248,Yes,1153,1
Montgomery,AL,CSX,Russell,KY,CSX,Coal Unit,Box,System,Intermodal,8/13/2013 0:00,9/1/2013 0:00,134369,4840.576901,195,48.92377366,Yes,458,3
Houston(Settegast),TX,UP,Jackson,MS,KCS,Coal Unit,Box,System,Intermodal,7/21/2013 0:00,8/5/2013 0:00,75302,3892.349913,150,48.27039733,Yes,1434,3
Livonia,LA,UP,Buffalo,NY,CSX,Coal Unit,Box,System,Intermodal,2/6/2013 0:00,2/23/2013 0:00,101249,22.60765614,123,37.66653082,Yes,722,0
Buffalo,NY,CSX,Kansas City,KS,BNSF,Manifest,Box,System,Intermodal,10/31/2013 0:00,11/20/2013 0:00,163982,7788.082674,129,33.46372485,Yes,1093,3
Corbin,KY,CSX,Northtown,MN,BNSF,Coal Unit,Box,Private,Intermodal,11/5/2013 0:00,11/13/2013 0:00,158996,8713.155282,140,35.14957834,Yes,1607,5
Fort Worth,TX,BNSF,Baltimore,MD,CSX,Multilevel,Box,Foreign,Intermodal,12/1/2013 0:00,12/15/2013 0:00,184485,5741.591647,157,41.55091289,Yes,1036,1
Galesburg,IL,BNSF,Macon,GA,NS,Intermodal,Box,Foreign,Grain,9/25/2013 0:00,10/7/2013 0:00,111226,4354.160291,114,33.61162481,Yes,835,3
Fort Worth,TX,UP,Louisville,KY,CSX,Multilevel,Box,Foreign,Coal,6/16/2013 0:00,7/1/2013 0:00,186268,2308.320011,183,49.1883773,Yes,880,1
Barstow,CA,BNSF,Roanoke,VA,NS,Manifest,Box,System,Coal,8/9/2013 0:00,8/27/2013 0:00,85737,4821.429046,76,19.73518051,Yes,2038,3
Louisville,KY,CSX,Toledo,OH,CSX,Grain Unit,Box,Private,Intermodal,6/4/2013 0:00,6/20/2013 0:00,93757,150.4849686,166,50.15295962,Yes,1618,3
Barstow,CA,BNSF,Tulsa,OK,BNSF,Coal Unit,Box,Private,Intermodal,4/22/2013 0:00,4/30/2013 0:00,225767,11301.11961,117,30.2934797,Yes,2006,1
Sheffield,AL,NS,Shreveport,LA,KCS,Coal Unit,Box,Private,Intermodal,2/24/2013 0:00,3/10/2013 0:00,122080,434.1407879,79,23.3613726,Yes,617,2
Birmingham,AL,NS,North Little Rock,AR,UP,Coal Unit,Box,Foreign,"Farm and Food Products, Excluding Grain",6/16/2013 0:00,7/1/2013 0:00,224403,8626.749048,175,54.71606223,Yes,709,4
New Orleans,LA,NS,West Colton,CA,UP,Intermodal,Box,System,Intermodal,2/27/2013 0:00,3/11/2013 0:00,173027,267.6642574,154,50.23100164,Yes,1494,4
Russell,KY,CSX,Selkirk,NY,CSX,Grain Unit,Box,System,"Farm and Food Products, Excluding Grain",11/15/2013 0:00,11/23/2013 0:00,189980,9740.999089,134,44.22968506,Yes,771,4
Cincinnati,OH,CSX,Russell,KY,CSX,Coal Unit,Box,Foreign,Metallic Ores and Metals,5/20/2013 0:00,6/4/2013 0:00,197565,9413.226253,185,46.66140597,Yes,309,1
North Platte East,NE,UP,Northtown,MN,BNSF,Intermodal,Box,Private,Petroleum and Petroleum Products,2/13/2013 0:00,3/5/2013 0:00,119019,1569.963669,152,53.04559526,Yes,557,4
Hamlet,NC,CSX,Fond du Lac Yard,WI,CN,Grain Unit,Box,System,Intermodal,8/23/2013 0:00,9/9/2013 0:00,188376,9850.683601,153,43.67833768,Yes,1838,1
Denver,CO,BNSF,Selkirk,NY,CSX,Intermodal,Box,System,Intermodal,8/2/2013 0:00,8/18/2013 0:00,238037,12953.12277,167,55.21891982,Yes,1332,4
Fort Worth,TX,BNSF,Lincoln,NE,BNSF,Multilevel,Box,System,Coal,8/19/2013 0:00,9/5/2013 0:00,210834,5923.645995,136,43.2220845,Yes,472,1
Birmingham,AL,NS,Montgomery,AL,CSX,Coal Unit,Box,Private,Nonmetallic Minerals and Products,6/16/2013 0:00,7/4/2013 0:00,193107,9625.406875,127,35.09166607,Yes,441,2
Louisville,KY,CSX,Milwaukee,WI,CP,Manifest,Box,System,Intermodal,1/3/2013 0:00,1/24/2013 0:00,155753,2509.621356,134,37.04183663,Yes,2034,0
Lincoln,NE,BNSF,Chattanooga,TN,NS,Grain Unit,Box,Private,"Farm and Food Products, Excluding Grain",8/2/2013 0:00,8/16/2013 0:00,75088,3763.883597,126,31.76305692,Yes,419,3
Kansas City,KS,BNSF,Jackson,MS,KCS,Grain Unit,Box,Foreign,Chemicals,3/29/2013 0:00,4/11/2013 0:00,212297,2383.055032,171,53.5127638,Yes,259,4
Monterrey,NL,KCS,Linwood,NC,NS,Intermodal,Box,System,Intermodal,4/9/2013 0:00,4/23/2013 0:00,148477,8595.671772,182,54.78001315,Yes,847,4
Hamlet,NC,CSX,Decatur,IL,NS,Multilevel,Box,Foreign,Coal,6/17/2013 0:00,6/28/2013 0:00,219172,7112.761564,120,39.85228803,Yes,1428,0
Harrison Yard (Memphis),TN,CN,Galesburg,IL,BNSF,Manifest,Box,Private,Nonmetallic Minerals and Products,9/11/2013 0:00,10/1/2013 0:00,166881,20783.36453,173,53.33065011,Yes,568,4
Pine Bluff,AR,UP,Jackson Yard,MS,CN,Manifest,Box,Private,Intermodal,8/7/2013 0:00,8/20/2013 0:00,183308,6436.358395,152,51.98344382,Yes,293,2
Hinkle,OR,UP,Roanoke,VA,NS,Coal Unit,Box,Foreign,Intermodal,8/5/2013 0:00,8/13/2013 0:00,241784,3752.792196,103,34.04614493,Yes,555,3
Fond du Lac Yard,WI,CN,Houston,TX,BNSF,Intermodal,Box,Private,Metallic Ores and Metals,9/1/2013 0:00,9/13/2013 0:00,96241,5165.234929,77,23.84741313,Yes,2077,1
Kansas City,MO,UP,Barstow,CA,BNSF,Manifest,Box,System,Intermodal,8/20/2013 0:00,8/29/2013 0:00,171883,7729.664613,183,54.57068313,Yes,991,5
