description,identificator,num_counts,price,start_date,title
"ЛАКИ- 6-8 мес. Игривый, забавный шустрый мальчик черного цвета. Жизнерадостный ребенок, разговорчивый. Это чудо у нас в приюте появилcя меньше недели. ЛАКИ найден в г. Щербинка ул.Чехова (возле магазина Галерея).На собаке не было ошейника, только декоративная цепочка, быть может кто то ищет малыша или захочет подарить ему новый дом! Малыш явно домашний!",508476615,386,Неуказана,10 февраля 2015,Лаки ищет семью
"ДЖЕССИ- примерно 3 года., рост ниже колена, маленький пушистый лисенок, очаровательный и лохматый. Яркие рыжие пятна предают ей солнечное позитивное настроение. ДЖЕССИ очень послушная, отлично ходит на поводке, поддается командам, умеет подавать лапу. Миролюбивая и общительная контактная собака. Такое очарование не должно сидеть в приюте, ей поскорее нужен дом!  ДЖЕССИ подойдет как в квартиру так и в частный дом.",508488918,452,Неуказана,10 февраля 2015,Джесси ищет любящую семью
"РИТА- скромная и очаровательная собака, ниже колена похожая на панду своей черной маской на мордашке. ВСЕ кто знакомятся с РИТОЙ сразу очаровываются ее внешностью панденка и чуть неуклюжей походке медвежонка, у собаки пушистая мягкая шерсть, поэтому такую плюшку всегда хочется обнять и потискать. Помимо всего у РИТЫ есть артистические способности ;) Большую часть своей жизни РИТА провела в приюте для собак Щербинка ЮЗАО (около 3х лет) и последнее время наконец то сделала первые шаги из вольера вместе с нами ,ради того чтобы быть увиденной, теперь она уже уверенно гуляет на поводке! Наконец то РИТА сможет найти хозяина, ведь такое чудо не может быть не замеченным! РИТА очень ждет своего хозяина, приезжайте знакомиться с мини пандочкой, и быть может именно Вы подарите ей дом и согреете ее своим сердцем!",508493353,1159,Неуказана,10 февраля 2015,"Рита, маленькая панда, ищет семью"
"РЕЯ- молодая собака полная жизни и энергии! Очень энергичная, любит прыгать, бегать, в ней кипит жизнь! Ласковая, контактная, общительна и адекватна к другим собакам. Подойдет активной молодой семье, РЕЯ зарядит Вас позитивом!",508497614,154,Неуказана,10 февраля 2015,Рея ищет хозяев
"БЭМБИ- робкая девочка, миролюбивая, немного пуглива с выразительным грустным детским взглядом, заглядывает в глаза людей ища хозяина...Спокойная, любит пешие прогулки. Ушки у БЭМБИ купированы, шерсть шоколадного цвета. Подойдет в семью пожилым людям, либо семье которой нужна спокойная тихая собака-компаньон для души. БЭМБИ очень ждет своего хозяина...!",508506424,202,Неуказана,10 февраля 2015,Бэмби ищет хозяина
"Гамр-Армянский Волкодав-древняя (аборигенная) порода собак обитающая на территории Армянского нагорья с незапамятных времен. Сильная, УРАВНОВЕШЕННАЯ, с прекрасной психикой без генетических заболеваний. Питомник в Армении и Краснодарском Крае. Доставка до Москвы или Краснодарского края входит в стоимость собаки. Все собаки привозятся с Армении",509591849,1356,Неуказана,11 февраля 2015,Гампр-Армянский Волкодав (только от рабочих родите
"Кай метис черного терьера,молодой мальчик 1 года. Бывший домашний. Ласковый, доверчивый,контактный,покладистый.Небольшой по размеру. Приучен к поводку, очень спокойный и умный. Хорошо ладит с другими собаками. Бородатик очень хочет вновь обрести семью и дом. Сейчас в приюте.",510412117,527,Неуказана,13 февраля 2015,"Кай черный терьер 1 год, ищите дом, бывший домашни"
"Альма, 1 год. Умная, ласковая, послушная собака. Здорова, привита, стерилизована.  Отдается в частный дом в добрые руки, не на цепь.",510959841,695,Неуказана,13 февраля 2015,Умница Альма ищет дом
"Амур, 1 год, здоров, привит, кастрирован.  Амур очень сообразительный, добрый и преданный пес. Прекрасно ведет себя в квартире или доме, знает поводок и некоторые команды. У Амура хорошие охранные качества. Отдается в квартиру или дом, не на цепь.",510965283,546,Неуказана,13 февраля 2015,Замечательный пес Амур ищет дом
"Очаровательная Белоснежка: красивая, спокойная, милая, с тоненькой изящной мордашкой. Ходит на поводке, размеренная и неспешная. Такой красавице не место в приюте. Скорее всего раньше она жила дома. Тянется к человеку, подойдёт в спокойную, не молодую семью, будет с достоинством неспешно гулять рядом с Вами и радовать вас своей яркой внешностью и добродушным характером. Рост в холке ниже колена. С другими собаками может не ужиться. Стерилизована.",510998130,1431,Неуказана,13 февраля 2015,Белоснежная красавица Белоснежка ищет дом (в дар)
"О Дине можно сказать - миниатюрная овчарка. Добрая, ласковая, преданная. Выразительный взгляд её умных глаз говорит о том, что она всё понимает не хуже самых породистых овчарок, о том, что она верно и преданно готова служить своему Хозяину. Девочка дружелюбная, в меру спокойная и тактичная.  Очень любит погулять и побегать, отлично ходит на поводке. Ладит с другими собаками, ориентирована на человека.  Дине 6 лет, рост средний (около 50 см в холке), стерилизована. Если Вы хотите иметь овчарку, по не можете себе позволить содержать собаку больших габаритов, то Дина идеальный вариант для Вас! Дина ждёт своих хозяев на временной передержке. Территориально г. Королёв, М.О.",51169992,1812,Неуказана,18 декабря 2011,Дина. Небольшая овчаристая собака в добрые руки
"Щенок тайского риджбека девочка, окрас темно-серый, шерсть велюр. Без риджа. Также  в продаже ее братья и сестры с риджем. Родителей покажу при покупке щенка.",511927858,5455,10000,15 февраля 2015,Графитовая таечка без риджа
"Щенки метисы лайки, гладкошерстные, возраст 2 месяца, окрасы разные, вырастут средних размеров, домашние, ждут хозяина. Возможна доставка к вам.",51288956,8205,Неуказана,19 декабря 2011,"Щеночки метисы лайки в дар, с доставкой к вам"
"Родилась в ноябре 2011 года, в холке около 40 см, здорова привита, стерилизована. Веселая, красивая, ладит с другими собаками, прекрасно ходит на поводке, аккуратная и немного робкая.  Она будет прекрасным компаньоном и лучшим вашим другом.  В приюте трехмесячная Рыся появилась в начале марта 2012 года. Она не осталась незамеченной и началась уже наша, совместная с ней история. Мы учились доверять людям, учились гулять, бегать, ходить на поводке, и просто радоваться всему, что нас окружает. Первые, робкие ее шаги по траве, вызывали слезы радости. Теперь она счастлива каждому дню и ждет, очень ждет, когда у нее будет своя семья.",513148551,207,Неуказана,17 февраля 2015,Самая лучшая собака в дар
"Очаровательная девочка 3-х лет (дата рождения 10.2011) оказалась одна на улице по неизвестным причинам, попала в приют еще маленьким 4-х месячным щенком. Долгое время пробыла без должного внимания и успела даже немного одичать. Но к счастью, Риджи не осталась незамеченной. Теперь она знает, что такое поводок, прогулки в парке, что такое радоваться снегу и зеленой траве, дождю и яркому солнцу. Она поняла, что человек может не только причинить боль и предать, но и приласкать, подарить тепло и любовь. Риджи очень общительная собака, обладает лидерскими качествами, добрая, уравновешенная, энергичная и веселая. Если Вам нужен верный друг, хороший охранник, да и просто тот, кто всегда составит вам компанию - это, несомненно, Риджи. В холке 40-45 см, стерилизована, привита.",513153725,636,Неуказана,17 февраля 2015,Красивый и благородный пес в добрые руки
"Тося контактная, дружелюбная и любопытная девочка, показала себя с самой лучшей стороны при первом (вынужденном, после покусов соседа) выходе из зимника. Тося сама на поводке дошла до стационара, где вела себя стойко и достойно. Тося гуляет на общем выгуле, хорошо ходит на поводке.Это собачка-компаньон. Ласковая, ненавязчивая, деликатная и умная. Миниовчарочка. Рост 45-48 см в холке. Примерный год рождения 2007.  Стерилизована.",513331961,649,Неуказана,17 февраля 2015,Небольшая овчаристая Тося-ваш будущий друг (в дар)
"Красавец мужчина-Пушкин ищет дом. Очень обаятельный, позитивный, хулиганистый и все время пританцовывающий пес)В своем вольере доминант, ""строит"" соседок по клетке, отгоняет других собак, претендующих на его обед, охраняет свою территорию, ни один враг не пройдет незамеченным мимо Пушкина!)Ну а в целом парень дружелюбный, к людям и собакам не агрессивен, на кошках не проверяли. Ходит гулять на поводке, к незнакомым людям относится с осторожностью, боится громких звуков: гром, салют и т.п. Пушкину около 4 лет,50 см в холке, здоров, привит, кастрирован.",514035078,646,Неуказана,18 февраля 2015,Танцующий обворожительный пес в добрые руки
"Очаровательная Манька-Маруська примерно трех лет из приюта на Дубовой не теряет надежды сменить вольер на теплый дом и обрести заботливого хозяина. Пугливая в прошлом, жизнерадостная и общительная собачка в настоящем! Маруська здорова, привита, стерилизована. Очень любит гулять, хорошо ходит на поводке.",514037972,162,Неуказана,18 февраля 2015,Привитая и стерилизованная собака в дар
"БАРОША- пушистый маленький задорный пес на коротких лапках с большими лисьими ушками. Очень ласковый, игривый, любит бегать, прыгать, играть с другими собаками. В общем эта красота говорит сама за себя ;)",514451127,270,Неуказана,19 февраля 2015,Бароша ищет любящую семью
"ФИОНА - 2-3 года. ,не выше колена, лохматая, шерсть золотисто-белого цвета. живая, общительная ,дружелюбная. Любит играть, валяться в снегу, активная ,маленькая принцесса. Собака компанейская, друг для всей семьи!",514456391,245,Неуказана,19 февраля 2015,Фиона ищет любящего хозяина
"ЗИГМУНД- пес- изобретатель, около 8 мес. ,рост по колено (не крупный),мальчик подросток, интересного черно-белого окраса с выразительными светло-карими глазами и человеческим взглядом. Очень задорный и игривый, обожает купаться в снегу ,играть, ползать на животе вытягивая за собою задние лапы, играя в охотника а может он представляет что плывет ,в  общем это нужно видеть ,поэтому с ЗИГМУНДОМ обязательно нужно познакомиться- такого интересного пса вы еще не видели ,он очень изобретательный и сообразительный! :).Не смотря на свою щенячью активность стоит его приласкать и почесать за ухом как ЗИГМУНД как ребенок начнет засыпать у вас в руках.:)Имеет охранные качества, разговорчивый. С первого взгляда люди очаровываются ЗИГМУНДОМ, есть в нем что-то необычное ,не только в окрасе но и в поведении, он как маленький смышленый ребенок а не просто собака...! Малыш ЗИГМУНД ищет любящие надежные руки, заботливую семью мальчик очень ждет и хочет ДОМОЙ! Подойдет в квартиру или загородный дом ,это собака друг и компаньон для всей семьи!",514461056,365,Неуказана,19 февраля 2015,Зигмунд ищет любящие надежные руки
"ТОМАС- примерно 4 года, красивый, статный пес атлетического телосложения. Окрас яркий ,лапы рыжие пестрые .Мальчишка очень контактный и общительный ,отлично ходит на поводке и без него, ладит с другими собаками. В приюте томас немного повредил правый глаз, хотя это практически не видно, в остальном собака здоровая, энергичная и полная сил и любви к человеку, не смотря на то что оказалась в приюте. ТОМАС очень ждет любящего хозяина, звоните и приезжайте знакомиться!",514468501,192,Неуказана,19 февраля 2015,Томас очень ждет любящего хозяина
"Малыш Джек-мальчик с детской щенячей мордашкой но взрослый пес около 5 лет (большую часть своей жизни прожил в приюте),ниже колена, изящного телосложения. Малыш Джек очень добрый, спокойный и нежный вечный ребенок, ему нужен заботливый и любящий хозяин. Эта собака для души, собака копманьон ,Джек и с поводком и без поводка не будет отходить от вас ни на шаг, любит обняться, прижаться к человеку заглядывать с детской надеждой вам в глаза, веря что именно сегодня может быть именно Вы заберете его из приюта ДОМОЙ.... Эта собака для спокойной размеренной жизни или для пожилых людей которые ищут собаку-друга. Дружелюбен с другими собаками. Подарите Малышу Джеку ДОМ! Таким нежным и тихим собачкам особенно тяжело в приютских условиях...",514478975,643,Неуказана,19 февраля 2015,Джек ищет хозяина
"УШАН- артист ,с бесконечным обаянием! У УШАНА очень развита мимика, его мордочка выражает много эмоций и очень артистична ,этим он очаровывает всех! С такой собакой никогда не будет скучно! Ушан послушный и сообразительный, любит порезвиться и поиграть Контактный, компанейский, любит общество людей ,адекватен к другим собакам. Если вы хотите завести собаку компаньона- УШАН идеальный вариант, он очень ждет хозяина ,и не может без человеческого общения! Приезжайте знакомится с УШАНОМ !",514484188,214,Неуказана,19 февраля 2015,Ушан ищет любящего хозяина
"МАРИШКА- небольшая собака ниже колена с интересно выточенными стоячими ушками. Задорная, очень общительная, игривая, энергичная и контактная ,обожает купаться в снегу. Адекватна к другим собакам. МАРИШКА-маленький живой моторчик, постоянно в движении, гулять лучше на шлейке. МАРИШКА очень ждет своего хозяина ,идеально подойдет в квартиру.",514487906,395,Неуказана,19 февраля 2015,Маришка ищет любящего хозяина
"БОРЬКА- молодой энергичный, сильный пес, рост выше колена. Оригинальный окрас и забавные веснушки на мордочке, хвост бубликом. Жизнерадостный, позитивный, подвижный и общительный. Любит бегать, прыгать, играть, с интересом относится к другим собакам .Мощный, т.к. в приюте гуляет редко сильно тянет на поводке ,но если будет гулять ежедневно будучи уже дома с хозяевами то будет уже идти рядом (т.к. будет нагуливаться).По натуре лидер. Подойдет активным людям ,внесет в вашу жизнь позитив!",514497022,141,Неуказана,19 февраля 2015,Борька ищет хозяина
"ЧУБАЙС- молодой энергичный рыжий кобель ,выше колена, с веселыми веснушками на мордочке ,хвост бубликом. Яркий позитивный ,полон жизни ,общительный, любит играть, бегать, дружелюбный с другими собаками. ЧУБАЙСУ тяжело устоять на месте ,движение -жизнь! Очень любит гулять, долгие прогулки, купание в снегу и т.д. В то же время отлично обучаем ,послушный, только вот одна проблема- нет хозяина! Если бы ЧУБАЙСУ уделяли время и любовь в нужном количестве, если бы у него был дом- ЧУБАЙС подарил бы своей семье море позитива и любви ,принес удачу! А сейчас мальчик сидит в приютском вольере и ждет пока его хозяин заметит его в просторах интернета и заберет ДОМОЙ! Так и должно случиться!",514505646,611,Неуказана,19 февраля 2015,Чубайс ищет семью
"Робкий и застенчивый мальчик ,очень худенький ,но теперь мы приведем его в порядок и откормим. Не доверчив и осторожен с новыми людьми но очень тянется к опекуну-АРОНУ очень не хватает опеки и защиты хозяина! Это собака- компаньон, которая не может быть сама по себе, ей очень необходимо человеческое общение. Мы работаем над его адаптацией чтоб он вновь мог доверять людям и стал более открытым, уже есть результаты:). АРОН ищет самого доброго и надежного хозяина который сможет окружить его заботой и подарить семью!",514512008,273,Неуказана,19 февраля 2015,Арон ищет любящую семью
"Пеструша молодая собака ,ниже колена, волчьего окраса с очень красивыми глазами цвета ореха. Активная, любит гулять. Приучена к поводку.",514515135,197,Неуказана,19 февраля 2015,Пеструша ищет любящего хозяина
"САРА- бывшая домашняя собака ,в приют попала с 2013 года .Девочка с характером но добрячка по натуре, умная, послушная, слушает опекуна, к чужим людям не доверчива, может постоять за себя и за своего хозяина но не агрессивна, внимательна. Адекватна к другим собакам. САРА открыта для общения, доброжелательна ,любит поиграть, покупаться в снегу, обожает прогулки и общение с человеком, обниматься :). Не смотря на то, что ее уже предали однажды, как и остальных собак в приюте ,она по прежнему верит людям и ждет своего хозяина!",514518840,189,Неуказана,19 февраля 2015,Сара ищет любящую семью
"ЭМИН- рыжий, интеллигентный, еще боязливый мальчик, но с каждой прогулкой постепенно становится смелее. Приучен к поводку. У ЭМИНА очень интересная походка за счет слишком широко посаженных передних лап ,есть в нем какой то шарм. В целом дружелюбный и душевный парень мечтающий обрести семью, каждой собаке в приюте нужно дать шанс быть увиденной и обязательно найти хозяина, ЭМИН очень ждет Вас, приезжайте!",514521966,193,Неуказана,19 февраля 2015,Эмин нуждается в семье
"Настоящая красота – внутри, а не снаружи МОСЬКА- это небольшая молоденькая собака ниже колена, переполнена ЛЮБОВЬЮ К ЧЕЛОВЕКУ!  Думаю на пути у этой собаки встречались не хорошие люди и быть может если бы собаки умели говорить ,то МОСЬКА поведала бы нам историю своей жизни. МОСЬКА на столько открытая и позитивная собака, очень общительная, даже не верится что совсем недавно она была на холодной улице г.Климовска, спала на холодном люке. Сколько счастья, радости и любви исходит от МОСЬКИ когда она встречает знакомых людей и волонтеров, она буквально пританцовывает рядом с волонтером, идя на прогулку, рвется обняться и облизать опекуна. Энергичный моторчик ,собака которая не может устоять на месте ,обожает бегать, прыгать, играть, с интересом относится к другим собакам ,приучена к поводку но и без него не отойдет от вас не отойдет. Это собака компаньон. У МОСЬКИ травма носа, он чуть искривлен и немного порван в верхней части (так и остался),но это ей совсем не мешает жить и радоваться жизни. Эта чудесная позитивная собака с БОЛЬШИМ СОБАЧЬИМ СЕРДЦЕМ, очень любящая жизнь! Давайте подарим ей дом, на уже много натерпелась!",514525986,341,Неуказана,19 февраля 2015,Моська ищет любящего хозяина
"Девочка, метис, 50 см в холке, 3 года. Ася необыкновенно умная, энергичная и общительная собачка. Была домашней, но потом жизнь изменилась и теперь она живет в приюте. У Аси необыкновенно умные большие глаза цвета винного топаза и еще она умеет улыбаться и стоять на задних лапках, предвкушая встречу с любимым волонтером. Москва, Вешняки.",514739860,250,500,19 февраля 2015,Ася
"Люси и Скай - очаровательные ярко-рыжие красавцы в чёрных масках, очень активные и энергичные собаки. Они настолько рады вниманию, что, как два рыжих урагана, скачут по всему вольеру, чуть не сбивая вас с ног, стоит только к ним зайти. С удовольствием в самых первых рядах мчатся на прогулку, где продолжают носиться, как сумасшедшие. Чрезвычайно резвые, шустрые и прыгучие. Физически очень сильные животные, ничего и никого не боящиеся. Они - необузданная стихия! Таким будет необходима твёрдая хозяйская рука, строгое воспитание по-настоящему любящего и доброго хозяина. Человеку, способному укротить их нрав, они будут навсегда и бесконечно преданы. Лучше всего будут чувствовать себя в загородном доме.",51477319,3533,Неуказана,20 декабря 2011,Энергичные рыжие красавцы в добрые руки (в дар)
""" Чувствовать, что ты не нужен - это медленная смерть для мужчины "" /Грей/ Пай - невероятно нежный и ласковый мальчик. Самая большая радость для малыша - это прижаться к человеку и закрыть глаза от счастья, что ты все ещё кому то нужен.  Пай очень ориентирован на человека - доброжелателен, агрессии и настороженности совершенно нет, только нежность и любовь. Прекрасно ладит с детьми.  На общем выгуле не гуляет, так как конфликтует с сородичами. На поводке ходит идеально, с удовольствием принимает угощения. Примерный год рождения 2007г. Кастрирован. Ищем для Малыша Пая семью, можно с детьми, где он будет единственной любимой собакой.",515875667,457,Неуказана,21 февраля 2015,Пай-преданный добрый пес в добрые руки в дар
"Большой плюшевый уютный медвежонок Миша с умными глазами и добрым сердцем готов к жизни в любящей семье. Миша здоров, привит, кастрирован. Возраст 1,5 года, рост 70см в холке.  Миша прекрасный друг, компаньон и защита. Характер спокойный, дружелюбный, хорошо ладит с другими собаками и кошками.  Любит детей. Приучен к выгулу и поводку. Отдается в дом или квартиру. Звоните и приезжайте знакомиться.",515879735,378,Неуказана,21 февраля 2015,"Молодой метис Миша, 1.5 года, в добрые руки"
"Мышка - мегаласковая собачка, очень добрая, полностью ориентированная на человека. Очень любит внимание и с радостью подходит гладиться к людям. Несмотря на не легкую приютскую жизнь, Мышка не растеряла своей жизнерадостности, всегда встречает меня бурей эмоций. Любит вкусно покушать. К собакам агрессии не проявляет, но активно защищает свою территорию. Мышке приблизительно 5 лет, в холке около 50см, стерилизована, привита, на поводке ходит спокойно, не тянет. Подойдет в семью с детьми.",515902084,382,Неуказана,21 февраля 2015,Самая ласковая в мире собака в дар
"Нестандартная внешность Норы сразу бросается в глаза – шоколадная плюшевая шерстка, коричневый нос и огромные янтарные глаза. Похоже, что прародитель у Норочки был из породистых, но жизнь сложилась неудачно и такая красота оказалась в приюте. По характеру Нора – ласковая, скромная, трепетная, но не много застенчивая с незнакомыми людьми, но если Вы заслужите ее расположение, то будет Вам абсолютно верна. Нора небольшая, рост в холке 35-40 см, вес 12 кг, здорова, стерилизована, приблизительный возраст 3 года. Пристраивается единственной любимицей в опытные руки собаковода, который сможет отогреть Нору. Нора попала в приют с небольшим искривлением задней лапки (скорее всего была травма или перелом), но это совершенно не мешает Норочке при ходьбе. Нора такая молоденькая и милая и уже столько всего пережила, но, что удивительно, не потеряла радости жизни и стремления к человеку. Нора жизнерадостная, пусть белая полоса в её жизни начнется вместе с Вами. Если Вам понравилась Нора, то звоните и приезжайте знакомиться Территориально микрорайон Кожухово (ВАО)",516594339,2399,Неуказана,23 февраля 2015,Совсем не большая милая собака Нора ищет дом(в дар
"И у него только три лапы. Арчи вырос в одном из московских дворов, за ним ухаживали сердобольные бабули. Но однажды щенок не угодил кому-то из местных жителей - поцарапал машину, не на того залаял или что-то в этом роде - и Арчи жестоко избили, сломали лапу. Бабули понесли Арчи в клинику, но там лапу сохранить не смогли. Шансов выжить на улице в таком состоянии - ноль. Тем более, что Арчи очень истощен и ему не хватает мышечной массы, чтобы нормально бегать на трех лапах. Но это безумно ласковый и позитивный пёс!!! Он обожает людей, влюбленно смотрит в глаза посетителям приюта, бежит ласкаться и играть, пытается прыгать за игрушками на одной задней лапе - он очень заводной и веселый, несмотря ни на что. Он большой пёс добрейшей души. Мы ищем для Арчи семью, которую он сделает бесконечно счастливой. Приезжайте знакомиться!!!",517608121,818,Неуказана,25 февраля 2015,"Арчи, обаятельный трехлапик, в дар"
"Внебрачный сын русской дворянки и лорда из графства Стаффордшир.    От мамы Лорду Moskvin досталась гордая осанка и добрый нрав, а от папы - грозный вид, неподкупный взгляд  и милые морщинки на лбу.   Лорд Moskvin смел, ладно сбит, мускулист, но в то же время элегантен и проворен!   Мальчик очень живо реагирует на окружающее, но при должном внимании со стороны хозяина отлично дрессируется.   Лорду Moskvin 1 год, привит, не кастрирован. В добрые руки!",517610235,481,Неуказана,25 февраля 2015,Лорд Moskvin - в дар
"Домино - идеальный вариант для семьи, для детей, да вообще для всех, кто готов получать море любви и ласки! Всегда хорошее настроение, ладит со всеми собаками и людьми без исключения. Ещё не встречались такие, с кем бы парень не подружился! Домино обладает очень выразительной внешностью, черно-белый окрас, имя он получил не случайно. Характер очень дружелюбный, игривый. Собака очень азартна и энергична, не требовательна к питанию и содержанию. Домино никогда не навязывается, знает, когда лучше предлагать своё общение, выбрать момент. Не лает на других собак, не задирается и не конфликтует. В знак доверия к человеку валится на спину, подставляет пузо для почёсываний и поглаживаний и вываливает набок язык, радостно улыбаясь. Этот красавец давно готов к переезду, полностью социализирован. Если вам нужен добрый и ласковый друг, вам обязательно стоит познакомиться с Домино! Кастрирован.",518137333,330,Неуказана,25 февраля 2015,Дружелюбный добрый энергичный Домино в дар
"Мы очень хотим рассказать Вам о нашем необыкновенном и трогательном Мишутке, который на протяжении долгих лет очень глубоко и ревниво держит в своей ласковой головушке только одну картинку, которую мы сами увидели совсем недавно, проследив за его взглядом, направленным в сторону приютских ворот. Да, Мишутка каждый волонтерский день, стесняясь и подставляя свой ошейник, идет на выгульную площадку, чтобы разделить чувство ожидания с самим собой. Усаживаясь рядом, мы по привычке хотели растормошить тихоню, но Мишутка поднял на нас глаза и сказал: «не надо, я жду…» Вихрь мыслей пронесся у нас в голове! Как же мы могли спутать тихий характер и скромность с тем чувством, что ожидания обязательно сбудутся?! И сегодня нам стыдно, ведя Мишутку на поводке на выгульную площадку, закрывать калитку и оставлять ранимого друга наедине с приютскими воротами. Он что-то чувствует, кого-то ждет? Вскочил – вдалеке две фигуры переступили порог приюта – смотрит, ведет носом, пытается уловить их запах. Невозможно спутать ЭТО ни с чем… Ожидание, которое он подарил самому себе, дает ему надежду и тревожно стучит в висок «Смотри, ты обязательно ЕГО узнаешь». Опять опускаемся рядом прямо на снег, пытаясь осторожным своим поглаживанием не расстроить его, но надеясь отвлечь от чувства, которым он сам себя измучил. Дернул ухом, повел головой «Не хочу…», а мы продолжаем гладить и разговаривать, какое сегодня утро чудесное, как сосед Артурчик уже столько времени сидит рядышком у Мишуткиного хвоста, любопытно вместе с ним нюхая воздух, пытаясь разгадать его секрет, о котором каждый волонтерский день знает только он один. Но бывают дни, когда дав себе время на передышку, Мишутка представляет себя сегодня со своим родным человеком. Возьмет поводок и учит нас ходить вместе с ним, а потом вырвется и побежит к воротам… но остановится и ждет, когда его позовут «Мишутка-а-а-а!». Отвернулся, поднял глаза к небу и ждет, представляя, как строгая мама его ругает, переживает, что он убежал, и ищет его… Нашла! Мишутка живет в приюте Солнцево, ему всего 7 лет, 55 см в холке, чуть выше колена, но это ощущение из-за его мягкой шубки, привит, кастрирован и с большим удовольствием ходит на поводке. Позвоните Мишутке, пусть Вы будете тем, кого он так долго ждет…",518536108,591,Договорная,26 февраля 2015,Чудесный пес Мишутка
