BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,9500,58185,64576,DebtCon,Mgr,6,,4,127.8552645,1,11,38.298309125
1,9500,54612,68759,HomeImp,Other,9,0,0,89.102838608,0,19,31.353906936
0,9500,79479,88772,DebtCon,ProfExe,8,0,0,189.58907467,0,12,37.95298991
1,9500,,40000,HomeImp,Other,10,0,0,36.5,1,1,
0,9600,62405,69459,DebtCon,Other,0,0,2,86.431831744,2,18,36.260331272
0,9600,45158,55455,DebtCon,Other,15,0,0,82.71313688,0,12,30.931517996
0,9600,64758,63646,HomeImp,Other,5,0,0,120.64455858,0,34,35.98492935
0,9600,53277,60843,DebtCon,Office,0,0,0,180.28406155,0,21,37.950787581
0,9600,84333,201281,HomeImp,Self,14,0,0,13.213057261,,7,17.825630936
0,9600,70589,99384,HomeImp,Other,0,0,1,176.4674623,0,31,34.234789575
1,9600,42357,99756,HomeImp,Office,4,1,4,354.65022495,0,30,36.525172928
0,9600,,68324,HomeImp,Other,,0,0,356.45017827,0,6,36.554268317
0,9600,73000,99600,HomeImp,ProfExe,4.5,0,1,93.333333333,1,34,
0,9600,53196,63942,DebtCon,Other,16,0,4,227.56368402,0,36,24.016769941
0,9600,56224,60260,DebtCon,Other,15,0,3,219.7420453,0,36,25.439463543
0,9600,46683,61773,DebtCon,Office,1,0,0,171.05844903,1,20,38.005289312
0,9600,,56900,,,,,,,,,14.435238785
1,9600,24680,43500,DebtCon,Other,18,0,3,114.66666667,0,19,
0,9600,50655,59502,DebtCon,Other,0,0,0,93.432844102,0,20,37.982353508
0,9600,45240,60136,DebtCon,Other,2,0,1,83.066750905,0,19,38.454300022
0,9600,77359,101365,HomeImp,Other,1,0,0,182.80351445,0,31,33.481910133
0,9600,44553,48626,HomeImp,Mgr,20,0,1,226.45215948,0,18,35.555922893
0,9700,75566,92066,DebtCon,Office,14,0,0,94.987922191,0,8,25.161183475
0,9700,29094,51990,,Other,30,0,0,246.19523933,0,19,20.743364711
0,9700,45907,57507,DebtCon,Other,6,0,0,81.229448637,0,11,29.037574223
0,9700,53527,58605,DebtCon,Office,4,0,0,75.584542581,3,12,36.709538909
0,9700,98232,117321,DebtCon,Other,19,0,2,194.42471787,2,15,36.95089224
0,9700,,64644,HomeImp,Other,,0,0,368.07092408,0,6,36.573169598
0,9700,21883,67432,HomeImp,Office,24,0,0,308.99557574,1,12,41.414280651
0,9700,84933,122520,DebtCon,Office,10,0,0,141.43307599,1,23,36.795013963
1,9700,55986,73000,DebtCon,Other,2.5,0,1,207.16666667,2,29,
0,9700,108000,210000,HomeImp,ProfExe,2.3,0,0,124.83333333,1,15,
0,9700,5801,58305,HomeImp,Other,8,2,1,352.96666667,1,22,
0,9700,59100,74986,HomeImp,Office,14,0,0,244.53333333,1,32,
1,9700,53000,56000,DebtCon,Office,2,0,0,75.033333333,5,18,
1,9700,73085,92000,DebtCon,Other,8,0,3,173.5,0,34,
0,9700,39141,48905,DebtCon,Other,13,0,0,89.83593974,0,11,32.4314097
0,9700,44652,63232,DebtCon,Other,9,0,0,102.16551363,0,22,37.034875874
0,9700,59633,70398,HomeImp,Other,4,0,0,239.03820584,1,16,38.867248989
0,9700,63488,74374,DebtCon,Office,5,0,0,106.58945227,2,15,26.896012771
0,9700,8852,60599,HomeImp,Other,7,2,1,359.1044913,1,21,16.87198276
1,9700,32660,54536,DebtCon,Office,0,0,0,156.4821057,0,13,67.32490355
0,9700,,54385,HomeImp,Other,10,0,0,314.73283271,1,13,34.170403536
0,9700,77394,86917,DebtCon,Office,16,0,1,81.461400461,0,9,27.705856544
1,9700,47000,82000,HomeImp,Other,,1,2,96.633333333,,8,
0,9800,54564,62109,DebtCon,Mgr,10,0,0,124.02162504,0,19,32.565686372
0,9800,15021,31900,DebtCon,Other,6,0,0,276.73420174,0,11,22.291249185
0,9800,136154,203815,DebtCon,ProfExe,1,0,0,70.853327642,2,23,35.8789883
0,9800,79405,111563,DebtCon,Office,0,0,0,240.94299363,1,38,19.332810029
0,9800,58936,78078,DebtCon,,19,0,0,152.14012571,0,11,32.188760518
0,9800,74962,108730,HomeImp,ProfExe,4,0,1,76.392416053,1,33,37.32134756
1,9800,36500,54000,HomeImp,Other,17,0,1,105.66666667,5,19,
0,9800,81199,206201,HomeImp,Self,12,0,0,2.8207855775,,7,21.28386768
0,9800,49287,69831,DebtCon,Mgr,2,0,0,182.99480622,2,16,29.713466905
0,9800,62826,65912,HomeImp,Other,6,0,0,132.75248959,0,34,37.588199542
0,9800,49298,73426,HomeImp,Office,9,3,1,242.38901624,1,29,34.690361253
0,9800,69919,100267,DebtCon,Other,16,,,130.8860074,3,15,26.835043413
0,9800,32550,52554,DebtCon,Other,12,0,0,229.51274114,1,32,37.923088094
0,9800,54681,74097,DebtCon,Other,2,0,1,106.88889374,3,18,36.618660862
0,9800,53643,113161,DebtCon,ProfExe,5,0,1,230.30325656,0,9,23.773610404
0,9800,80267,209931,HomeImp,Self,14,0,0,0.5071145295,,8,19.969628699
0,9800,78022,103466,DebtCon,Mgr,1,0,0,83.835338491,2,24,37.434615355
0,9800,,45197,HomeImp,Other,,,,316.5253028,,11,29.646665996
0,9800,52973,65481,HomeImp,Other,10,0,0,101.47266767,2,33,36.878297002
0,9800,55330,78154,HomeImp,Mgr,2,0,1,122.70553687,0,23,28.896101856
0,9800,54861,71138,HomeImp,Other,4,0,0,258.33461797,2,16,36.035712866
0,9800,56188,90143,HomeImp,Other,17,0,0,171.41365835,0,29,25.621650412
0,9800,79767,93525,DebtCon,Other,0,4,0,,0,4,31.290118994
0,9800,63891,72980,DebtCon,ProfExe,7,0,0,32.41493353,2,24,39.37186986
0,9800,47126,57365,DebtCon,Other,0,0,1,91.141218712,0,19,38.657640295
0,9800,55539,73560,DebtCon,Office,4,0,0,85.900936244,1,14,26.331619061
1,9900,37609,120186,DebtCon,Other,,0,0,176.36783901,3,30,53.178911112
0,9900,60488,75507,HomeImp,Other,3,0,0,239.43363997,1,17,38.473075274
0,9900,35448,58056,DebtCon,Other,11,0,0,229.5228444,1,31,37.297432095
0,9900,79379,205346,HomeImp,Self,14,0,0,20.214194867,,7,19.799427915
0,9900,72674,89909,DebtCon,Office,15,0,1,90.957899517,0,8,27.35463407
1,9900,88236,104953,DebtCon,ProfExe,1,0,0,51.648705242,0,2,28.622632092
0,9900,73804,97413,DebtCon,ProfExe,5,0,0,107.33302454,0,25,33.524879599
0,9900,28432,36605,HomeImp,Office,0,0,0,111.53162529,1,29,37.588195648
0,9900,52800,66000,HomeImp,Other,29,1,3,188.93333333,1,24,
0,9900,111000,134347,DebtCon,ProfExe,16,,1,180.63333333,1,33,
1,9900,21400,36600,DebtCon,Self,2,0,0,154.2,2,26,
0,9900,8673,37244,DebtCon,Other,4,0,0,256.68058385,0,12,24.496286322
0,9900,117003,219783,HomeImp,ProfExe,1,0,0,130.76638619,0,14,25.622610897
1,9900,71371,84865,DebtCon,Mgr,0,2,0,94.805235749,0,12,38.211305102
0,9900,55231,78708,DebtCon,Office,4,0,0,85.801476116,2,15,24.594992574
0,9900,47367,114837,DebtCon,ProfExe,4,0,0,210.43553362,0,10,25.042108535
0,9900,108155,219936,HomeImp,ProfExe,2,0,0,126.93937738,1,15,27.992051659
0,9900,74009,108371,DebtCon,Office,1,0,0,246.09476485,0,36,17.257117147
0,9900,82697,100689,DebtCon,ProfExe,3,0,0,133.36579062,0,26,33.591716314
0,9900,47865,88105,HomeImp,Other,18,0,0,203.02399137,0,17,34.553305392
0,9900,84920,201713,HomeImp,Self,13,0,0,3.0443841399,,8,21.05764132
0,9900,54961,70609,DebtCon,Mgr,6,,4,105.9346916,2,11,40.70254787
0,9900,26427,87134,HomeImp,ProfExe,20,0,0,244.36524652,0,11,25.003965494
1,9900,23767,39293,DebtCon,Other,5,1,0,145.76577376,0,9,24.605128805
0,9900,31244,44138,HomeImp,Mgr,14,0,0,60.634469798,1,9,31.688134282
0,9900,55342,72357,DebtCon,Mgr,7,,3,111.99885488,1,11,39.870340357
1,9900,59206,75690,HomeImp,Office,6,0,2,288.39505854,1,19,30.776027864
0,9900,83821,124527,HomeImp,Office,30,0,0,319.65197133,1,37,35.769425427
0,10000,63218,76500,DebtCon,Office,5,2,3,183.66666667,3,30,
1,10000,48300,74600,,Other,14,0,1,179.1,2,31,
1,10000,34350,54146,DebtCon,Other,3,0,0,144.42288892,0,18,31.539013395
0,10000,75976,91000,DebtCon,Other,10.5,0,0,171.46666667,5,22,
0,10000,68807,76581,HomeImp,Office,14,0,0,237.6478941,0,32,42.335573512
0,10000,,56475,HomeImp,Other,9,2,0,309.26449746,2,12,34.487188041
0,10000,84580,118924,HomeImp,Office,31,0,0,341.94497562,2,37,35.248897631
0,10000,,49266,,,,,,,,,15.597290225
0,10000,59828,72489,DebtCon,,18,0,0,157.24366245,1,11,31.626821934
1,10000,22000,41250,HomeImp,Mgr,5,0,0,97.966666667,0,21,
1,10000,86000,111000,DebtCon,Other,6.5,0,1,91.966666667,3,17,
1,10000,26197,46600,HomeImp,ProfExe,9,0,0,165.96666667,2,9,
1,10000,,25010,HomeImp,Self,5,0,3,326.13333333,4,17,
1,10000,20500,54600,HomeImp,Self,15,0,0,160.33333333,2,11,
1,10000,,,HomeImp,Other,,,,,,,
1,10000,186000,225750,HomeImp,ProfExe,2,0,0,75.866666667,,5,
1,10000,28000,73250,HomeImp,Other,2,0,0,28.966666667,4,12,
1,10000,57238,101500,DebtCon,ProfExe,10,0,0,106.83333333,0,36,
1,10000,31253,65450,DebtCon,Other,21,0,0,172.03333333,0,16,
1,10000,27000,54300,HomeImp,Other,0.3,0,1,91.133333333,0,6,
1,10000,53297,74925,HomeImp,Other,14,0,1,88.533333333,2,15,
0,10000,7718,77750,DebtCon,Other,8,0,0,261.8,0,14,
0,10000,63005,78500,DebtCon,Other,3,,,171.76666667,,35,
0,10000,87579,105000,DebtCon,Other,13,0,0,209.96666667,3,16,
0,10000,,42497,HomeImp,Mgr,6,,,165.43333333,,9,
0,10000,32000,59000,DebtCon,Office,24,0,1,232.33333333,1,29,
0,10000,31000,58240,DebtCon,Mgr,,,,,,,
0,10000,71000,97875,HomeImp,ProfExe,8,0,0,165.71489362,0,34,
0,10000,66000,89145,DebtCon,Office,9,0,0,215.03333333,3,29,
0,10000,59764,77870,DebtCon,Sales,7,0,0,136.9,0,35,
0,10000,124000,192000,HomeImp,Office,0,0,1,346.96666667,0,16,
0,10000,80000,107900,HomeImp,ProfExe,12,0,2,176.53333333,0,28,
0,10000,34767,51000,HomeImp,Other,23,0,1,121.73333333,0,23,
0,10000,,23400,HomeImp,,28,0,0,206.96666667,1,5,
0,10000,57068,72000,,Other,12,0,0,257.7,0,27,
0,10000,22068,49600,HomeImp,Other,0.9,0,0,247.56666667,0,11,
0,10000,131589,156000,HomeImp,ProfExe,5,0,1,419.03333333,1,43,
0,10000,147234,175300,HomeImp,Office,6,0,0,192.76666667,1,56,
0,10000,48041,76050,HomeImp,Other,3,0,2,185.7,0,13,
0,10000,78000,97400,HomeImp,ProfExe,1,0,0,72.033333333,1,20,
0,10000,64320,102375,DebtCon,Office,10,0,0,148.16666667,1,13,
0,10000,96000,112200,,Office,16,1,0,258.73333333,0,16,
0,10000,88777.5,112014,DebtCon,ProfExe,13,0,0,182.63333333,2,18,
0,10000,10000,68250,DebtCon,ProfExe,20,0,2,398.8,1,12,
1,10000,42300,,DebtCon,Mgr,11,1,0,31.4,3,5,
1,10000,5200,53095,HomeImp,Other,5,3,3,234.33333333,3,17,
1,10000,19225.53,35500,HomeImp,Office,5,0,2,186,1,10,
1,10000,62000,80000,DebtCon,Other,5,,1,97.4,4,30,
1,10000,41741,56000,DebtCon,Office,3,0,0,20.233333333,2,6,
1,10000,46946,65000,HomeImp,Office,7.2,0,1,80.1,1,12,
1,10000,75000,103600,HomeImp,Mgr,17.6,0,0,171.43333333,0,24,
1,10000,59929,,DebtCon,Other,5,,,,,,
1,10000,99600,125500,DebtCon,Office,8,0,0,80.1,3,21,
1,10000,122800,151500,HomeImp,ProfExe,2,0,0,205.96666667,1,23,
1,10000,49000,70000,HomeImp,Other,,0,3,190.73333333,1,12,
1,10000,48840,58740,HomeImp,Other,15,2,2,194.8,0,39,
1,10000,13161,37700,DebtCon,Other,,3,0,79.1,2,9,
1,10000,84000,132965,DebtCon,Sales,30,0,0,325.63333333,1,24,
1,10000,42321,53800,DebtCon,Other,4,0,0,275.9,0,19,
1,10000,65000,80000,DebtCon,Other,2,0,0,26.366666667,3,2,
1,10000,76700,97800,DebtCon,Other,25,,10,205.23333333,3,26,
1,10000,59543,86800,DebtCon,Other,9,3,1,152.13333333,2,51,
1,10000,52410,54500,,Mgr,1,9,4,132.9,4,29,
1,10000,50070,60670,HomeImp,Other,5,2,0,15.233333333,0,1,
1,10000,16288,48600,DebtCon,Other,24,0,0,268.83333333,1,16,
1,10000,69727,90312,HomeImp,Office,4.5,5,1,122.83333333,,17,
1,10000,,65088,HomeImp,Mgr,3.5,4,5,205.06666667,2,39,
1,10000,,79500,DebtCon,ProfExe,19,0,0,285.1,2,7,
1,10000,,,,Other,15,2,2,108.93333333,3,31,
1,10000,91000,110000,DebtCon,Other,16,1,3,123.76666667,2,22,
1,10000,66399,78000,,ProfExe,0.9,0,0,112.6,0,15,
1,10000,90700,123370,DebtCon,ProfExe,15,2,0,90.3,1,4,
1,10000,34900,48000,HomeImp,Other,3,0,0,288.16666667,1,3,
0,10000,127319,194992,HomeImp,Office,1,0,1,337.6899717,0,16,41.447505948
0,10000,48769,65328,DebtCon,Office,4,0,1,104.69524068,3,12,39.049359218
0,10000,133879,157446,HomeImp,ProfExe,6,0,1,421.36287218,1,42,30.606998702
1,10000,36000,68800,DebtCon,Other,13,0,0,118.66666667,6,15,
0,10000,64375,72418,DebtCon,ProfExe,14,0,0,207.61730644,3,31,38.867949083
0,10000,114643,130127,DebtCon,Self,5,0,1,160.6678931,0,19,33.920044393
0,10000,,69502,,,,,,,,,25.77278284
0,10000,41949,51684,DebtCon,Other,15,0,0,84.123450947,0,12,31.267318776
0,10100,114590,215784,HomeImp,ProfExe,2,0,0,123.16918276,0,14,27.84508378
0,10100,45493,54605,HomeImp,Mgr,21,0,1,234.59177844,0,18,36.594664037
0,10100,87942,106000,DebtCon,Other,13,0,0,219.38527843,2,16,40.75164798
0,10100,32608,47377,HomeImp,Other,9,0,0,67.38706567,0,3,35.690193036
0,10100,66393,85605,DebtCon,Office,6,1,1,203.69956292,3,29,37.669305127
1,10100,,25300,DebtCon,Other,,1,0,122.3,1,5,
0,10100,68240,84067,DebtCon,Sales,8,0,0,131.40418009,0,35,28.443810481
0,10100,81263,98536,DebtCon,Mgr,1,0,0,73.160447708,1,23,38.331255722
0,10100,137299,200339,DebtCon,ProfExe,0,0,0,66.357590464,2,23,35.2377013
0,10100,47426,68820,DebtCon,Other,16,0,4,220.7609123,0,36,24.01951269
0,10100,57881,69554,HomeImp,Other,29,0,3,189.92452243,1,24,34.61045543
1,10100,60200,74000,DebtCon,Other,4,,4,128.86666667,5,24,
0,10100,68820,78830,DebtCon,Other,2,,,170.7224523,,34,29.206752832
0,10100,73174,91101,DebtCon,Office,14,0,0,77.117090664,0,8,25.042596687
0,10100,54873,73085,HomeImp,Other,5,0,1,252.25289259,1,16,38.727417297
0,10100,49683,55728,DebtCon,Other,0,0,0,91.095794879,0,20,37.133107539
0,10100,72136,89437,DebtCon,,5,0,0,205.73712524,0,15,30.798763531
0,10100,55559,89231,HomeImp,Other,16,1,0,175.55557129,0,29,26.900320998
0,10100,126358,180305,DebtCon,Other,8,0,0,199.35052965,1,20,32.033628789
0,10100,58446,71145,HomeImp,Other,4,0,1,244.62436764,1,15,38.117306388
0,10100,63283,82912,HomeImp,Other,0,0,0,99.816258251,1,7,38.370539706
0,10100,55738,73266,DebtCon,Office,5,0,0,85.635235028,1,14,24.534325065
0,10100,93085,110069,DebtCon,Other,13,0,0,206.799179,3,16,40.569897059
0,10100,154005,175684,HomeImp,Office,4,0,0,189.36630726,0,56,33.971221884
0,10100,,69451,,,,,,,,,22.519685436
0,10200,44000,57000,DebtCon,Other,0,1,0,191.73333333,2,13,
0,10200,9078,35261,,,,,,,,,33.666454504
0,10200,102281,114277,,Office,15,0,0,263.2869775,0,16,36.827785946
0,10200,70882,98154,DebtCon,Other,16,,,153.11813626,3,15,25.119955899
1,10200,69116,105228,HomeImp,ProfExe,12,0,8,122.84395119,0,36,36.122885906
0,10200,82630,99250,DebtCon,Other,1,0,0,107.52855981,1,32,40.280974865
0,10200,55539,65357,DebtCon,Mgr,5,0,0,190.94593081,1,17,28.640823727
0,10200,51108,68673,DebtCon,Mgr,6,,,116.67936716,,23,42.775643911
0,10200,59907,71580,DebtCon,ProfExe,14,0,0,237.94813719,2,32,36.400946661
0,10200,84196,91642,DebtCon,Other,1,0,0,104.83507193,1,32,38.376112633
1,10200,52310,74117,DebtCon,Other,13,0,3,118.69578554,2,23,
0,10200,77571,102732,HomeImp,ProfExe,6,0,0,100.62966346,0,34,37.361513569
0,10200,60180,72370,DebtCon,Mgr,5,,,125.29486665,,23,42.504613543
0,10200,71111,80385,DebtCon,Office,4,1,2,170.28188255,2,29,38.62337208
0,10200,54900,79000,DebtCon,Office,14,0,0,113.63333333,0,24,
0,10200,8907,59814,HomeImp,Other,7,2,0,364.43094738,1,22,16.064245381
0,10200,46140,56206,DebtCon,,8,1,0,115.78062817,1,25,22.313705147
1,10200,48670,90444,HomeImp,Other,,1,1,89.355474878,,7,39.15104729
0,10200,73157,83858,DebtCon,,3,0,0,193.5089634,0,16,29.087994721
0,10200,78628,92090,DebtCon,Other,10,1,0,164.31789635,6,21,38.721321606
0,10200,38223,60728,DebtCon,Mgr,,,,,,,35.347853825
0,10200,61179,69591,DebtCon,,18,0,0,148.70447764,1,11,34.472204606
0,10200,34522,43076,HomeImp,Other,9,0,0,92.907548338,0,3,36.845356693
1,10200,29581,39992,DebtCon,Self,3,0,0,149.87462567,2,26,43.197242061
0,10200,16322,86505,DebtCon,Other,8,0,0,259.16381964,0,14,21.253498139
0,10200,57142,72664,DebtCon,,19,0,0,158.18580391,1,12,32.49748842
0,10200,80969,100937,DebtCon,Other,9,0,0,168.74982105,4,21,39.698429807
0,10200,86400,113698,HomeImp,ProfExe,11,0,1,181.54292704,0,27,35.031650879
0,10200,65803,85155,HomeImp,Other,15,0,0,218.48175459,0,36,36.182192009
0,10200,79257,105912,HomeImp,ProfExe,3,0,0,95.35537249,0,33,39.391365195
0,10200,,64377,HomeImp,Other,,0,0,347.24501311,0,6,37.774681559
0,10300,61000,75000,DebtCon,Office,12,0,0,251.53333333,4,37,
1,10300,70147,122124,HomeImp,Other,1,0,0,58.895685895,0,7,57.995018623
0,10300,54925,84078,HomeImp,Other,2,0,1,189.69527288,0,13,29.133697408
0,10300,51787,86200,HomeImp,Other,17,0,0,203.73276258,0,16,34.435246045
0,10300,79243,89840,DebtCon,Office,16,0,0,87.825346176,0,9,24.479373218
0,10300,,69085,HomeImp,Other,,0,0,380.27804051,0,7,36.739820219
0,10300,46609,63812,DebtCon,Other,1,0,0,184.78841632,2,13,29.140031372
0,10300,58572,75946,DebtCon,Office,5,0,0,85.010052857,2,14,27.769438937
0,10300,,50548,HomeImp,Mgr,5,,,165.55319924,,9,23.886330813
0,10300,50714,56088,DebtCon,Office,1,0,0,163.08914819,1,21,37.973055369
0,10300,65382,73817,DebtCon,Other,1,0,0,190.64814501,1,17,34.192891589
0,10300,74624,96697,DebtCon,Office,7,0,0,217.23532123,3,28,41.511300788
0,10300,75483,99345,DebtCon,ProfExe,3,0,0,133.79051006,0,25,34.887236085
0,10300,45275,62724,HomeImp,Other,11,0,1,109.32463871,3,34,37.291824994
0,10300,57676,71027,DebtCon,,19,0,0,157.51963708,1,11,33.992366066
0,10300,59340,84708,HomeImp,Other,13,0,0,222.36488939,1,36,34.925984254
0,10300,82889,97189,DebtCon,Mgr,2,0,0,82.507446213,2,24,39.53698719
0,10300,56127,72294,HomeImp,Other,28,1,3,184.34575081,0,24,34.634235614
0,10300,65876,80064,DebtCon,,3,0,0,220.82597888,0,15,30.633131002
0,10300,57902,74355,HomeImp,Other,4,0,0,243.6309162,1,16,36.574441888
1,10300,39893,55000,DebtCon,Other,1.5,0,1,99.433333333,2,32,
0,10300,,51053,HomeImp,Other,10,1,0,306.99220543,2,12,34.483878415
0,10300,44941,60694,DebtCon,Other,2,0,0,85.681205116,0,20,39.53639781
0,10400,63505,75811,DebtCon,Other,3,0,0,182.0920717,2,17,33.690785641
0,10400,66044,83531,HomeImp,Office,12,0,0,241.51415322,0,31,45.569842652
0,10400,62442,73197,DebtCon,ProfExe,8,0,0,47.610677633,1,24,38.88482776
0,10400,63626,79477,,Other,12,0,0,260.79726222,0,27,27.942866028
0,10400,56610,86831,HomeImp,Other,19,0,0,190.08482952,0,28,24.602658554
0,10400,21235,40116,DebtCon,Other,3,,,,,,36.905414314
0,10400,64904,76767,DebtCon,Office,11,0,0,245.01801188,4,37,41.423844135
0,10400,64336,77564,DebtCon,Office,4,2,3,188.78007609,2,30,39.699980465
0,10400,37233,52320,DebtCon,Other,15,0,0,88.677328625,0,11,31.056436786
0,10400,57816,82047,HomeImp,Other,3,0,1,176.65689456,0,12,30.674205288
1,10400,51200,76125,DebtCon,Other,12,0,0,132.36666667,0,16,
0,10400,39821,54040,HomeImp,Mgr,21,1,0,231.60541135,1,18,36.439736731
0,10400,78320,100017,DebtCon,Other,10,0,0,167.42253971,4,21,41.974878281
1,10400,42714,72322,DebtCon,Other,12,0,0,105.07480159,6,15,41.262353472
0,10400,45710,55299,DebtCon,Office,0,0,0,166.37415023,0,20,34.536411741
0,10400,11426,69294,DebtCon,ProfExe,20,0,1,396.92626454,1,11,20.291988939
0,10500,,53907,HomeImp,Other,10,0,0,308.21326219,2,13,34.408948419
0,10500,60145,63268,HomeImp,Other,4,0,0,122.49607792,0,34,36.736870753
0,10500,64295,73594,DebtCon,,19,0,0,157.24655028,0,11,33.556312248
0,10500,154434,179486,HomeImp,Office,5,0,0,182.35389999,1,55,34.983459334
0,10500,64331,65040,HomeImp,Other,4,0,0,66.541057817,1,20,42.332124341
0,10500,,73388,HomeImp,Other,,0,0,367.23086382,0,7,36.842174626
0,10500,13694,87580,DebtCon,Other,8,0,0,258.55492784,0,14,20.260198049
0,10500,26000,39000,DebtCon,Other,9,,1,152.23333333,7,29,
0,10500,88829,114962,DebtCon,Other,13,0,0,206.21222804,3,15,37.864946214
0,10500,53537,66674,DebtCon,Office,4,0,0,83.503094799,2,11,37.098413449
0,10500,41467,58329,DebtCon,Mgr,2,0,0,187.71348615,0,22,27.86112392
1,10500,57880,66802,DebtCon,Other,2,0,0,94.598425262,8,21,45.464765837
0,10500,63130,71387,DebtCon,Other,3,0,2,305.55692802,0,10,32.177916696
0,10500,57372,67960,DebtCon,ProfExe,1.5,0,0,158.26666667,2,35,
1,10500,,18600,HomeImp,Other,24,,,,,,
0,10500,74000,89000,DebtCon,Mgr,6,0,0,138.03333333,2,27,
1,10500,41500,56247,DebtCon,Other,8,0,1,70.033333333,2,24,
0,10500,30922,57682,,Other,30,0,0,241.46041263,0,19,23.237035018
0,10500,69656,88198,DebtCon,Office,15,0,0,97.319406172,0,8,27.322396546
1,10500,89000,268000,HomeImp,ProfExe,,4,,120.8,2,15,
0,10500,42003,53754,DebtCon,Other,16,0,0,84.551104187,0,12,32.342959321
0,10500,76729,102287,HomeImp,ProfExe,5,0,0,89.062698773,1,33,38.447658863
0,10500,74814,98132,HomeImp,ProfExe,8,0,0,164.3308981,0,34,32.375149102
1,10500,55267,65160,DebtCon,Other,1,0,0,108.27542318,8,22,47.079285365
0,10500,47483,53877,DebtCon,,9,0,0,117.05239472,0,26,21.446281709
0,10500,34044,55784,DebtCon,Other,10,0,0,245.1308598,1,32,36.350329432
0,10500,12630,32220,,,,,,,,,34.345859886
0,10500,27180,86978,HomeImp,ProfExe,22,0,0,230.72115441,0,10,25.753010226
0,10600,47701,66500,DebtCon,Other,10,0,0,103.01428965,0,23,37.310006097
0,10600,37742,64334,DebtCon,Mgr,,,,,,,37.541257884
0,10600,80386,106526,HomeImp,ProfExe,1,0,0,64.066735538,1,19,34.104697064
0,10600,31216,44716,DebtCon,Other,8,,1,149.19464754,6,29,37.88226039
0,10600,82894,124359,HomeImp,Other,7,,,,,,40.325885318
0,10600,54344,92742,HomeImp,Other,19,0,0,171.20507901,0,28,24.553206166
0,10600,39061,50225,DebtCon,Other,15,0,0,77.114285108,0,12,32.587465652
1,10600,61294,82646,DebtCon,ProfExe,5,0,4,87.859169291,2,13,36.395148149
0,10600,46589,64559,HomeImp,Other,8,0,0,85.230876487,2,33,40.451392536
0,10600,28264,86546,HomeImp,ProfExe,20,0,0,244.14050903,0,11,24.20235008
0,10600,44696,57686,DebtCon,Office,0,0,0,170.34097406,0,20,37.792555026
0,10600,61513,73143,DebtCon,ProfExe,2,0,0,164.56765548,2,34,43.204953133
0,10600,82365,100272,DebtCon,ProfExe,3,1,0,122.48359427,0,26,33.651646949
0,10600,81151,200459,HomeImp,Self,14,0,0,9.5341427099,,7,21.223213992
0,10600,62909,81411,HomeImp,Other,15,0,0,238.31447075,1,35,34.680381648
1,10600,53200,71000,DebtCon,ProfExe,2,0,0,224.23333333,5,39,
1,10600,22000,35200,DebtCon,Mgr,13,0,0,90.333333333,5,14,
0,10600,56814,66692,DebtCon,Mgr,10,0,0,107.37405519,1,18,32.625687041
0,10600,136820,201820,DebtCon,ProfExe,2,0,0,68.353056056,1,22,38.0722099
0,10600,50662,62491,DebtCon,Other,0,0,0,197.70926699,1,13,26.251888349
0,10600,43676,61576,DebtCon,Other,6,0,0,84.839126053,1,10,30.868137501
0,10600,66590,77465,HomeImp,Other,1,1,0,110.77162319,0,6,39.735785258
0,10600,46972,80147,HomeImp,Office,12,3,0,244.23353012,2,29,32.656531297
0,10600,63245,82041,DebtCon,Office,3,1,3,184.5725782,3,29,38.219034312
0,10600,73844,107640,HomeImp,ProfExe,3,0,0,92.979490511,0,34,37.319289307
0,10600,120137,137090,DebtCon,ProfExe,17,,1,173.6904615,0,33,30.958905738
0,10600,80397,203341,HomeImp,Self,14,0,0,11.963733283,,7,18.732089739
0,10600,83217,101359,DebtCon,Mgr,1,0,0,54.746622005,2,24,40.76038718
0,10600,27666,56218,HomeImp,Other,3,0,0,249.85118993,0,10,39.528326336
0,10600,64546,84576,DebtCon,Other,0,,,173.62528427,,35,28.971803768
0,10600,48018,68963,DebtCon,Mgr,2,0,0,186.7575926,1,16,30.655744344
0,10600,56352,75277,DebtCon,Office,5,0,0,98.377278192,2,15,26.242394307
0,10600,72022,82238,DebtCon,Office,5,1,2,181.76894044,3,30,39.594148271
0,10600,58701,67967,DebtCon,Mgr,10,0,0,116.53228926,1,19,31.540218257
0,10700,85198,107044,HomeImp,ProfExe,0,0,0,66.758325469,0,19,36.846466819
0,10700,56197,79272,HomeImp,Other,18,0,0,218.98166217,1,16,34.015359605
0,10700,126751,184554,DebtCon,Other,8,0,0,225.87035215,0,19,34.13705457
0,10700,48322,64383,DebtCon,Other,0,1,0,185.25673471,2,12,28.030801551
0,10700,83650,203720,HomeImp,Self,11,0,0,13.588693962,,8,19.587710546
0,10700,124330,176350,DebtCon,Other,8,0,0,222.63433925,1,19,33.964777335
0,10700,55341,78062,HomeImp,Other,3,0,1,192.59685455,0,12,28.828649308
1,10700,55043,68609,DebtCon,Other,2,0,0,46.272175955,1,17,25.448844532
0,10700,73996,92766,DebtCon,Office,15,0,1,102.14742858,0,9,25.3840627
0,10700,59588,69166,HomeImp,Other,6,0,0,133.90650517,0,17,36.180857581
