Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,"Главное: что бы Вы добавили в программу курса? (нейронные сети, NLP, временные ряды, байесовский подход и т.д.) Предварительная программа доступна в slack OpenDataScience в канале #mlcourse_open",Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?",Какой из будних дней устроит? Воскресенье – 100%,"Как думаете, Вам хватит мотивации пройти весь курс?","Собираетесь ли Вы поработать над индивидуальным проектом (это ~ 2 месяца, самая полезная часть)?",Хотели бы Вы видеть общий рейтинг слушателей?,"Поддерживаете ли Вы идею, что вживую приходят топ-100 лучших по результатам прошлой домашки? Остальные смотрят трансляцию","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (конец января 17го) освоить азы Python? На уровне Code Academy",Оцените свой уровень владения GitHub,Поддерживаете ли Вы идею добровольного вознаграждения организаторов курса?,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
2016/12/06 11:36:10 am GMT+3,"Профессор НИУ ВШЭ, специалист по анализу данных",Нет,Расширение своего кругозора и повышения квалификации.,байесовский подход,"горные лыжи, бадминтон",Да,Ср,Да,Да,Да,Да,5,3,-12,2.0,Нет,Да,По нулям,Да,
2016/12/06 1:40:22 pm GMT+3,"Главный инженер в ЦК по Супермассивам данных в СберТехе, студент магистратуры ""Науки о Данных"" на ФКН НИУ-ВШЭ, выпускник бакалавриата ""Программная инженерия"" ФКН НИУ-ВШЭ",Да,Большого количества практических задач,Временные ряды,Футбол,Да,Пт,Да,Да,Да,Да,4,3,-12,2.0,Да,Уже освоил,Проф,,Игры разума
2016/12/06 1:41:07 pm GMT+3,ML aficionado,Да,"практика, практика","в очереди приоритетов: nn, bayes, time series, nlp",n/a,Да,Чт,Да,Да,Да,"я не смогу придти, так что все равно",5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/06 2:39:05 pm GMT+3,недоэкономист,Нет,знашек,нейронные сети и баесовские сети,футбол,Да,Любой,Посмотрим,Возможно,Пофиг,"мне вообще нужна возможность просмотра лекции опосля с возможностью ускорить. Если этого не будет, придется геморроить с записью. Потому что устная передача информации - это примерно 14 век развития человечества. Жутко медленный способ.",4,3,,2.0,Нет,Нет,По нулям,Да,
2016/12/06 2:43:22 pm GMT+3,Студентка 4 курса бакалавриата политологии НИУ ВШЭ. Зпнимаюсь статистическим анализом в социальных науках,Да,"Научиться более уверенно работать с Python, узнать новые методы",Байесовский подход,,Да,Чт,Посмотрим,Да,Нет,Да,4,3,,2.0,Да,Да,Могу скачать материалы,Да,
2016/12/06 2:46:40 pm GMT+3,"Выпускница МФТИ, работаю аналитиком в Яндексе уже 3 года, только начинаю изучение ML (смотрю курсы на Coursera).",Да,"Побольше практики, интересных задач и networking'a","Добавила бы в список библиотек для визуализации наряду с matplotlib и seaborn plot.ly. Также, думаю, было бы полезно рассмотреть в курсе нейронные сети и временные ряды.",Биатлон,Да,Ср,Да,Да,Без разницы,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Игры разума
2016/12/06 4:20:05 pm GMT+3,Макроэкономист в крупном банке,Нет,Хочу изучить формальный мат.аппарат машинного обучения,Байесовский подход. Он чаще всего используется в анализе временных рядов,Триатлон,Да,Ср,Да,Да,Пофиг,Да,4,3,-12,2.0,Нет,Да,Могу редактировать свою копию,Да,
2016/12/06 4:52:15 pm GMT+3,Студент 1 курса ФКН ВШЭ. Интересуюсь ML примерно год. Пишу на питоне.,Да,"Много практики, много новых знакомств, много нового опыта","Нейронки, NLP, немного базовой математики",Программирование вслепую,Да,Пн,Посмотрим,Да,Да,Да,3,,-12,2.0,Да,Да,Могу редактировать свою копию,Да,
2016/12/06 5:09:12 pm GMT+3,Студент / работаю. Занимаюсь байесовской статистикой.,Да,Практических заданий по ML,"нейронные сети, NLP",Волейбол,Да,Любой,Посмотрим,Посмотрим,Пофиг,Нет,4,3,-12,2.0,Да,Да,Проф,Да,Теория всего
2016/12/06 9:20:15 pm GMT+3,Я прикладной математик в области дифф. уравнений,,Хочу изучить основы machine learning,Нейронные сети,,Да,Пн,Да,Да,Да,Да,5,,,,Да,Да,,,
2016/12/06 9:33:00 pm GMT+3,"Учиться, учиться и еще раз учиться:)",Да,Хочу научиться мыслить в терминах анализа данных и получить практические навыки в этой теме,"нейронные сети, NLP( работа с ntlk) ",плавание,Да,Пт,Да,Да,Да,Да,4,,-12,2.0,Да,освоил :),"Пользуюсь ветками, могу что-то смерджить",Да,Игры разума
2016/12/06 10:49:07 pm GMT+3,Работаю в Сбербанке,Да,"Прокачки, поиск компетентных людей ","временные ряды, байесовский подход",сноуборд,Да,Ср,Да,Да,Да,Нет,4,3,-12,2.0,Нет,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Доктор Стрэндж
2016/12/06 11:37:46 pm GMT+3,Бывший физик-экономист. Нынешний Python-разработчик/DS-любитель.,Да,"Расширения кругозора в методах машинного обучения, углубления имеющихся знаний.","Нейронные сети, Байес и временные ряды",Баскетбол,Да,Ср,Посмотрим,Да,Да,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Экспериментатор
2016/12/06 11:46:50 pm GMT+3,"разработчик, data science энтузиаст, читатель",Да,новых знаний,нейронные сети и nlp,пинг-понг,Да,Вт,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,Проф,Да,"""Игры разума"" ;)"
2016/12/07 1:55:45 am GMT+3,"Java  програмист, которому всегда интересно изучать что то новое за границами своей специальности. Учусь в магистратуре ВШЭ на финансового инженера. Интересуюсь методами машинного обучения, хотя дело до серьезной практики пока не дошло. В поисках интересной задачи ML в финансах.",Да,Интересные практические задачи. Отличные вечера два раза в неделю на протяжении 3х месяцев.,"Очень интересно было бы послушать по обучение с подкреплением в связке с глубоким обучением, но это, наверное, достойно отдельного курса ) тогда хотя бы первое.",нет любимого,Да,Вт,Да,"да, если проект будет хоть как то связан с исследованием в рамках магистратуры, иначе просто не хватит времени",Да,Да,4,3,-12,2.0,Да,Да,Проф,Да,Вселенная Стивена Хокинга
2016/12/07 1:57:32 am GMT+3,аналитик в проекте,немного,Общего понимания данной дисциплины и практических навыков,"нейронные сети, NLP, временные ряды",,Да,Любой,Посмотрим,Да,Пофиг,Да,3,3,-12,2.0,Нет,Да,По нулям,Да,
2016/12/07 2:44:09 am GMT+3,Инженер по тестированию SDK в ABBYY. Последний год часть времени тестирую классификаторы и формирую данные для обучения. Изучаю ML+python в свободное время.,Да,"Расширить кругозор в задачах, решаемых методами машинного обучения. Научиться решать задачи ML на питоне. Нравится схема: краткая теория -> постановка задачи/проблема -> разбор входных данных/признаков обучающей и тестовой базы -> объяснение решения задачи -> разбор кода на питоне (параметры, передаваемые в методы ML, на что влияют) -> демонстрация результата ML на тестовых данных. Опционально: сравнение результатов ML на одной и той же тестовой базе при разных входных параметрах/разных способах обучения.","Pandas, как оперировать данными, считывать информацию из файлов csv и txt, как заполнять многомерные массивы.Баейс. нейросети. ",прокрастинация,Да,Ср,"Зависит от подачи материала. Тема сложная, если будет много брожения по теории, то курс бесполезен. Отпишусь, т.к. уже есть лекции Воронцова из ШАДа с прекрасной теорией. Хочется практики на реальных данных. И понимать, как это делать на питоне.","Можно попробовать, зависит от темы. Если близко к работе, за что могли бы платить деньги в IT-компаниях, то да.","Не рейтинг, а уровень знаний. Все равно, кто решает задачи, кто не решает. Хочется понимать, какой примерно уровень у участников - гуру программирования, или все, кто мимо проходил",Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,"Лучше книгу. ""Вы, конечно, шутите мистер Фейнман"""
2016/12/07 3:28:18 am GMT+3,PhD студент University of Maryland,Да,"Навыков и мотивации для того, чтобы ответить если не на все, то на некоторые из многочисленных вопросов, которые возникают, когда я узнаю об открытых данных.",NLP; визуализация,Спортивная гимнастика,Да,Пн,Условно на разницу во ремени,Да,Пофиг,Нет,4,3,-11,2.0,Да,Да,Могу скачать материалы,Да,
2016/12/07 5:27:04 am GMT+3,"приветик, я Катя, я курсики люблю",Да,чтобы ,"well, мне очень интересен nlp, но, имхо, нужны нейронные сети, причём не так, чтобы оставалось впечатление WTF","какой набор данных? :slow: любимый вид спорта — бейсбол, я же воннаби датасатанист. так, стоп. или дота? пожалуй, дота, бейсбол для датасатанистов-старпёров.",Да,Любой,Да,Да,Пофиг,Да,3,3,,2.0,Да,"я уже прошла, codeacademy говно. лучше как в MIT 600.1x","Пользуюсь ветками, могу что-то смерджить",Да,"я не знаю, что это, но вот крутой фильм https://www.kinopoisk.ru/film/252900/"
2016/12/07 1:00:50 pm GMT+3,"Аспирант, работаю специалистом по прогнозированию в компании, продающей стройматериалы",Да,"Большого количества задач, имеющих практическое приложение","Временные ряды, NLP, возможно какие-то продвинутые разделы из теории нейронных сетей типа карт Кохонена",Бейсбол,Да,Пт,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Да,Пересмотрите Игры разума
2016/12/07 11:21:41 pm GMT+3,"прохожу курс специализации ""Машинное обучение и анализ данных"" на Coursera (заканчиваю 4-й). Работаю в другой сфере (консультант по внедрению Axapta)",Да,Повышений знаний по машинному обучению. Знакомства с интересными людьми (если получится на очный попасть),Байесовский подход,смотреть или участвовать?,Да,Любой,Да,Да,Да,Да,2,3,-17.09,2.0,Да,Да,Могу скачать материалы,Да,"""Игра в имитацию 2"" (еще не вышел)"
2016/12/08 12:06:20 am GMT+3,Доцент кафедры высшей математики ВШЭ,Нет,Знает,Нейронные сети,,Да,Чт,Да,Да,Нет,Да,5,3,-12,2.0,Нет,Да,По нулям,Да,
2016/12/08 12:18:50 am GMT+3,Интересуюсь машинным обучением и искусственным интеллектом. Обладаю достаточного глубокими знаниями и хорошими практическими навыками в этой области. Однако хотелось бы получить больше практики и опыта решения интересных задач.,Да,Много практики и интересных задачю,"NLP, временные ряды",биатлон,Да,Ср,Да,Да,Пофиг,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Да,Вселенная Стивена Хокинга
2016/12/08 1:59:33 am GMT+3,E-commerce предприниматель,Нет,"Узнать что такое big data на практике, научиться применять для своих задач",Все ок, Pyton,Да,Вт,Да,Да,Да,Да,3,3,-12,2.0,Да,Да,По нулям,Нет,"Энигма, шерлок"
2016/12/08 5:30:57 am GMT+3,"Увлекался ML, не работал по теме; был аналитиком, рисковом, сейчас делаю чатботов",Да,"практики, хочу набить руку в решении, чтобы не приходилось каждый раз вспоминать заново библиотеки; кучу эвристик; хочется понимать, как в целом работа data scientist выглядит",пока не видел.. но в целом мне интересна сейчас кластеризация и работа с временными рядами,алтимат,Да,Любой,Да,Да,Пофиг,Нет,3,3,69,2.0,Да,Да,Могу скачать материалы,Да,"Эксперимент-2. Не в тему, но должен тоже понравиться) Только именно 2 часть"
2016/12/08 9:57:15 am GMT+3,"1C-специалист, желающий перейти в дата-аналитики",Планировал в декабре изучить что это,Практических советов о наиболее востребованных и часто встречающихся способах анализа данных,"байесовский подход. В первую очередь, хотелось бы больше примеров из практики, чтобы понять Когда применять те или инструменты",,Да,Пн,Да,Да,Пофиг,"Вход вживую можно сделать платным, или сложным. ""Левые"" люди - сами отсеются. А придти вживую могут захотеть как раз те, у кого есть сложности и хорошие вопросы к преподавателю.",3,13,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/08 11:21:36 am GMT+3,Студент СПбГУ ,Да,Повторения материала и применение на реальных задачах ,Нейронки,Бадминтон,Да,Вт,Посмотрим,Да,Да,Да,3,1/7,-576,3.0,Да,Да,Могу редактировать свою копию,Да,Эффект бабочки
2016/12/08 2:07:41 pm GMT+3,"Преподаю оптимизацию, чуть-чуть знаю машинку. Часто решаю разные задачки на матмоделирование.",Нет,"Посредственно програю, это и хочу поправить. Хочется сразу изучать релевантные инструменты, а не общий курс программирования.",Нейронные сети,Фигурное катание,Да,Вт,Посмотрим,Да,Нет,Мне легче смотреть трансляцию вне зависимости от результатов домашки,5,3,-12,2.0,Да,Да,По нулям,Да,"Не смотрел. Посмотрите Доктора Стрейнджлав или как я перестал бояться и полюбил атомную бомбу (если еще не смотрели, конечно)"
2016/12/08 2:19:15 pm GMT+3,Компьютерный лингвист,Да,Хорошенько вспомнить математику и научиться хорошо анализировать гигантские массивы данных,NLP и нейронки,Герои 3,Да,Пт,Посмотрим,Да,Да,Да,3,ВЫ ЧООООООООООООООООООООООООООООООООООООООООООООООООООООО,STAHP,2.0,Да,уже все знаю,"Пользуюсь ветками, могу что-то смерджить",Да,"Игра в имитацию -- плохой фильм. Но если в его стиле -- пусть будет Игры Разума, вот он хороший"
2016/12/08 2:20:25 pm GMT+3,Работаю и учусь,Нет,Обучения,Временные ряды,Сноркеллинг,Да,Пн,Посмотрим,Да,Пофиг,Да,4,4,-12,2.0,Да,Да,По нулям,Нет,
2016/12/08 2:48:22 pm GMT+3,Магистр программы НИУ ВШЭ Журналистика Данных,Да,Ожидания губят действительность ,нейронные сети,,Да,Любой,Да,Да,Пофиг,Да,3,,,,Да,Да,Могу скачать материалы,Да,
2016/12/08 2:57:02 pm GMT+3,"Программист, цифровая обработка сигналов",Да,Систематизация знаний,нейронные сети,хоккей,Да,Вт,Да,Да,Да,Да,4,1,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Pi (http://www.imdb.com/title/tt0138704/)
2016/12/08 3:07:20 pm GMT+3,"Студентка 1 курса магистратуры ""Журналистика данных""",Да,Хочу совершенствовать навыки работы с большими данными.,Программа меня устраивает.,Баскетбол,Да,Пт,Да,Да,Да,Нет,2,,,,Да,Да,Могу скачать материалы,Да,"""Расплата"" (с Аффлеком)"
2016/12/08 4:24:23 pm GMT+3,фронт-енд разработчик,Да,Возможности самостоятельно заниматься анализом данных на уровне любителя,нейронные сети,киберспорт,Да,Любой,Да,Да,Пофиг,Да,3,3,-12,2.0,Да,Да,Проф,Да,The Internet's Own Boy
2016/12/08 5:24:11 pm GMT+3,"Студент первого курса магистратуры ""Журналистика данных"" НИУ ВШЭ учимся применять программирование для обработки данных в журналистике. Проходил школу Билайна, но она оказалось слишком сложной на тот момент. Сейчас больше подтянул знания, однако все еще многих вещей не хватает.",Да,"Основы Pandas (хотелось бы), научиться собирать, обрабатывать и визуализировать данные.","Pandas, ML, нейронные сети (хотя бы основы)",Футбол,Да,Вт,Да,Да,Пофиг,Нет,2,,,,Да,Да,Могу скачать материалы,Да,"В центре внимания (скорее журналистский, но было интересно смотреть, как расследователи вручную обрабатывали данные) "
2016/12/08 5:39:29 pm GMT+3,Пишу научную работу в которой используются алгоритмы machine learning,Да,повышение своего уровня квалификации в области машинного обучения,в первую очередь интересуют нейронные сети,сноубординг,Да,Ср,Посмотрим,Да,Да,Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,Области тьмы
2016/12/08 5:53:05 pm GMT+3,Стундентка совместного бакалавриата ВШЭ РЭШ,Да,Новых знаний,"нейронные сети, NLP",Легкая атлетика,Да,Любой,Посмотрим,Да,Да,Да,4,3,-12,2.0,Да,Да,По нулям,Да,Игры разума
2016/12/08 6:13:38 pm GMT+3,Программист 1С интересующийся анализом данных. ,Да,Жду что будет интересно и сложно. ,Анализ текста,Футбол,Да,Любой,Да,Да,Да,Да,1,1,-11,2.0,Нет,Да,Могу редактировать свою копию,Да,Игру в имитацию не смотрел
2016/12/08 7:24:31 pm GMT+3,"экс WEB-девелопер, и junior Data Scientist. Активно прохожу курсы по ML,  беру участия в соревнованиях на Kaggle",Да,Не скучного изложения материала и побольше домашних заданий,"xgboost, NLP",настольный теннис,Да,Любой,все зависит от качества изложения материала,Да,Да,Да,3,моя не знать как решить,-12,3.0,Да,не нуждаюсь,Проф,Да,Arrival (2016)
2016/12/08 8:12:17 pm GMT+3,Patient learner,Да,"Углубленного понимания методов МЛ и примеров их использования, желательно за рамками профессии программиста/ДС. Ну например, возьмите что-нибудь из социологии или маркетинга","Примеры использования МЛ в прикладном анализе данных (социология, маркетинг)",Фигурное катание,Да,Чт,Посмотрим,Да,Да,Да,2,1,-16,1.0,Да,Да,Могу редактировать свою копию,Да,Игры разума
2016/12/08 8:13:48 pm GMT+3,"Студент магистерской программы, журналистик-данных.",Да,"Курс выглядит как не плохой факультатив к программе, ожидаю углубления знаний","Т.н. Парсинг данных с интернета, мб полезно остальным.",Биатлон,Да,Любой,Да,Да,Нет,Планирую смотреть онлай,1,0.5,"А хз как считать, поэтому планирую смотреть дома.",2.0,Да,Да,По нулям,,
2016/12/08 8:32:25 pm GMT+3,"Эконом ВШЭ 3 курс, олимпиады по экономике, ЕГЭ по информатике)",Нет,"вообще я это уже проходила на майоре ИАД, но в какой-то момент походу выпала из событий, хотелось бы заново все освежить)",Не смогла открыть программу(,Горные лыжи ( Сноубординг),Да,Пн,Да,Да,Пофиг,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Да,"Игры разума уже классика, Шерлок BBC, еще классный 'Двадцать одно', но не совсем про тоже)"
2016/12/08 9:35:27 pm GMT+3,Начинающий :-),Да,Расширения и закрепления скиллов. Подходов к решениям практических задач. Знакомств. ,"Пока не знаю даже, что реально необходимо может быть...",,Да,Ср,Посмотрим,Да,Пофиг,Да,3,,,,Нет,Да,Могу скачать материалы,,
2016/12/08 10:43:20 pm GMT+3,"Инженер, перешёл в аналитику, увлекаюсь Ml",Да,Больше практических кейсов.,"Временные ряды, т.к. По ним мало хороших примеров в открытом доступе, а тема актуальная.",Сноуборд,Да,Чт,Да,Да,Да,Нет,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,"Игры разума, я первый?)"
2016/12/08 10:54:48 pm GMT+3,Технический директор небольщой IT-компании,Да,Освежить и систематизировать знания.,"временные ряды, байесовский подход",хоккей,Да,Любой,Да,Да,Пофиг,Нет,4,3,-12,2.0,Да,Да,Могу скачать материалы,Да,Энигма
2016/12/09 12:58:46 am GMT+3,"Магистр прикладной информатики МИФИ. Руководитель группы мониторинга SDV. Анализ данных скорее пока как хобби, но очень хочет развиваться в этой области",Да,"Получение знаний в области анализа данных, общение и интересные задачи","Нейронные сети, временные ряды, может быть что-то из области красивой динамической визуализации данных, может быть что-то на тему организации хранения данных, в частности больших данных",Спорт,Да,Пт,Да,Да,Да,"Не определился. Но идея в целом имеет право на жизнь при условии, что будет объективная оценка домашки",3,3,-12,2.0,Да,Да,Могу скачать материалы,Да,Игры разума?)
2016/12/09 1:32:47 am GMT+3,"Я студент 3 курса совместного бакалавриата ВШЭ-РЭШ. Интересуюсь анализом данных, хотел бы найти стажировку в этой области.",Да,"Хочу наконец заботать что-то из машинного обучения, а не прокрастинировать.",Временные ряды,Бадминтон,Да,Любой,Посмотрим,Посмотрим,Да,Да,4,3,-12,2.0,Да,Да,По нулям,Да,"""Игры разума"" :)"
2016/12/09 1:34:35 am GMT+3,"Работаю, учусь и развиваюсь",Да,"Хочется лучше понимать, для чего же нужны нейронные сети и как использовать машинное обучение для обработки больших потоков данных.",нейронные сети,Велоспорт,Да,Чт,Посмотрим,Да,Да,Да,3,3,,2.0,Да,Да,Могу редактировать свою копию,Да,
2016/12/09 3:24:05 am GMT+3,.,Нет,ML на практике,"нейронные сети, deep learning",,Да,Любой,Посмотрим,Да,Нет,Да,2,,,,Да,Да,Проф,Да,
2016/12/09 12:01:30 pm GMT+3,"21 год, студентка магистерского программы Высшей школы экономики ""Журналистика данных"". Закончила бакалавриат ""бизнес-информатики"", но все равно чувствую себя непробиваемым гуманитарием.",Да,"Понимания и направления и что/где брать, чтобы усвоить эту тему. ",нейронные сети,,Да,Пт,"учусь в будни по вечерам. надеюсь, что меня хватит на всё. ",Да,Нет,"не знаю, проверим. ",3,не хватает данных?:(,-11,2.0,Да,Да,Могу скачать материалы,Да,"хороший фильм, не о математике, но тем не менее ""Столетний старик, который вылез в окно и исчез""."
2016/12/09 12:48:26 pm GMT+3,Разработчик Computer Vision,Да,Навести порядок в куче расбросанных знаний по ML и прокачать практические навыки.,байесовский подход,Бальные танцы,Да,Ср,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,Проф,Да,Игры разума
2016/12/09 6:44:15 pm GMT+3,Занимаюсь аналитикой в Qlean. Хочу углубить свои знания в машинном обучении.,Да,Хочу углубить свои знания по машинному обучению и использовать это в работе.,Нейронные сети были бы интересны.,плавание,Да,Ср,Да,Да,Да,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,Вселенная Хокинга)
2016/12/10 12:01:28 am GMT+3,преподаватель факультета права,Нет,Хотел бы узнать о глобальных вызовах и новых возможностях,хотел бы научиться создавать smart-договоры.,Бокс,Да,Любой,Да,Да,Пофиг,не понял вопрос,3,,,,Нет,Да,Могу скачать материалы,Да,10 декабря по 15 декабря 2016 года пройдет ОТКРЫТИЕ XХII Международного фестиваля фильмов о правах человека «Сталкер».
2016/12/10 4:02:33 am GMT+3,10 лет в интернет-маркетинге. Сейчас разрабатываю свою систему seo-аналитики,Да,"Quick Start по ML. Знаю теоретические основы некоторых методов машинного обучения, но очень не хватает практики. ",Для моих задач очень актуально NLP.,Футбол,Да,Любой,Да,Да,Да,Да,3,0.5,-12,2.0,Да,Хорошо знаю python,Могу редактировать свою копию,Да,"Не смотрел ""Игру в имитацию"", но могу посоветовать классику - ""Игры разума"""
2016/12/10 11:56:22 am GMT+3,преподаю эконометрику во вшэ,Нет,общего ознакомления. ,особо интересны- нейронные сети,бадминтон,Да,Любой,Посмотрим,посмотрю как пойдет само обучение,Пофиг,все равно,5,3,-12,2.0,Нет,Да,По нулям,Да,"""Игры разума"""
2016/12/10 12:31:03 pm GMT+3,Изучаю компьютерную лингвистику в НИУ ВШЭ. Работаю аналитиком.,Да,больше практики,"нейронные сети, NLP",mma,Да,Вт,Да,Да,Да,Нет,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Игры разума
2016/12/10 3:47:40 pm GMT+3,"Студент магистерской программы ""Журналистика данных"" НИУ ВШЭ",Да,"работа с Pandas, разбор алгоритмов ML",Нейронные сети,Футбол,Да,Вт,Да,Да,Пофиг,Нет,2,,,,Да,Да,Могу скачать материалы,Да,В центре внимания
2016/12/10 4:58:57 pm GMT+3,Software Engineer at ObjectStyle LLC. Увлекаюсь Data Science и планирую продолжить свою карьеру в этой области.,Да,"Ожидаю сильную практическую составляющую курса, которая поможет укрепить навыки и отработать изученный материал.","NLP, нейронный сети и deep learning",Футбол,Да,Вт,Да,Да,Пофиг,"Все равно, так как проживаю в Минске и буду иметь возможность только смотреть трансляцию.",4,3,-11,2.0,Да,Уже освоены,"Пользуюсь ветками, могу что-то смерджить",Да,"Игры Разума, Умница Уилл Хантинг, Хокинг"
2016/12/10 6:14:45 pm GMT+3,Закончил ф-т прикладной математики МАИ. Второй год работаю программистом/аналитиком данных в НИиПИ Генплана Москвы.,Да,"Расширить кругозор, освежить и систематизировать знания, набить руку в решении задач, весело и с пользой провести время :)",А мне всё интересно.,,Да,Вт,Посмотрим,Да,Да,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,"Я не смотрел ""Игру в имитацию"" :("
2016/12/10 7:19:22 pm GMT+3,студент 6 курса МФТИ,Да,Набраться практики в анализе данных,анализ временных рядов + нейронные сети ,дота2,Да,Любой,"мотивации хватит, но я пока что не знаю своего расписания на следующий семестр, дойду ли до конца я не уверен",Да,Да,"как Вам будет угодно, в любом случае я буду смотреть трансляции",4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,"не знаю, не смотрел"
2016/12/10 10:28:45 pm GMT+3,Аспирант МГУ экономический факультет,Нет,получение новых навыков и апгрейд старых знаний для поиска достойной работы на рынке труда после аспирантуры,NLP,Pilates; плавание,Да,Вт,Да,Да,Да,Да,4,2,-11,1.0,Нет,Да,Могу скачать материалы,Да,
2016/12/10 11:12:39 pm GMT+3,Любопытствующий программист и либераст,Нет,"Жду внятного изложения с честной математикой. Если нету доказательства некоего факта, то хотелось бы честных слов: доказательства нет, а интуитивная мотивация, почему этот факт похож на правду - вот такая и сякая.",Лучше меньше да лучше. ,Женское фигурное катание,Да,Вт,Посмотрим,Да,Пофиг,"Могут приходить, но не обязаны.",3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,"""Мимино"". СССР - это большая ира в имитацию. Быть там настоящим было непросто, но зато драйвово."
2016/12/10 11:20:47 pm GMT+3,"Добрый вечер!   В 2015 году я окончила МЭСИ по специальности математические методы в экономике, а сейчас учусь в магистратуре в НИУ ВШЭ на «Журналистике данных». Работаю медиа-аналитиком: занимаюсь контентным анализом в социальных медиа и СМИ, а также анализом групп и поведение пользователей.",Да,"Я хочу расширить свои знания по анализу и визуализации данных. Анализ данных еще долгое время будет актуален и хочется научиться современным знаниям, быть в тренде развития области.
","Не могу сказать что бы я еще добавила в этот курс. Главное, что бы темы объяснялись не сложным языком.",Биатлон!,Да,Ср,Да,Да,Да,Да,3,3,-12,2.0,Да,Да,По нулям,Да,не знают :(
2016/12/11 2:50:46 am GMT+3,"Мне 22 года, живу во Львове. Работаю рекрутером, но понимаю, что онлайн-интервью и боты - отличная идея :) Статистика в университете была любимым предметом, Python на базовом уровне освоила. Если и двигаться дальше (а это неизбежно), то в DA.",Нет,А вот выше указала :) Новые знания понятным языком. И практика-практика-практика.,Байесовский подход ,Академическая гребля. ,Да,Пн,Посмотрим,Да,Да,Да,2,3,-12,2.0,Нет,Да,Могу скачать материалы,Да,
2016/12/12 4:23:38 pm GMT+3,"Разработчик .net и мобильных приложений, стаж более 4 лет. На данный момент работаю ведущим разработчиком в компании Автодок.",Нет,"Хочу получить знания в области даталогии, навыки обработки и анализа больших массивов данных, улучшить математическую подготовку. Закончить курс, выполнив индивидуальный проект самостоятельно или в составе небольшой команды.",Хотелось бы получить глубокие знания в области нейронных сетей и машинного обучения.,Картинг,Да,Любой,Да,Да,Пофиг,Да,3,3,-12,2.0,Да,Да,Проф,Да,Игры разума
2016/12/12 5:05:07 pm GMT+3,"Студентка 4 курса факультета медиакоммуникаций НИУ ВШЭ и программы ""Переводчик в сфере профессиональных коммуникаций"" в той же НИУ ВШЭ, с прошлого года участвую в хакатонах, готовлюсь к поступлению на магистерскую программу ""Журналистики данных"" НИУ ВШЭ. Мечтаю в полной мере научиться магии программирования, машинному обучению, анализу данных, и связать свою судьбу с расследованиями, основанными на открытых данных. ",Да,"Жду практики, много практики, возможности получать фидбэк, понять как соотносится теория ( вроде Лутца) с практикой, какие задачи позволит решить машинное обучение, в каком направлении для себя лучше двигаться ( по итогам прохождения курса). И, конечно, познакомиться с единомышленниками, пообщаться с профессионалами, что очень важно - это и обмен опытом, и контакты, и грамотное ""кураторство"". ","Инструменты для визуализации ( не Tableu, а что-нибудь покруче) ",Фигурное катание,Да,Вт,Да,Да,Пофиг,Да,1,,,4.0,Да,Code Academy уже пройден. ,Могу скачать материалы,Да,"Посмотрите сериал ""Черное зеркало"". А если все таки фильм, то ""Игры разума"""
