id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
631,2017/03/04 1:38:54 am GMT+3,"Заканчиваю мех-мат, начал увлекаться машинным обучением и анализом данных. Учусь в ЦМФ, прошел курсы Воронцова на курсере.",Да,"Применения методов машинного обучения, попрактиковаться в решении интересных задач, поучаствовать в соревнованиях",Футбол,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Пи
633,2017/03/04 2:24:17 am GMT+3,Студент магистратуры Big Data Systems ВШЭ,Да,Полезной инфы для старта в мл и полезных задачек,Самбо,Да,3,3,-12,1.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
634,2017/03/04 3:35:29 am GMT+3,"ИТ-инженер, интересуюсь наукой",Да,Получения практических навыков,Шахматы,Да,2,3,-12,2.0,Да,Я знаю Python,"Пользуюсь ветками, могу что-то смерджить",
635,2017/03/04 7:13:14 am GMT+3,"former CBDO of ThunderBid, 57, MSU, NES",Да,ML practical learning,biking,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",A Beautiful Mind
636,2017/03/04 10:37:33 am GMT+3,Data Science,Да,треша,Vollyball,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игра на понижение
637,2017/03/04 10:39:43 am GMT+3,Любопытствующий,Да,ничего не жду,,Да,3,,,,Да,освоил,"Пользуюсь ветками, могу что-то смерджить",
638,2017/03/04 10:44:53 am GMT+3,"Заканчиваю мех-мат МГУ. Начал увлекаться машинным обучением и анализом данных. Учусь в ЦМФ, прошел курсы Воронцова на курсере.",Да,Попрактиковаться в применении методов машинного обучения в различных задачах,Футбол,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Пи
639,2017/03/04 11:05:49 am GMT+3,python developer & sysadmin,Да,"хорошо знаю python, прошел andrew ng, думаю что учить дальше",не знаю пусть будет теннис :),Да,2,?,"нужно взять производную, прировнять к нулю и решить куб уровнение ,  как решать куб уравнение хз",1.0,Да,Да,Проф,Игра в имитацию
640,2017/03/04 11:39:03 am GMT+3,"Люблю программирование, исследования, занимаюсь компьютерным зрением, хочу перевернуть мир",Да,Обретение определенности в базовых знаниях,Бег,Да,1,,,,Да,Да,Могу скачать материалы,"Я робот, наверное вы о нем слышали, довольно интересный сериал, после него появляется желание кого то взломать"
641,2017/03/04 1:14:35 pm GMT+3,"студент, учился на тер.физика, перегорел и увлекся Data Science, ныне учусь на провинциальном примате(Томск)",Да,"Консолидации имеющихся разрозненных знаний, практическая работа с python (сам в основном использую R)",dirt jumping ;D,Да,4,3,-12,2.0,Да,прошел,"Пользуюсь ветками, могу что-то смерджить","не смотрел ""Игру..."" , но советую insider с Аль Пачино"
642,2017/03/04 1:25:17 pm GMT+3,Интересуюсь python и машинным обучением,Да,Получение знаний о машинном обучении и навыков практического применения,Фигурное катание,Да,2,1,,2.0,Да,Да,Могу редактировать свою копию,Игры разума
643,2017/03/04 1:37:22 pm GMT+3,"Работаю QA, менторил курсеровскую спецуху по ML, ковыряю каггл",Да,"Хардкорных заданий, соревнований, интересных лекций по хайповым темам",качалочка,Да,3,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",¯\_(ツ)_/¯
644,2017/03/04 1:37:23 pm GMT+3,Разработчик Python. Интересуюсь nlp  и ботами,Да,Практики,Керлинг,Да,4,3,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
645,2017/03/04 1:55:32 pm GMT+3,Студент экфака СПбГУ. Немного программирую на python 3. Увлекаюсь эконометрикой и теорией вероятностей.,Да,Личностного прогресса в области анализа данных.,Плавание,Да,5,3,-12,2.0,Да,Азы Python мной уже освоены.,По нулям,Умница Уилл Хантинг
646,2017/03/04 2:27:59 pm GMT+3,"Выпускник химфака МГУ, аспирант/мнс ФИЦ биотехнологии РАН.  ",Да,Освоения базовых инструментов анализа данных,Самбо,Да,4,3,-12,2.0,Да,Да,По нулям,
647,2017/03/04 3:18:26 pm GMT+3,Новичок в индустрии анализа данных. До недавнего времени несколько лет работал над различного рода расчетами в сфере электроэнергетики,Да,Небольшой способ попрактиковаться,,Да,4,,,,Да,Без понятия какой там уровень,,
648,2017/03/04 3:19:49 pm GMT+3," Java, JavaScript dev",Нет,получить базовое понимание машинного обучения,Керлинг,Да,3,3,-12,1.0,Да,Да,Проф,Эйс Вентура
649,2017/03/04 3:34:52 pm GMT+3,"выпускница мехмата МГУ, работаю аналитиком в IT компании",Да,структурирование знаний,лыжные гонки,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,
650,2017/03/04 3:40:44 pm GMT+3,"Я более 7-ми лет работаю системным администратором в крупной компании. Эта грусть-тоска мне порядком надоела и я активно изучаю всё, что связано с ML и AI. Хочу, чтобы это стало новой профессией.",Да,Хочу структурировать и оценить свои знания в области машинного обучения.,сноуборд,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
651,2017/03/04 4:13:03 pm GMT+3,"Работаю девелопером, хочу сменить направление и заниматься ИИ. Мат. базу получила в университете, но тогда еще не представляла, чем хочу заниматься.",Нет,Понять основы и понять вектор развития после окончания курса.,керлинг,Да,4,3,-12,2.0,не знаю Python,Да,Могу скачать материалы,патруль времени
652,2017/03/04 4:15:19 pm GMT+3,"31 год, связист АТСник, недавно стала интересна тема ml",Нет,"Научиться анализу данных с помощью ml и без. Понять, где можно применить эти умения на практике.",Волейбол,Да,3,3,-12,2.0,Нет,Уже март,Могу скачать материалы,Игры разума
653,2017/03/04 5:12:56 pm GMT+3,начинающий Data Scientist,Да,Повторение материала,Кайтинг,Да,3,3,-11,2.0,Да,Да,Могу редактировать свою копию,Numbers
654,2017/03/04 5:21:00 pm GMT+3,Разработчик. Основной язык - C#. Интересуюсь ML,Да,"Получить знания о фреймворках Питона, используемых для ML/DA",Бокс,Да,3,3,-12,2.0,Да,"Я не знаю, какой там уровень. Но азы вроде знаю.","Пользуюсь ветками, могу что-то смерджить","Страховщик (Autómata). Стиль другой (фантастика про самоорганизующихся роботов), но сюжет интересный."
655,2017/03/04 6:15:42 pm GMT+3,"Начинающий аналитик, до этого программист, немного преподаю базы данных.",Да,"Решение задач, получение новых навыков.","бег, настольный теннис",Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
656,2017/03/04 6:24:56 pm GMT+3,студент csc в спб,Да,Много практики,Теннис,Да,3,,,,Да,Да,Могу редактировать свою копию,
657,2017/03/04 7:18:04 pm GMT+3,"Разработчик (Web backend, 1C), преподаватель по курсу ""Базы данных""",Нет,Практику по машинному обучению с применением Python библиотек,бразильское джиу-джитсу,Да,4,,-12,1.0,Да,вероятно опоздал),Могу редактировать свою копию,Западный мир
658,2017/03/04 7:18:07 pm GMT+3,"Я занимаюь разработкой встроенных систем, а также исследованиями в области электрических машин",Да,Практики, ,Да,3,0.5,-12,2.0,Да,Да,Могу редактировать свою копию,
659,2017/03/04 7:34:52 pm GMT+3,"Мм, люблю роботов. Долго работал в 2гис. Учу студентов.",Да,Практики,Коньки,Да,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Умница Уилл Хантинг - ничего фильм
660,2017/03/04 7:37:23 pm GMT+3,"Студентка магистратуры, неопытный программист, который мечтает начать работать и делать что-нибудь полезное",Нет,"у меня есть ооочень общее представление об анализе данных, хотелось бы сделать шаг к большему пониманию)",Баскетбол,Да,2,,,,Да,Да,Могу редактировать свою копию,
661,2017/03/04 7:38:01 pm GMT+3,"Аналитик в консалтинге, латентный гик, испорчен экономическим образованием",Да,Challenge and lulz,,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
662,2017/03/04 7:48:11 pm GMT+3,"любитель ворочать датку, программный инженер",Да,Интересные проекты и малоизвестные секреты DS,,Да,4,3,-12,2.0,Да,already,"Пользуюсь ветками, могу что-то смерджить",
663,2017/03/04 8:16:47 pm GMT+3,Бизнес-консультат с интересов в области продвинутой аналитики. Прошел Coursera Data Science Specialization from John Hopkins University (R). С Python небольшой опыт анализа данных.,Да,Практика анализа данных на python,,Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,
664,2017/03/04 8:23:22 pm GMT+3,Data Scientist from Siberia,Да,освежить и структурировать знания в области data science,Баскетбол,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""Игры разума"" ничего так. Новый фильм ""Расплата"" тоже стоит посмотреть"
666,2017/03/04 9:07:20 pm GMT+3,"Готовлюсь к аспирантуре в СПИИРАН (Санкт-Петербургский институт информатики и автоматизации РАН). Интернет Вещей - мой идол. Мои самые радужные сны - про то, как я пишу код. Без багов.",Да,"Освежить в памяти вышмат и теорию по машинному обучению, дабы приступить к решению реальных задач.",Баскетбол,Да,3,3,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
667,2017/03/04 9:30:59 pm GMT+3,Занимаюсь анализом данных. Особенно интересны темы компьютерного зрения и глубокого обучения.,Да,более глубоко погрузиться в анализ данных,теннис,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Сноуден
668,2017/03/04 9:39:28 pm GMT+3,"Живу в Португалии, поглощаю все что связано с машинным обучением)",Да,Интересных задач,Яхтинг,Да,3,3,,2.0,Да,Да,Могу редактировать свою копию,
669,2017/03/04 10:10:43 pm GMT+3,"Увлекаюсь машинным обучением. Прошел специализацию по Data Science от John Hopkins, сейчас прохожу специализацию от МФТИ. Обе специализации на coursera.org",Да,Знания,Теннис,Да,3,,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
670,2017/03/04 10:33:09 pm GMT+3,"Мне 23 года, студент 6 курса ФУПМ МФТИ. Работаю в лаборатории INRIA в Гренобле. Любимое хобби - футбол.",Да,Хочу попрактиковаться в решении задач и повторить материал,Футбол,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Сходу только фильм ""Игры разума"" вспоминается"
671,2017/03/04 10:43:04 pm GMT+3,"Я инженер из Мариуполя, очарован ML",Да,Получить знания о различных методиках анализа данных и ML,Сноубординг,Да,3,3,0,2.0,Да,Да,Могу скачать материалы,Игры разума
672,2017/03/04 10:51:14 pm GMT+3,"Начинающий, но очень упорный",Да,"Знания, практика, тесты",Футбол,Да,1,"12,25",пока не могу ответить,2.0,Да,Да,Могу скачать материалы,"Игры разума, Человек, который познал бесконечность"
673,2017/03/04 10:53:06 pm GMT+3,Студент ФББ МГУ,Нет,Научиться хоть чему-нибудь,Функциональный силовой тренинг,Да,4,3,-11,2.0,Да,Нет,По нулям,"Я не знаю, что это за фильм"
674,2017/03/05 12:19:13 am GMT+3,Студент ВШЭ СПб,Да,Решение задачек,Футбол,Да,3,3,-12,2.0,Да,Что-то знаю,Могу редактировать свою копию,Игры разума
675,2017/03/05 12:20:05 am GMT+3,"Будущий компьютерный лингвист, учусь работать с большими массивами данных и хочу использовать их в компьютерно-лингвистических исследованиях",Да,"Различных подходов к анализу одних и тех же данных и сравнения этих пожходов, выявления, какой когда использовать и т.п.",Формула 1,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Теория всего (The Theory of Everything), 2014"
676,2017/03/05 12:43:08 am GMT+3,Спасаю мозг изучая ML в HSE :),Да,Знаний и навыков.,Культуризм,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры Разума
678,2017/03/05 1:23:38 am GMT+3,Аспирант кафедры АСУ. Мисис,Да,Систиматизаци и практику,Сноуборт,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,не знаю
679,2017/03/05 1:55:22 am GMT+3,student interested in DA&ML,Да,"Practice, growing complexity",soccer,Да,4,3,-12,2.0,Да,Нет,"Пользуюсь ветками, могу что-то смерджить",a beautiful mind
680,2017/03/05 2:31:19 am GMT+3,"Закончила ВМК МГУ, работала программистом, сейчас изучаю ML :)",Да,"Повторить то, что уже изучала, сделать интересный проект",сноуборд,Да,4,3,,2.0,Да,Да,Проф,что за фильм? :)
681,2017/03/05 6:28:28 am GMT+3,Всё и сразу,Да,ничего,беговые лыжи,Да,2,3,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",не смотрите фильмы во время курса
683,2017/03/05 8:59:24 am GMT+3,"Студент 2-ого курса ОмГУ, обучающийся на программе ""Прикладная математика и информатика"". В этом году прошел на 2-ой этап конкурса IT-планета по языку Java",Нет,"Я хотел бы стать ближе к data science, научиться составлять модели для предсказания, статистики",Воллейбол,Да,4,3,-12,3.0,Да,Да,Могу редактировать свою копию,Игры разума
684,2017/03/05 10:43:15 am GMT+3,"Математик, программист, программирую на GPU.",Да,Прокачать скилы по ml  и dc,бег,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Энигма
685,2017/03/05 10:47:58 am GMT+3,Студент 4го курса ФКН ВШЭ,Да,"Структурировать и освежить имеющуюся информацию, выполняя практические задания",Хоккей,Да,3,3,-11,2.0,Да,Да,Могу редактировать свою копию,
686,2017/03/05 11:16:55 am GMT+3,"Студент 4 курса НТУУ ""КПИ"", специальность системный анализ. Пишу на Python и Java.",Да,"Заполнение пробелов в знаниях по machine learning, практика в pandas и scikit-learn",,Да,4,3,-12,2.0,Да,Хорошо знаю Python,Проф,
687,2017/03/05 11:37:36 am GMT+3,студент 2 курса,Нет,"Введение в data science, отправную точку",шахматы,Да,4,,,,Да,Да,Могу скачать материалы,
688,2017/03/05 12:05:38 pm GMT+3,"Учусь в 10 классе лицей  ""Вторая школа"". Прошлым летом в лагере ""Сириус"" учился анализу данных в группе К.В. Воронцова. Интересуюсь этой темой.",Да,знаний и умений,футбол,Да,3,2,-12,2.0,Да,Да,Могу скачать материалы,
689,2017/03/05 12:32:18 pm GMT+3,"Студент, заканчиваю магистратуру по направлению ""Механика и математическое моделирование"". Начал изучать Python и анализ данных для применения в работе. Надеюсь, что этот курс мне поможет в этом!",Да,Получить базовые знания по DataScience и Python,беговые лыжи,Да,5,3,-12,1.0,Да,Да,По нулям,
690,2017/03/05 12:34:28 pm GMT+3,Обычный человек. Интересна область Data Science и хочу в дальнейшем работать в этой сфере.,Нет,"Хочу расширить свой набор знаний в области анализа данных. Также присутствует надежда, что смогу получить знания, достаточные для получения работы Data Scientist-а",MMA,Да,4,3,-12,2.0,Да,Да,По нулям,
691,2017/03/05 12:51:00 pm GMT+3,"Занимаюсь ML в качестве хобби, пока ) заканчиваю курс Yandex'a.",Да,"Некоторой практики, полезных советов, приемов и ссылок, знакомство с сообществом",Хоккей,Да,4,0,-12,2.0,Да,Да,Могу скачать материалы,21
692,2017/03/05 1:06:06 pm GMT+3,Веселая девчёнка:)),Да,Хороших и профессиональных уроков,плаванье,Да,3,1,-12,2.0,Да,Да,Могу скачать материалы,"""Игры разума"" з Расселом Кроу"
694,2017/03/05 1:47:52 pm GMT+3,"Руководитель проектов, Beeline Russia",Нет,Базовых знаний по анализу данных и построению простейших предиктиынх моделей с помощью Python,"Футбол, настольный теннис",Да,3,3,-12,2.0,"Я только начал погружаться в Python, но думаю, что смогу без проблем еще через пару дней занятий",Да,Могу скачать материалы,"Нет, сам с удовольствием прислушался бы к такому совету :)"
695,2017/03/05 1:54:04 pm GMT+3,человек,Да,Перейти к практике,,Да,2,3,-12,2.0,Да,Нет,"Пользуюсь ветками, могу что-то смерджить",Игры разума
696,2017/03/05 2:03:49 pm GMT+3,"Физтех, ФУПМ, 1 курс",Да,Постараюсь выжать как можно больше новой информации,Шашки,Да,4,1,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
697,2017/03/05 2:15:17 pm GMT+3,Выпускник мехмата МГУ,Нет,получить реальный опыт в сфере машинного обучения,,Да,5,,,,Да,Да,,
699,2017/03/05 2:59:16 pm GMT+3,"Я студент-магистр университета RWTH Aachen, Германия факультета Media Informatics ",Да,Хороший практический старт в сфере машинного обучения и быть направленным в правильное русло после завершения ,Бег. Очищает мозг :),Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",5-ая власть
700,2017/03/05 3:05:43 pm GMT+3, Магистрает RWTH Aachen Media Informatics,Да,Знания и хорошие практические задания ,Плавание,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Сноудэн
701,2017/03/05 4:02:20 pm GMT+3,учусь,Да,освежить знания в области МО и АД,,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
702,2017/03/05 4:16:06 pm GMT+3,Shiny developer на данный момент,Да,"Углубить xgboost, укрепить общее понимание алгоритмов, написать больше чем хелловорды по нейронкам",теннис,Да,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","другой любой фильм с Камбербетчем. Блин, я точно второй раз заполняю эту анкету"
703,2017/03/05 4:23:11 pm GMT+3,Изучал математику на факультете ВМК МГУ. Работаю в финтех сфере - занимаюсь анализом кредитных рисков.,Да,"Хочу научиться пользоваться основными алгоритмами машинного обучения. В частности, хотелось бы получить понимание методов отбора и конструирования признаков, специфичных для конкретного алгоритма; понять специфику настройки наиболее популярных классификаторов.",Бокс,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""Игры разума"", подозреваю, все смотрели :)"
704,2017/03/05 5:07:53 pm GMT+3,"Студент ИТМО, программирую, изучаю ML",Да,"Узнать классные штуки, которые я потом смогу где-нибудь применить",гребля,Да,2,не знаю,12,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
705,2017/03/05 5:11:21 pm GMT+3,"Аспирант, интересуюсь ML",Да,Заполнить существующие пробелы в знаниях,нет,Да,3,0.5,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
706,2017/03/05 5:29:49 pm GMT+3,"занимаюсь web разработкой, хочу перейти в анализ данных и машинное обучение",Да,Систематизировать знания и получить опыт,Велоспорт,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
707,2017/03/05 5:51:10 pm GMT+3,"Разработчик ПО, интересующийся машинным обучением",Да,Понимания как это работает :),Бег,Да,2,3,-12,2.0,Да,Да,Могу скачать материалы,
708,2017/03/05 6:15:07 pm GMT+3,"Клара Вадимовна Бродская. Нет, мой дедушка был журналист и не умер в Италии. Я все еще ищу работу, поэтому прохожу курсы курсы курсы",Да,"Больше практики с ансамблями, сложными моделями . И простейшими нейроночками.",Йога,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,http://films.imhonet.ru/
709,2017/03/05 6:25:18 pm GMT+3,студент МИСИС,Нет,Определиться с темой для диплома,биатлон,Да,4,3,-12,2.0,Нет,Да,Могу редактировать свою копию,Сияние
710,2017/03/05 6:35:22 pm GMT+3,"Студент 5 курса МФТИ, работаю в СберТехе разработчиком",Да,"Повышения навыков по машинному обучению, закрепление материала",Бег,Да,5,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
712,2017/03/05 7:07:55 pm GMT+3,"Программист в Mail.Ru Group, пишу в основном на scala. ML хобби.",Да,Прокачать скиллы в машинном обучении. Особенно интересны нейронные сети.,Автоспорт,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Не смотрел
713,2017/03/05 7:34:34 pm GMT+3,Меня привлекает ML. Надеюсь получить первичные знания на вашем курсе,Да,Получения первичных знаний о ML.,MMA,Да,5,3,-7.382,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",X+Y
714,2017/03/05 7:38:20 pm GMT+3,"Начинающий питон разработчик. Закончил мехмат, но с математикой на вы так как очень ленивый.",Нет,Новых знаний в области обработки данных.,Футбол,Да,2,Не знаю,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",21
715,2017/03/05 8:20:14 pm GMT+3,Software Engineer,Нет,Научиться базовым подходам к анализу данных.,,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
716,2017/03/05 8:20:26 pm GMT+3,Студент ВШЭ. Компьютерная лингвистика,Да,Повышения навыков,mma,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Октябрьское небо
717,2017/03/05 8:27:30 pm GMT+3,25 лет в ІТ,Да,знаний,йога,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
718,2017/03/05 8:40:46 pm GMT+3,Студентка 2 курса факультета биоинженерии и биоинформатики МГУ им. М. В. Ломоносова,Да,Надеюсь апгрейдиться в программировании на Python и познакомиться с ML,Теннис,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,"""Игры разума"", ""Бердмэн"", ""Энигма"", ""Жертвуя пешкой"""
719,2017/03/05 9:08:45 pm GMT+3,Студентка мехмата МГУ,Да,Хочу выучить питон :),Баскетбол,Да,5,3,-12,2.0,Нет,Нет,Могу редактировать свою копию,Игры разума
720,2017/03/05 9:42:20 pm GMT+3,Студент 3 курса физфака МГУ. Питон изучаю 3 недели. Стоит задача HR-анализа в крупной компании. Необходимы навыки анализа данных и машинного обучения,Нет,Получить tips для обработки данных и машинного обучения. ,Хоккей,Да,4,3,-11,2.0,Да,уже,Могу скачать материалы,Игры разума (ответы запостить!!!!)
721,2017/03/05 9:51:14 pm GMT+3,Артур. Киев. Работаю в R. Хочу попробовать Python.,Нет,освоить азы машинного обучения и работы в python ,футбол,Да,2,3,-93,2.0,Нет,Нет,Могу скачать материалы,"человек, который изменил все, игры разума, доказательство"
722,2017/03/05 9:55:59 pm GMT+3,"занимаюсь рекомендательными системами, учусь в аспирантуре hse",Да,"хочу освежить знания, может что-то новое узнать",,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
724,2017/03/05 10:10:48 pm GMT+3,Недавно закончил универ. Работаю программистом.,Да,"Понять, чего я стою",бильярд,Да,2,3,-12,2.0,Да,Да,Могу редактировать свою копию,
725,2017/03/05 10:37:23 pm GMT+3,"Студентка последнего года магистратуры в МФТИ (ГУ) и Universite Grenoble Alpes (Grenoble, France)",Да,Practice,Aerobics,Да,4,0.5,-12,2.0,Да,Да,Могу редактировать свою копию,"Люблю: Игра Эндера, Престиж, Иллюзионист, Иллюзия обмана, Ангелы и демоны, Код да Винчи, Начало"
726,2017/03/05 10:43:50 pm GMT+3,"Мне 20 лет и я учусь на технической специальности. Мне интересны сетевые технологии, БД, а также аналитика и прогнозирование в различных отраслях.",Нет,"Узнать новое, обновить уже полученные ранее знания и познать анализ данных (и методы) для дальнейшей работы в этой области","Сноубординг, танцы",Да,2,0.5,-12,2.0,Да,Уже не успела,Могу редактировать свою копию,Игры разума
727,2017/03/05 10:48:49 pm GMT+3,Student,Да,Practice,Fitness,Да,4,0.5,-12,2.0,Да,Да,Могу скачать материалы,-
728,2017/03/05 11:01:42 pm GMT+3,Интересна тема машинного обучения,Да,Мотивации к дальнейшему изучению:),Футбол,Да,3,3,-12,2.0,Да,Нет,По нулям,
730,2017/03/05 11:54:48 pm GMT+3,Прикладной математик.Интересуюсь Machine Learning.,Да,Интересных заданий на разнообразные темы.Новых идей для дальнейшего применения ML. ,Футбол.,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
731,2017/03/06 12:01:48 am GMT+3,"Разработчик, фанат ML :)",Да,Вспомнить основные рабочие моменты,Настольный теннис,Да,2,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","не смотрела, извините, парни"
732,2017/03/06 12:04:02 am GMT+3,"Я студент мехмата МГУ, параллельно учусь в цмф и на udacity nanodegree курсе",Да,Научусь решать задачи и глубже проникнусь машинным обучением,Рукопашный бой,Да,5,3,-12,2.0,Да,Да,Могу редактировать свою копию,Кто бы мне посоветовал..
733,2017/03/06 12:09:44 am GMT+3,Студентка школы лингвистики ВШЭ. Хочу (и пытаюсь) заниматься DA и ML.,Да,Надеюсь упорядочить и лучше осознать уже известное ,плавание,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,
734,2017/03/06 12:23:41 am GMT+3,"Работаю в ivi.ru, занимаюсь рекомендательной системой",Да,"Мне больше всего интересны вторая часть и ""продвинутым темы"", ",фехтование,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игра на понижение
735,2017/03/06 12:34:17 am GMT+3,"PM в аналитике в геймдеве, преподаватель ВШЭ. Все никак не получается подтянуть свои знания по ML ",Да,введения в ML,теннис,Да,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Посмотрите классный индийский фильм https://www.kinopoisk.ru/film/675597/ 
736,2017/03/06 12:38:19 am GMT+3,"Работаю QA в компании, разрабатывающей ПО для страховых компаний. Живу в Калининграде. Недавно увлеклась машинным обучением, параллельно прохожу специализацию от Яндекса и МФТИ на курсере.",Да,"Хочу дополнить знания, полученные на специализации от Яндекса и получить больше практических заданий",велосипед,Да,3,3,,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
737,2017/03/06 12:47:15 am GMT+3,"Студент факультета кибернетики Киевского национального университета, работаю в сфере прогнозирования, байкер-активист",Нет,Знаний,,Да,5,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Ігры разума, Жертвуя пешкой"
738,2017/03/06 1:49:12 am GMT+3,"Я iOS разработчик, но давно слежу за машинным обучением. Интересует, например, применение в геймдеве для генерации контента.",Нет,"Систематизации знаний по машинному обучению, практики.",Практическая стрельба,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
740,2017/03/06 6:46:06 am GMT+3,Студент ТОГУ по специальности компьютерная безопасность,Нет,получение знаний о машинном обучение,Баскетбол,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,
741,2017/03/06 8:56:05 am GMT+3,Магистрант 1-й курс,Нет,Закрепить свои знания по машинному обучению,Тайский бокс,Да,3,4.66,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Игры разума
742,2017/03/06 9:35:49 am GMT+3,Я  технический директор  с 15 летним стажем в разработке. В  последнее время интересуюсь Data Science and ML,Да,Закрепления знаний полученных самостоятельным изучением,футбол,Да,2,3,-12,2.0,Да,Да,Проф,Игры разума
743,2017/03/06 9:54:53 am GMT+3,-,Да,practice,football,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""Игра в имитацию"" не понравился."
744,2017/03/06 10:13:39 am GMT+3,"Окончил физ-тех (магистратура), работаю вед. инженером (геофизика). Мечтаю принять участие в серьезном проекте (state-of-the-art). ",Нет,Познание DataScience на начальном уровне,Спортивная гимнастика,Да,3,3,-12,2.0,Нет,Уже прошел,Могу скачать материалы,Пи
745,2017/03/06 10:16:37 am GMT+3,Студентка Ecole Polytechnique,Да,Хочу освежить знания,Фигурное катание,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
746,2017/03/06 10:39:48 am GMT+3,"Работаю аналитиком в банке, занимаюсь анализом клиентского поведения для формирования оптимального предложения, предотвращения оттока и т.д.",Да,Более глубокого погружения в практику ML на питоне,водное поло :),Да,4,0,-12,2.0,Да,уже,Могу скачать материалы,
