"date" "count" "lang" "page" "rank" "month" "title"
"33" 2015-11-30 3219 "en" "Machine_learning" "8708" "201511" "Machine_learning"
"338" 2015-12-01 3185 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"337" 2015-12-02 3515 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"336" 2015-12-03 3045 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"342" 2015-12-04 2802 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"341" 2015-12-05 1703 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"340" 2015-12-06 2045 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"339" 2015-12-07 3259 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"335" 2015-12-08 3198 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"334" 2015-12-09 3205 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"359" 2015-12-10 3144 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"360" 2015-12-11 2826 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"361" 2015-12-12 1897 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"362" 2015-12-13 2041 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"355" 2015-12-14 3121 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"356" 2015-12-15 3229 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"357" 2015-12-16 3967 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"358" 2015-12-17 2870 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"363" 2015-12-18 2475 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"364" 2015-12-19 1659 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"344" 2015-12-20 1534 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"343" 2015-12-21 2425 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"346" 2015-12-22 2469 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"345" 2015-12-23 2292 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"348" 2015-12-24 1671 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"347" 2015-12-25 1227 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"350" 2015-12-26 1367 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"349" 2015-12-27 1373 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"352" 2015-12-28 2181 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"351" 2015-12-29 2162 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"353" 2015-12-30 2107 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"354" 2015-12-31 1590 "en" "Machine_learning" "8708" "201512" "Machine_learning"
"369" 2016-01-01 1159 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"370" 2016-01-02 1704 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"371" 2016-01-03 1724 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"365" 2016-01-04 3180 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"366" 2016-01-05 3180 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"367" 2016-01-06 3186 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"368" 2016-01-07 3055 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"373" 2016-01-08 2874 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"374" 2016-01-09 1674 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"380" 2016-01-10 1873 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"379" 2016-01-11 3083 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"378" 2016-01-12 3319 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"377" 2016-01-13 3145 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"384" 2016-01-14 3164 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"383" 2016-01-15 2743 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"382" 2016-01-16 1644 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"381" 2016-01-17 1836 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"376" 2016-01-18 2983 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"375" 2016-01-19 3389 "en" "Machine_learning" "8708" "201601" "Machine_learning"
"372" 2016-01-20 3559 "en" "Machine_learning" "8708" "201601" "Machine_learning"
