"surgery","age","hospital_number","rectal_temp","pulse","respiratory_rate","temp_of_extremities","peripheral_pulse","mucous_membrane","capillary_refill_time","pain","peristalsis","abdominal_distention","nasogastric_tube","nasogastric_reflux","nasogastric_reflux_ph","rectal_exam_feces","abdomen","packed_cell_volume","total_protein","abdomo_appearance","abdomo_protein","outcome","surgical_lesion","lesion_1","lesion_2","lesion_3","cp_data"
"yes","adult",529960,38.1,44,9,"cool","normal","normal_pink","less_3_sec","depressed","normal","none","none","none",NA,"absent","distend_large",31,7.3,NA,NA,"lived","no",5124,0,0,"no"
"no","adult",522979,36,42,30,NA,NA,"bright_red","less_3_sec",NA,NA,NA,NA,NA,NA,NA,NA,64,6.8,NA,NA,"died","no",1400,0,0,"no"
"yes","adult",530402,NA,120,NA,"cold","reduced","dark_cyanotic","more_3_sec","extreme_pain","absent","severe",NA,NA,NA,"absent","distend_large",57,4.5,"serosanguious",3.9,"died","yes",3205,0,0,"yes"
"yes","adult",529424,37.8,48,28,"normal","normal","normal_pink","more_3_sec","alert","normal","none","slight",NA,NA,"normal","normal",46,5.9,"cloudy",7,"lived","no",0,0,0,"yes"
"yes","adult",534519,37.1,84,40,"cool","reduced","dark_cyanotic","less_3_sec","depressed","absent","severe","significant","less_1_liter",2,"absent","distend_large",75,81,NA,NA,"euthanized","no",1400,0,0,"no"
"no","adult",535246,NA,80,32,"cool","reduced","bright_pink","less_3_sec","depressed","hypomotile","moderate","slight","none",NA,"decreased",NA,50,80,NA,NA,"lived","yes",0,0,0,"no"
"yes","adult",534115,38.2,48,NA,"normal","reduced","pale_pink","less_3_sec","mild_pain","absent","severe","none","more_1_liter",2,"absent","distend_large",42,71,NA,NA,"lived","yes",3111,0,0,"no"
"no","adult",530001,38,44,12,"warm","normal","pale_pink","less_3_sec","mild_pain","absent","moderate","none","less_1_liter",6.5,"normal","distend_small",33,6.5,NA,NA,"died","yes",2209,0,0,"no"
"yes","adult",529272,38.3,132,NA,NA,"reduced","dark_cyanotic","more_3_sec","depressed","absent","slight","slight","more_1_liter",6.2,"absent","distend_small",57,8,NA,5.2,"lived","yes",2112,0,0,"yes"
"no","adult",535314,38.7,48,24,NA,NA,NA,NA,"alert","hypermotile",NA,"none","none",NA,"normal",NA,34,63,NA,NA,"lived","no",0,0,0,"no"
"no","adult",533793,38.9,44,14,"cool","normal","normal_pink","less_3_sec","depressed","hypomotile","slight",NA,NA,NA,NA,"other",33,64,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",529399,39.3,NA,NA,"cold","reduced","dark_cyanotic","more_3_sec","severe_pain","absent","slight","none","more_1_liter",4,"absent","distend_small",75,NA,"serosanguious",4.3,"died","yes",2207,0,0,"yes"
"yes","adult",533836,NA,100,NA,"cool","reduced","pale_cyanotic","more_3_sec",NA,"absent","severe","slight","none",2,NA,NA,68,64,"serosanguious",2,"lived","yes",2209,0,0,"no"
"no","adult",528804,38.6,48,20,"cool","normal","normal_pink","less_3_sec","alert","hypomotile","slight","slight","none",NA,"decreased","other",50,7.3,"clear",NA,"lived","no",3111,0,0,"yes"
"no","adult",535163,38.8,48,40,"normal","normal","pale_pink","less_3_sec","mild_pain","hypomotile","severe","slight",NA,NA,NA,"distend_large",41,65,NA,NA,"lived","yes",4124,0,0,"no"
"no","adult",528247,38,48,20,"cool","reduced","pale_cyanotic","less_3_sec","alert","absent","slight","slight",NA,5,NA,"other",49,8.3,"clear",NA,"lived","no",400,0,0,"yes"
"no","adult",528996,38.6,52,20,"normal","normal","normal_pink","less_3_sec","mild_pain","hypomotile","slight","none","none",NA,"normal","firm",36,6.6,"clear",5,"lived","no",0,0,0,"yes"
"yes","adult",533928,37.8,60,24,"normal",NA,"pale_pink","more_3_sec",NA,"absent","severe","slight","more_1_liter",2,NA,"distend_large",52,75,NA,NA,"euthanized","yes",2205,0,0,"no"
"no","adult",528248,38,42,40,"cool","normal","normal_pink","less_3_sec","mild_pain","hypomotile","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lived","no",3111,0,0,"no"
"no","adult",528134,NA,NA,12,"normal","normal","bright_pink","less_3_sec","depressed","hypermotile","slight","significant","none",NA,"normal","firm",44,7.5,"cloudy",NA,"lived","no",0,0,0,"yes"
"yes","adult",527916,NA,NA,NA,NA,NA,NA,NA,"severe_pain",NA,NA,"none","none",NA,NA,"distend_large",35,58,"cloudy",1,"lived","yes",4205,0,0,"no"
"yes","adult",530431,38.3,42,24,NA,NA,NA,"less_3_sec",NA,NA,NA,NA,NA,NA,NA,NA,40,8.5,NA,NA,"died","yes",7113,0,0,"no"
"no","adult",535176,39.5,60,10,"cool",NA,NA,"more_3_sec","mild_pain","hypomotile","slight","slight","none",NA,"decreased",NA,38,56,"clear",NA,"lived","no",0,0,0,"no"
"yes","adult",533942,38,66,20,"normal","reduced","pale_pink","less_3_sec","extreme_pain","hypomotile","none","none","none",NA,"decreased",NA,46,46,"serosanguious",2,"euthanized","yes",6209,0,0,"no"
"yes","adult",528523,38.7,76,NA,"normal","normal","bright_red","more_3_sec","mild_pain","hypomotile","slight","slight","less_1_liter",NA,"absent","distend_small",50,8,NA,NA,"lived","yes",2208,0,0,"yes"
"yes","adult",534925,39.4,120,48,NA,NA,"bright_red","less_3_sec",NA,"hypomotile","moderate","none",NA,NA,"absent",NA,56,64,"clear",2,"euthanized","no",1400,0,0,"no"
"yes","adult",527916,38.3,40,18,"normal","normal","normal_pink","less_3_sec","mild_pain","hypermotile","none",NA,NA,NA,"increased","normal",43,5.9,"clear",NA,"lived","no",0,0,0,"yes"
"no","adult",528299,NA,44,24,"normal","normal","normal_pink","less_3_sec","mild_pain","hypomotile","none","slight","none",NA,NA,"normal",NA,6.3,NA,NA,"lived","no",3111,0,0,"no"
"yes","adult",530254,38.4,104,40,"normal","normal","pale_pink","less_3_sec","depressed","absent","slight","slight","more_1_liter",6.5,NA,"distend_small",55,8.5,NA,NA,"lived","yes",2124,0,0,"no"
"yes","adult",535085,NA,65,24,NA,NA,NA,"more_3_sec","extreme_pain",NA,"severe","significant","none",NA,NA,"distend_large",NA,NA,NA,NA,"euthanized","yes",3205,0,0,"no"
"no","adult",532985,37.5,44,20,"normal","normal","pale_pink","less_3_sec",NA,"hypermotile","none",NA,NA,NA,"normal",NA,35,7.2,NA,NA,"lived","no",0,0,0,"no"
"no","adult",527677,39,86,16,"cool","reduced","bright_red",NA,"mild_pain","hypomotile","moderate",NA,"less_1_liter",NA,NA,NA,68,5.8,"serosanguious",6,"died","yes",5400,0,0,"yes"
"yes","adult",535292,38.5,129,48,"cool","reduced","pale_pink","less_3_sec","depressed","absent","moderate","none","more_1_liter",2,NA,NA,57,66,"serosanguious",2,"lived","yes",2206,0,0,"no"
"yes","adult",529729,NA,104,NA,"cool","reduced","bright_red","more_3_sec","depressed","absent","moderate",NA,"more_1_liter",NA,"absent","distend_small",69,8.6,"cloudy",3.4,"died","yes",2207,0,0,"yes"
"no","adult",518476,NA,NA,NA,"cool","absent","dark_cyanotic",NA,"severe_pain",NA,"severe",NA,NA,NA,NA,NA,NA,NA,NA,NA,"died","yes",3400,0,0,"yes"
"yes","adult",527929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lived","yes",2208,0,0,"no"
"yes","adult",535130,38.2,60,30,"normal","normal","pale_pink","less_3_sec","mild_pain","hypomotile","none","slight","none",NA,"decreased","other",48,66,NA,NA,"lived","yes",6112,0,0,"no"
"yes","adult",523190,NA,68,14,NA,NA,"pale_cyanotic","less_3_sec","severe_pain",NA,NA,NA,"none",4.3,NA,NA,NA,NA,"cloudy",2.8,"died","yes",4205,0,0,"yes"
"yes","adult",533968,NA,60,30,"cool","reduced","pale_cyanotic","more_3_sec","extreme_pain","absent","severe","none","none",NA,"absent",NA,45,70,"serosanguious",2,"lived","yes",6111,3111,0,"no"
"no","adult",528151,38.5,100,NA,"cool","reduced","bright_red","more_3_sec","severe_pain","hypomotile","severe","slight","none",NA,"absent","distend_large",NA,NA,NA,NA,"euthanized","no",1111,0,0,"yes"
"yes","adult",530239,38.4,84,30,"cool","normal","bright_red","more_3_sec","severe_pain","hypomotile","moderate","slight","more_1_liter",6.5,"absent","distend_small",47,7.5,"serosanguious",NA,"died","yes",2300,0,0,"no"
"no","adult",528305,37.8,48,14,NA,NA,"normal_pink","less_3_sec","mild_pain",NA,"slight","none","more_1_liter",5.3,"normal",NA,35,7.5,NA,NA,"lived","no",3111,0,0,"yes"
"yes","adult",5279822,38,NA,24,"cool","reduced","dark_cyanotic","more_3_sec","extreme_pain",NA,"severe","none","none",NA,NA,NA,68,7.8,NA,NA,"died","yes",2205,0,0,"no"
"no","adult",534857,37.8,56,16,"normal","normal","bright_pink","less_3_sec","depressed","hypermotile","none","slight","none",NA,"normal",NA,44,68,"clear",1,"lived","no",0,0,0,"no"
"no","adult",534053,38.2,68,32,"warm","increased","bright_pink","less_3_sec","alert","hypermotile","none","significant","none",NA,"normal","normal",43,65,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",534833,38.5,120,60,"cold","reduced","dark_cyanotic","more_3_sec",NA,"hypomotile",NA,NA,NA,NA,NA,NA,54,NA,NA,NA,"lived","yes",5400,0,0,"no"
"yes","adult",5278331,39.3,64,90,"warm","reduced","normal_pink","less_3_sec",NA,"hypomotile","none","none","less_1_liter",NA,NA,NA,39,6.7,NA,NA,"lived","yes",21110,0,0,"no"
"yes","adult",527365,38.4,80,30,"cold","reduced","normal_pink","less_3_sec","mild_pain","hypomotile","moderate","significant","more_1_liter",NA,"absent","distend_large",32,6.1,"serosanguious",4.3,"lived","yes",7209,0,0,"yes"
"yes","adult",533887,38.5,60,NA,"normal","normal",NA,"less_3_sec",NA,"hypermotile","none",NA,NA,NA,NA,NA,33,53,"clear",NA,"lived","yes",4111,0,0,"no"
"yes","adult",5299603,38.3,60,16,"cool","normal","normal_pink","less_3_sec","depressed","hypermotile","none","slight","less_1_liter",3,"normal","distend_small",30,6,"clear",3,"lived","yes",31110,0,0,"no"
"yes","adult",528742,37.1,40,8,NA,"normal","pale_cyanotic","less_3_sec","mild_pain","hypomotile","none","none","none",NA,"decreased","firm",23,6.7,"serosanguious",NA,"lived","yes",3133,0,0,"yes"
"no","young",5287279,NA,100,44,"warm","normal","normal_pink","less_3_sec","severe_pain","hypermotile","none",NA,NA,NA,"normal",NA,37,4.7,NA,NA,"lived","no",7111,0,0,"no"
"yes","adult",534788,38.2,48,18,"normal","normal","normal_pink","less_3_sec","mild_pain","hypomotile","moderate","none","less_1_liter",NA,"absent",NA,48,74,"clear",2,"lived","yes",5111,0,0,"no"
"yes","adult",529373,NA,60,48,"cool","reduced","pale_cyanotic","more_3_sec","severe_pain","hypomotile","severe",NA,NA,NA,NA,NA,58,7.6,NA,NA,"died","yes",3205,0,0,"no"
"no","adult",534163,37.9,88,24,"normal","normal","bright_pink","less_3_sec","depressed","normal","none",NA,NA,NA,"absent","normal",37,56,NA,NA,"lived","no",0,0,0,"no"
"no","adult",533697,38,44,12,"cool","normal","normal_pink",NA,NA,"hypermotile","slight",NA,NA,NA,"normal",NA,42,64,NA,NA,"lived","no",0,0,0,"no"
"no","adult",529628,38.5,60,20,"normal","normal","bright_red","more_3_sec","depressed","normal","none","slight","none",NA,"increased","firm",63,7.5,"cloudy",2.3,"euthanized","no",300,0,0,"yes"
"no","adult",521399,38.5,96,36,"cool","reduced",NA,"more_3_sec","depressed","absent","slight","none","less_1_liter",NA,"absent","distend_large",70,8.5,NA,NA,"died","yes",1400,0,0,"yes"
"no","adult",533885,38.3,60,20,"normal","normal","normal_pink","more_3_sec","alert","hypomotile","none",NA,NA,NA,"decreased",NA,34,66,NA,NA,"lived","no",0,0,0,"no"
"no","adult",534157,38.5,60,40,"cool","normal","bright_pink","less_3_sec","depressed","hypermotile","slight",NA,NA,NA,"decreased","other",49,59,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",528047,37.3,48,12,"normal",NA,"pale_pink","less_3_sec","mild_pain","hypermotile","moderate","slight","none",NA,"decreased","firm",40,6.6,"cloudy",NA,"lived","yes",3205,0,0,"yes"
"yes","adult",528641,38.5,86,NA,"normal","normal","pale_pink","less_3_sec","severe_pain","absent","moderate","slight","none",NA,"decreased","distend_large",45,7.4,"clear",3.4,"died","yes",3209,0,0,"yes"
"yes","adult",534073,37.5,48,40,NA,NA,NA,NA,NA,NA,NA,"none","none",NA,NA,"distend_large",41,55,"serosanguious",2,"euthanized","yes",2208,0,0,"no"
"no","adult",529685,37.2,36,9,"normal","normal","normal_pink","less_3_sec","depressed","hypomotile","none","slight","none",NA,"absent","normal",35,5.7,NA,NA,"lived","no",31110,0,0,"no"
"yes","adult",529528,39.2,NA,23,"cool","normal","pale_pink","less_3_sec","severe_pain","absent","slight","slight",NA,NA,NA,NA,36,6.6,"clear",3,"lived","yes",3115,0,0,"yes"
"no","adult",528151,38.5,100,NA,"cool","reduced","bright_red","more_3_sec","severe_pain","hypomotile","severe","slight","none",NA,"absent","distend_large",NA,NA,NA,NA,"euthanized","no",4124,0,0,"no"
"yes","adult",535137,38.5,96,30,"warm","reduced","pale_cyanotic","more_3_sec","severe_pain","absent","moderate","slight","none",NA,"decreased","distend_large",50,65,NA,NA,"lived","yes",6111,3112,0,"no"
"yes","adult",530297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,8.7,NA,NA,"died","yes",2208,0,0,"no"
"yes","adult",535338,37.8,88,80,"cool","reduced","bright_red","more_3_sec",NA,"hypomotile","moderate","slight","more_1_liter",NA,"absent","distend_large",64,89,NA,NA,"euthanized","yes",3205,0,0,"no"
"no","adult",534478,37.5,44,10,"cool","normal","normal_pink","less_3_sec","mild_pain","hypermotile","slight","slight",NA,NA,"decreased","firm",43,51,"clear",1,"lived","no",0,0,0,"no"
"yes","adult",530401,37.9,68,20,NA,"normal","bright_pink","less_3_sec","depressed","absent","slight",NA,NA,NA,"normal","distend_large",45,4,"serosanguious",2.8,"died","yes",5400,0,0,"yes"
"yes","adult",529893,38,86,24,"cold","reduced","pale_cyanotic","less_3_sec","depressed","absent","severe","none","none",NA,"absent","distend_large",45,5.5,"clear",10.1,"died","yes",3111,0,0,"yes"
"yes","young",5294369,38.9,120,30,"normal","reduced","bright_pink","more_3_sec","mild_pain","hypomotile","moderate","significant","none",3,NA,NA,47,6.3,"clear",NA,"lived","no",2124,0,0,"no"
"yes","adult",528183,37.6,45,12,"cool","normal","pale_pink","less_3_sec",NA,"normal","slight","slight","none",NA,"normal","distend_small",39,7,"cloudy",1.5,"lived","yes",2112,0,0,"yes"
"no","adult",529183,38.6,56,32,"warm","normal","normal_pink","less_3_sec","alert","hypermotile","none","slight",NA,NA,"increased",NA,40,7,"cloudy",2.1,"lived","no",0,0,0,"yes"
"yes","adult",529135,37.8,40,12,"normal","normal","normal_pink","less_3_sec","alert","normal","none","slight","none",NA,"normal","other",38,7,NA,NA,"lived","yes",3111,0,0,"no"
"no","adult",528977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",5279441,38,76,18,NA,NA,NA,"more_3_sec",NA,NA,NA,NA,NA,NA,NA,NA,71,11,NA,NA,"lived","yes",2209,0,0,"yes"
"yes","adult",535240,38.1,40,36,"normal","increased","bright_pink","less_3_sec","depressed","normal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"euthanized","yes",3112,0,0,"no"
"yes","adult",529736,NA,52,28,"cool","reduced","pale_cyanotic","less_3_sec","mild_pain","absent","moderate","slight","none",NA,"absent","distend_small",37,8.1,NA,NA,"lived","yes",2111,0,0,"no"
"yes","adult",535029,39.2,88,58,"cold","absent",NA,"more_3_sec","extreme_pain","absent",NA,NA,NA,NA,NA,NA,NA,NA,"cloudy",2,"euthanized","no",3205,0,0,"no"
"yes","adult",535031,38.5,92,40,"cold","reduced",NA,"less_3_sec","depressed","absent","moderate",NA,NA,NA,"absent",NA,46,67,"cloudy",2,"lived","yes",2208,0,0,"no"
"yes","adult",528800,NA,112,13,"cold","absent","pale_cyanotic","less_3_sec","depressed","hypomotile","none","slight","none",4.5,"absent","distend_small",60,6.3,"serosanguious",NA,"lived","yes",2205,0,0,"yes"
"yes","adult",528178,37.7,66,12,"normal","normal","pale_pink","less_3_sec","mild_pain","hypomotile","slight","slight",NA,NA,"absent","distend_small",31.5,6.2,"cloudy",1.6,"lived","yes",2208,0,0,"yes"
"yes","adult",535392,38.8,50,14,"normal","normal","normal_pink","less_3_sec","mild_pain","hypermotile","none","none","none",NA,"decreased","distend_large",38,58,NA,NA,"lived","yes",3111,0,0,"no"
"no","adult",528931,38.4,54,24,"normal","normal","normal_pink","less_3_sec","alert","hypomotile","none","slight","none",NA,"decreased","other",49,7.2,"clear",8,"lived","no",3111,0,0,"yes"
"yes","adult",528503,39.2,120,20,"cold","reduced","bright_red","more_3_sec","depressed","hypomotile","moderate","none","more_1_liter",NA,NA,"distend_small",60,8.8,"serosanguious",NA,"died","yes",2205,0,0,"no"
"yes","young",5289419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,6.5,"cloudy",NA,"lived","yes",9000,0,0,"yes"
"yes","adult",535196,37.3,90,40,"cool",NA,"dark_cyanotic","more_3_sec","extreme_pain","absent","moderate","slight","less_1_liter",NA,"normal","distend_large",65,50,"serosanguious",2,"euthanized","yes",3205,0,0,"no"
"yes","young",534597,38.5,120,70,NA,NA,NA,NA,NA,"hypermotile",NA,"slight",NA,NA,"normal",NA,35,54,"clear",1,"lived","yes",4205,3111,2209,"no"
"yes","adult",534280,38.5,104,40,"cool","reduced",NA,"less_3_sec","severe_pain","hypomotile","severe",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lived","yes",2124,0,0,"no"
"no","adult",530028,39.5,92,28,"cool","reduced","dark_cyanotic","less_3_sec","extreme_pain","absent","none",NA,"more_1_liter",NA,"absent",NA,72,6.4,NA,3.6,"died","no",3300,0,0,"no"
"yes","adult",5262543,38.5,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,7.7,NA,NA,"lived","yes",2113,0,0,"no"
"yes","adult",530526,38.3,72,30,"cold","reduced","pale_pink","more_3_sec","mild_pain","hypomotile","moderate","slight","none",NA,"decreased","distend_large",43,7,"cloudy",3.9,"lived","yes",3113,0,0,"yes"
"no","adult",528729,37.5,48,30,"cold","normal","pale_pink","less_3_sec",NA,"normal","none","none","none",NA,"normal","normal",48,8.6,NA,NA,"lived","no",400,0,0,"no"
"yes","adult",528469,38.1,52,24,"normal","normal","bright_red","less_3_sec","severe_pain","hypomotile","none","slight","more_1_liter",7,"normal",NA,54,7.5,"cloudy",2.6,"died","yes",2206,0,0,"yes"
"no","adult",528179,38.2,42,26,"normal","normal","normal_pink","less_3_sec","mild_pain","hypermotile","slight",NA,NA,NA,"normal",NA,36,6.9,NA,NA,"lived","no",3111,0,0,"no"
"no","adult",533750,37.9,54,42,"warm","normal","bright_red","less_3_sec","mild_pain","hypermotile","none",NA,"none",NA,NA,"other",47,54,"serosanguious",1,"lived","no",0,0,0,"no"
"no","adult",528702,36.1,88,NA,"cool","reduced","pale_pink","less_3_sec","mild_pain","hypomotile","slight","slight","more_1_liter",NA,NA,"distend_small",45,7,"serosanguious",4.8,"euthanized","yes",2209,0,0,"yes"
"yes","adult",534183,38.1,70,22,NA,"normal",NA,"less_3_sec","extreme_pain","hypomotile",NA,NA,NA,NA,NA,"distend_large",36,65,NA,NA,"euthanized","yes",3205,0,0,"no"
"yes","adult",529160,38,90,30,"cold","reduced","pale_cyanotic","more_3_sec","extreme_pain","absent","severe",NA,NA,NA,"absent","distend_large",55,6.1,NA,NA,"died","yes",3205,0,0,"no"
"yes","adult",529045,38.2,52,16,"normal","normal","bright_pink","less_3_sec","alert","normal","none","none","none",NA,"normal",NA,43,8.1,NA,NA,"lived","no",0,0,0,"yes"
"yes","adult",530354,NA,36,32,"normal","normal","pale_cyanotic","less_3_sec","extreme_pain","hypomotile","moderate","slight","more_1_liter",4,NA,"distend_small",41,5.9,NA,NA,"died","yes",2205,0,0,"no"
"yes","adult",5281091,38.4,92,20,"normal",NA,NA,"more_3_sec",NA,"hypomotile","moderate",NA,NA,NA,"normal",NA,NA,NA,NA,NA,"lived","yes",2208,0,0,"yes"
"yes","young",5291409,38.2,124,88,"normal","reduced","bright_pink","less_3_sec","depressed","hypomotile","severe",NA,NA,NA,NA,NA,47,8,"clear",NA,"lived","yes",9400,0,0,"yes"
"no","adult",528904,NA,96,NA,"cool","reduced","pale_pink","more_3_sec","extreme_pain","absent","severe",NA,"none",NA,"absent","distend_large",60,NA,NA,NA,"died","yes",41110,0,0,"no"
"yes","adult",530366,37.6,68,32,"cool",NA,"pale_pink","less_3_sec","severe_pain","normal","severe","slight","less_1_liter",6.5,"normal","distend_large",47,7.2,"clear",NA,"lived","yes",3209,0,0,"no"
"yes","adult",530170,38.1,88,24,"cool","reduced","pale_cyanotic","less_3_sec","extreme_pain","absent","moderate","slight","none",NA,"decreased","distend_small",41,4.6,NA,NA,"died","yes",2209,0,0,"no"
"yes","adult",527709,38,108,60,"warm","reduced","pale_cyanotic","less_3_sec","severe_pain","hypomotile","moderate","slight",NA,NA,"decreased","distend_small",NA,NA,"serosanguious",NA,"lived","yes",2205,0,0,"no"
"no","adult",528169,38.2,48,NA,"warm",NA,"normal_pink","more_3_sec","mild_pain","hypomotile","none","slight","none",NA,NA,"other",34,6.6,NA,NA,"lived","no",3111,0,0,"no"
"yes","adult",535043,39.3,100,51,"cold","absent","dark_cyanotic","less_3_sec","depressed","absent","none","none","more_1_liter",2,NA,"distend_small",66,13,"serosanguious",2,"euthanized","yes",2113,0,0,"no"
"no","adult",527940,36.6,42,18,"cool","reduced","bright_pink","less_3_sec","alert","absent","none","none","none",NA,NA,"distend_large",52,7.1,NA,NA,"died","yes",5111,0,0,"no"
"yes","young",5291719,38.8,124,36,"cool","normal","bright_pink","less_3_sec","depressed","hypomotile","severe","none","none",NA,"absent","distend_small",50,7.6,"serosanguious",NA,"died","yes",2208,0,0,"yes"
"no","adult",530561,NA,112,24,"cool","reduced","pale_cyanotic","more_3_sec","extreme_pain","absent","slight",NA,NA,NA,"absent",NA,40,5.3,"serosanguious",2.6,"lived","no",400,0,0,"yes"
"yes","adult",533738,NA,80,NA,"cool","reduced","pale_pink","less_3_sec","severe_pain","absent","severe",NA,NA,NA,"absent","distend_large",43,70,NA,NA,"lived","yes",3111,0,0,"no"
"yes","young",5294539,38.8,184,84,"normal",NA,"normal_pink","less_3_sec","severe_pain","hypermotile","moderate",NA,NA,NA,"increased",NA,33,3.3,NA,NA,"died","yes",7111,0,0,"no"
"yes","adult",533871,37.5,72,NA,"warm","normal","normal_pink","less_3_sec","depressed","hypermotile","none","none","none",NA,"normal",NA,35,65,"cloudy",2,"euthanized","yes",7209,0,0,"no"
"yes","adult",529812,38.7,96,28,"cool","reduced","pale_cyanotic","less_3_sec",NA,"absent",NA,NA,"more_1_liter",7.5,NA,NA,64,9,NA,NA,"died","yes",2205,0,0,"yes"
"no","adult",534719,37.5,52,12,"normal","normal","normal_pink","less_3_sec","depressed","hypomotile","slight","slight","none",NA,"decreased","distend_large",36,61,"clear",1,"lived","no",0,0,0,"no"
"yes","adult",527734,40.8,72,42,"cool","reduced","normal_pink","less_3_sec","depressed","hypomotile","none","slight","none",NA,NA,NA,54,7.4,"serosanguious",NA,"died","yes",11400,0,0,"yes"
"no","adult",534933,38,40,25,NA,"normal","normal_pink","less_3_sec","severe_pain","hypomotile","slight","none","none",NA,"absent",NA,37,69,NA,NA,"lived","no",0,0,0,"no"
"no","adult",529296,38.4,48,16,"warm","normal","normal_pink","less_3_sec","alert",NA,"slight","slight","none",NA,NA,"other",39,6.5,NA,NA,"lived","no",3111,0,0,"yes"
"no","young",5305629,38.6,88,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,5.9,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",528743,37.1,75,36,NA,NA,"pale_pink","more_3_sec","severe_pain","absent","slight","slight","more_1_liter",5,"absent","distend_small",48,7.4,"serosanguious",3.2,"died","yes",12208,0,0,"yes"
"yes","adult",530478,38.3,44,21,"cool","normal","bright_pink","less_3_sec","mild_pain","hypomotile","moderate","slight","none",NA,"normal","distend_large",44,6.5,"cloudy",4.4,"lived","yes",2209,0,0,"yes"
"no","adult",528590,NA,56,68,"cool","normal","normal_pink","less_3_sec","mild_pain","hypomotile","none","slight","none",NA,"normal",NA,40,6,NA,NA,"euthanized","yes",5206,0,0,"no"
"no","adult",529865,38.6,68,20,"warm","normal","pale_pink","less_3_sec","mild_pain","hypomotile","slight","none","none",NA,"normal","distend_large",38,6.5,"clear",NA,"lived","no",5124,0,0,"yes"
"no","adult",527829,38.3,54,18,"cool","normal","bright_pink","less_3_sec","depressed","hypomotile","slight",NA,"more_1_liter",5.4,NA,"distend_small",44,7.2,"serosanguious",NA,"lived","no",2124,0,0,"yes"
"yes","adult",534403,38.2,42,20,NA,NA,"normal_pink","less_3_sec",NA,"hypomotile",NA,NA,NA,NA,"decreased",NA,47,60,NA,NA,"lived","no",0,0,0,"no"
"yes","adult",527883,39.3,64,90,"warm","reduced","normal_pink","less_3_sec",NA,"hypomotile","none","none","less_1_liter",6.5,"normal","distend_large",39,6.7,NA,NA,"lived","yes",31110,0,0,"no"
"yes","adult",528570,37.5,60,50,"cool","reduced","normal_pink","less_3_sec","mild_pain","hypomotile","slight","slight","less_1_liter",3.5,"decreased","distend_small",35,6.5,NA,NA,"died","yes",2209,0,0,"no"
"yes","adult",534626,37.7,80,NA,"cool","reduced","dark_cyanotic","less_3_sec","extreme_pain","absent","none","slight","more_1_liter",NA,"decreased","normal",50,55,"serosanguious",2,"lived","yes",4206,0,0,"no"
"yes","adult",529796,NA,100,30,"cool","reduced","pale_cyanotic","more_3_sec","extreme_pain","absent","severe","significant","more_1_liter",NA,"absent","distend_small",52,6.6,NA,NA,"lived","yes",2124,0,0,"no"
"yes","adult",528638,37.7,120,28,"cool","reduced","pale_pink","less_3_sec","extreme_pain","hypomotile","moderate","none","none",NA,NA,NA,65,7,"serosanguious",NA,"died","yes",4205,0,0,"yes"
"yes","adult",534624,NA,76,NA,NA,"reduced",NA,NA,NA,"absent","severe",NA,NA,NA,NA,"distend_large",NA,NA,NA,NA,"euthanized","yes",11124,0,0,"no"
"yes","young",5297159,38.8,150,50,"normal","reduced","dark_cyanotic","more_3_sec","extreme_pain","hypomotile","slight","none","none",NA,NA,NA,50,6.2,NA,NA,"died","yes",4207,0,0,"no"
"yes","adult",534787,38,36,16,"cool","normal","normal_pink","less_3_sec","severe_pain","normal","slight","significant","more_1_liter",2,"decreased",NA,37,75,"cloudy",1,"euthanized","no",3111,0,0,"no"
"no","adult",528620,36.9,50,40,"warm","reduced","pale_pink","less_3_sec","alert","hypomotile","slight","significant","none",7,NA,NA,37.5,6.5,NA,NA,"lived","no",3111,0,0,"no"
"no","adult",528019,37.8,40,16,"normal","normal","normal_pink","less_3_sec","alert","hypermotile","none",NA,NA,NA,"normal","normal",37,6.8,NA,NA,"lived","no",0,0,0,"no"
"no","adult",529172,38.2,56,40,"cold","reduced","normal_pink","less_3_sec","depressed","absent","moderate","slight","less_1_liter",7.5,NA,NA,47,7.2,"clear",2.5,"lived","no",8300,0,0,"yes"
"yes","adult",534644,38.6,48,12,NA,NA,"normal_pink",NA,"alert","hypermotile",NA,NA,NA,NA,NA,NA,36,67,NA,NA,"lived","no",0,0,0,"no"
