Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-9,c-14,c-4,1211,OO,ORD,MEM,491,N
c-10,c-13,c-5,1136,B6,PBI,JFK,1028,N
c-9,c-25,c-7,717,US,LAX,CLT,2125,N
c-6,c-22,c-4,1231,MQ,MDT,ORD,594,Y
c-12,c-26,c-2,1540,MQ,PIA,ORD,130,N
c-12,c-17,c-6,910,UA,SFO,PHL,2521,N
c-3,c-8,c-2,937,OO,PIH,SLC,150,N
c-9,c-14,c-4,1707,AA,ORD,MSP,334,N
c-4,c-11,c-2,658,AS,ANC,FAI,261,N
c-12,c-12,c-1,911,UA,TPA,IAD,810,N
c-4,c-23,c-7,1710,OH,ORF,BOS,468,N
c-6,c-26,c-1,1213,DL,BOS,ATL,946,Y
c-9,c-10,c-7,1530,EV,LIT,ATL,453,Y
c-12,c-23,c-5,933,HP,RNO,PHX,601,N
c-5,c-27,c-6,1529,AS,SNA,SEA,978,N
c-12,c-8,c-5,1935,WN,BWI,MCI,967,N
c-12,c-12,c-1,1718,OO,SLC,BIL,387,N
c-9,c-11,c-7,731,MQ,ORD,TYS,475,N
c-8,c-2,c-2,1801,AA,SAT,ORD,1041,N
c-7,c-7,c-4,2013,OO,MFR,PDX,222,N
c-3,c-31,c-4,915,OH,CVG,HTS,123,N
c-4,c-17,c-1,1935,WN,STL,OKC,462,N
c-10,c-6,c-5,1624,XE,IAH,PNS,489,N
c-7,c-4,c-2,1925,CO,EWR,SAN,2425,N
c-12,c-19,c-1,1105,AA,PSP,ORD,1652,N
c-1,c-23,c-1,1744,AA,JFK,SJU,1597,N
c-7,c-10,c-7,1201,UA,ORD,SFO,1846,N
c-10,c-13,c-5,1604,XE,IAH,OKC,395,N
c-8,c-17,c-4,1143,AA,DFW,HNL,3784,N
c-3,c-3,c-4,1002,MQ,FWA,ORD,157,N
c-8,c-4,c-5,1405,WN,HOU,JAN,359,Y
c-3,c-12,c-7,1701,AA,JFK,LAX,2475,N
c-3,c-19,c-7,1328,AA,BOS,DFW,1562,N
c-7,c-13,c-3,1733,OH,CVG,SBN,203,N
c-2,c-18,c-5,750,WN,MDW,BWI,611,N
c-7,c-9,c-6,1919,NW,DTW,MSN,312,N
c-5,c-13,c-6,740,EV,ATL,GSO,306,N
c-2,c-3,c-4,741,UA,PHL,ORD,678,N
c-12,c-22,c-5,1101,B6,JFK,RSW,1074,Y
c-11,c-14,c-1,1115,UA,SFO,AUS,1504,N
c-2,c-25,c-5,1425,NW,MSP,LGA,1020,Y
c-9,c-11,c-7,856,UA,BDL,ORD,783,N
c-7,c-28,c-4,935,MQ,LAX,FAT,209,N
c-6,c-21,c-3,546,MQ,BGR,LGA,378,N
c-9,c-12,c-2,712,DL,CHS,ATL,259,N
c-8,c-11,c-5,1218,WN,RDU,PHL,336,N
c-2,c-1,c-3,1507,NW,DTW,MSP,528,N
c-12,c-31,c-7,939,OO,BUR,SLC,574,N
c-5,c-3,c-3,824,OO,AUS,SLC,1085,N
c-3,c-18,c-6,900,AA,EWR,DFW,1372,N
c-4,c-29,c-6,605,YV,FAT,PHX,493,N
c-3,c-22,c-3,1535,XE,EWR,PWM,284,N
c-9,c-25,c-7,1529,XE,EWR,BUF,282,N
c-10,c-21,c-6,611,F9,SAN,DEN,853,N
c-6,c-15,c-4,2040,UA,OMA,DEN,472,Y
c-9,c-13,c-2,1718,NW,LAX,MSP,1536,Y
c-3,c-6,c-1,1630,UA,DEN,ORD,888,Y
c-6,c-7,c-2,1650,OH,MIA,CVG,948,N
c-4,c-26,c-2,1633,DL,IAD,ATL,533,Y
c-10,c-28,c-6,1434,XE,IAH,GRK,166,N
c-2,c-20,c-7,2020,UA,DEN,PHX,602,N
c-3,c-25,c-6,1150,CO,SFO,IAH,1635,N
c-12,c-12,c-1,1615,MQ,DCA,LGA,214,Y
c-2,c-24,c-4,1935,OH,BNA,CVG,230,Y
c-1,c-29,c-6,2000,OH,CHS,CVG,497,N
c-6,c-3,c-6,630,AS,PHX,PDX,1009,N
c-8,c-4,c-4,1200,UA,ORD,LGA,733,N
c-2,c-1,c-3,1655,NW,ATL,MEM,332,N
c-12,c-4,c-7,1825,US,MIA,CLT,650,N
c-4,c-12,c-2,1012,AA,ORD,DCA,612,N
c-12,c-6,c-3,1306,AS,SEA,BUR,937,N
c-4,c-14,c-5,554,NW,DFW,DTW,987,N
c-1,c-6,c-4,1742,WN,LAS,CMH,1772,N
c-4,c-20,c-3,1530,US,DCA,BDL,313,N
c-9,c-25,c-1,659,WN,SDF,BWI,495,N
c-1,c-9,c-7,1809,CO,RSW,IAH,861,N
c-6,c-2,c-4,1220,MQ,RDU,LGA,431,N
c-2,c-16,c-3,1345,AA,DFW,ORF,1213,Y
c-1,c-21,c-5,854,HA,ITO,HNL,216,N
c-12,c-11,c-1,640,MQ,SBA,DFW,1315,N
c-3,c-18,c-5,1132,FL,ATL,BWI,576,N
c-5,c-15,c-1,612,UA,ABQ,DEN,349,N
c-6,c-16,c-5,1351,XE,IAH,BNA,657,Y
c-4,c-6,c-3,1004,OO,DEN,TUL,541,N
c-10,c-21,c-5,1650,DL,CMH,ATL,446,N
c-4,c-8,c-5,1138,NW,VPS,MEM,369,N
c-1,c-26,c-4,815,EV,SLC,DFW,988,N
c-12,c-28,c-3,2101,DL,ATL,COS,1185,Y
c-9,c-13,c-2,1410,WN,MDW,OAK,1844,N
c-12,c-11,c-1,723,MQ,SHV,DFW,190,N
c-11,c-9,c-3,853,MQ,ORD,OMA,416,N
c-7,c-29,c-6,1540,CO,MSY,IAH,305,N
c-2,c-5,c-6,1319,NW,MSP,PHL,980,N
c-5,c-12,c-5,1401,AS,SEA,ANC,1449,Y
c-8,c-15,c-2,705,EV,ATL,IND,432,N
c-10,c-28,c-5,1554,UA,LAX,LAS,236,N
c-10,c-17,c-2,2300,YV,IAD,DTW,383,Y
c-5,c-8,c-7,927,DL,TPA,ATL,406,N
c-7,c-10,c-1,940,YV,CLT,BWI,361,N
c-12,c-1,c-4,1920,NW,MSP,FSD,197,Y
c-3,c-28,c-1,1208,MQ,LAX,SJC,308,Y
c-11,c-4,c-6,1713,UA,DEN,PHX,602,N
c-9,c-29,c-4,700,CO,SFO,EWR,2565,N
c-4,c-2,c-7,2238,OO,LAX,SAN,109,N
c-6,c-13,c-2,1410,US,SJU,CLT,1474,N
c-2,c-21,c-1,1335,OH,CVG,FSD,701,N
c-5,c-6,c-6,1554,AQ,HNL,LIH,102,N
c-7,c-12,c-2,625,MQ,SAN,SJC,417,N
c-1,c-8,c-6,1913,OH,CVG,MDT,429,N
c-1,c-29,c-7,825,DL,BDL,TPA,1111,N
c-2,c-23,c-3,1755,HP,PHL,PHX,2075,N
c-7,c-1,c-5,1116,UA,DEN,MCI,533,Y
c-6,c-26,c-7,1126,OO,DEN,MTJ,197,N
c-2,c-16,c-3,2207,FL,ATL,PBI,545,Y
c-1,c-11,c-2,1320,AA,DFW,SJU,2165,N
c-8,c-22,c-2,841,OO,DEN,ICT,419,N
c-8,c-1,c-2,1256,OO,BIS,DEN,517,N
c-4,c-14,c-5,1354,US,BOS,LGA,185,N
c-9,c-22,c-4,1544,NW,MSP,DCA,931,Y
c-7,c-8,c-5,736,MQ,DFW,SJT,228,Y
c-8,c-8,c-2,1838,B6,MCO,JFK,944,N
c-11,c-24,c-5,1051,AA,ORD,MCO,1005,N
c-11,c-20,c-7,1829,OO,DEN,DSM,589,N
c-9,c-19,c-1,1117,DL,AUS,ATL,813,N
c-10,c-13,c-5,720,NW,IAH,DTW,1076,N
c-7,c-23,c-6,809,DL,BOS,ATL,946,N
c-1,c-27,c-4,637,US,EWR,PIT,319,Y
c-1,c-27,c-4,636,XE,AVL,IAH,834,N
c-6,c-13,c-1,1610,EV,CVG,SHV,686,N
c-10,c-23,c-7,1728,OH,JFK,STL,892,N
c-8,c-13,c-7,1433,NW,MDW,MSP,349,N
c-12,c-26,c-1,1748,CO,DCA,IAH,1208,N
c-4,c-6,c-4,51,US,LAS,FLL,2174,Y
c-2,c-15,c-2,1832,AA,EWR,ORD,719,Y
c-10,c-1,c-6,1308,XE,ALB,EWR,143,N
c-8,c-20,c-6,1609,AA,LAS,DFW,1055,N
c-11,c-7,c-2,857,UA,ORD,DCA,612,N
c-11,c-17,c-5,1113,YV,DEN,DRO,251,N
c-9,c-2,c-5,1646,OO,SBA,SFO,262,N
c-11,c-15,c-3,2020,AA,MIA,DTW,1145,N
c-12,c-20,c-3,1547,CO,EWR,RSW,1068,N
c-1,c-7,c-6,1253,HA,OGG,HNL,100,N
c-12,c-23,c-5,1719,MQ,RDU,LGA,431,N
c-12,c-12,c-2,1844,UA,BDL,ORD,783,Y
c-5,c-27,c-5,1322,DH,IAD,GSO,239,Y
c-12,c-1,c-4,1207,AA,DFW,SFO,1464,Y
c-11,c-28,c-1,2048,XE,IAH,DCA,1208,N
c-8,c-22,c-2,834,AA,DFW,SJC,1438,N
c-7,c-21,c-5,1811,OO,LAX,SLC,590,N
c-11,c-24,c-5,1705,XE,SHV,IAH,192,N
c-10,c-31,c-2,1557,MQ,JAN,DFW,408,N
c-1,c-1,c-6,833,DL,DFW,ATL,732,N
c-9,c-11,c-1,1931,WN,LAS,PHX,256,N
c-3,c-23,c-3,2125,NW,MSP,BZN,874,N
c-5,c-31,c-2,2039,DL,CVG,SEA,1964,N
c-9,c-26,c-1,840,OO,LAX,OXR,49,N
c-1,c-26,c-3,1858,MQ,LAX,SAN,109,N
c-6,c-25,c-6,1155,MQ,DFW,LAW,140,N
c-6,c-30,c-5,2156,WN,PHX,ONT,325,Y
c-5,c-3,c-3,1622,UA,ORD,CMH,296,N
c-2,c-19,c-7,1130,WN,MCO,BUF,1011,Y
c-8,c-6,c-7,1949,MQ,BTR,DFW,383,Y
c-11,c-29,c-3,924,DL,CVG,FLL,932,N
c-2,c-16,c-3,1215,OO,MLU,IAH,262,N
c-4,c-2,c-7,1649,XE,ICT,IAH,542,Y
c-6,c-24,c-6,842,UA,LAX,PHL,2401,N
c-11,c-23,c-4,909,WN,OKC,HOU,419,N
c-11,c-13,c-1,1720,OH,BOS,CVG,752,Y
c-10,c-4,c-2,1752,AA,JFK,LAX,2475,Y
c-11,c-19,c-7,700,DL,HSV,ATL,151,N
c-12,c-19,c-1,1120,MQ,SAN,LAX,109,N
c-7,c-9,c-7,111,UA,PHX,DEN,602,Y
c-11,c-12,c-6,1300,WN,MDW,STL,251,N
c-9,c-29,c-5,1218,US,MCO,PHL,861,N
c-11,c-3,c-5,1900,EV,ATL,BTV,960,N
c-10,c-17,c-2,1309,UA,BIL,DEN,455,N
c-7,c-30,c-7,1038,F9,DEN,OMA,472,N
c-5,c-29,c-1,1716,DL,ATL,BOI,1838,N
c-7,c-1,c-5,952,WN,SAN,LAS,258,Y
c-6,c-26,c-7,11,DL,LAS,JFK,2248,N
c-1,c-22,c-7,1844,DL,ATL,LAS,1747,N
c-8,c-29,c-1,1600,WN,ONT,SMF,389,N
c-5,c-27,c-5,1722,NW,DTW,EWR,487,Y
c-2,c-6,c-1,1851,NW,MSP,FSD,197,N
c-1,c-1,c-6,2015,WN,ABQ,PHX,328,N
c-10,c-4,c-2,650,WN,OKC,PHX,833,N
c-6,c-6,c-1,1500,AA,SAN,DFW,1171,N
c-10,c-24,c-1,648,CO,EWR,CMH,462,N
c-8,c-18,c-4,1710,MQ,ORD,GSP,577,Y
c-2,c-17,c-4,1524,DL,SEA,SLC,689,Y
c-7,c-25,c-1,1523,AA,STL,SEA,1710,Y
c-9,c-1,c-4,2045,F9,DEN,MCI,533,N
c-8,c-1,c-2,1058,OO,SJC,LAX,308,N
c-5,c-1,c-1,1825,EV,ISP,ATL,795,Y
c-2,c-17,c-4,1201,EV,MEM,ATL,332,N
c-5,c-12,c-5,1438,HA,OGG,PDX,2562,N
c-9,c-25,c-7,1746,CO,PIT,IAH,1117,N
c-2,c-5,c-6,1110,WN,BUR,OAK,325,N
c-4,c-2,c-7,850,WN,SMF,LAS,397,N
c-6,c-1,c-3,640,WN,PHL,BDL,196,N
c-2,c-26,c-7,2140,YV,IAD,MYR,372,N
c-7,c-8,c-5,1110,WN,BNA,TPA,612,N
c-7,c-15,c-5,950,XE,EWR,MHT,209,Y
c-9,c-3,c-6,1645,NW,MKE,MEM,556,N
c-10,c-20,c-5,845,OO,SFO,SBA,262,N
c-7,c-19,c-3,1451,AA,STL,DFW,551,N
c-12,c-21,c-4,2356,CO,PHX,EWR,2133,N
c-10,c-28,c-6,2145,YV,ORD,CLT,599,Y
c-1,c-8,c-7,1012,OO,SLC,GTF,463,N
c-2,c-12,c-6,917,WN,OAK,ONT,361,Y
c-2,c-13,c-1,2345,UA,LAS,ORD,1515,N
c-12,c-7,c-3,930,WN,LAX,OAK,337,N
c-10,c-21,c-6,636,CO,TUL,IAH,429,N
c-6,c-5,c-7,1150,WN,LAS,PHL,2176,N
c-7,c-8,c-6,952,MQ,DFW,TUL,237,N
c-11,c-30,c-4,2242,NW,DTW,GRB,288,N
c-6,c-15,c-4,1420,WN,FLL,MCO,178,N
c-8,c-6,c-7,511,US,ORD,PHX,1440,N
c-3,c-17,c-4,1555,HP,LAX,PHX,370,N
c-2,c-25,c-5,648,US,SFO,CLT,2296,N
c-8,c-9,c-2,1909,DL,ATL,TYS,152,Y
c-11,c-6,c-1,1007,WN,HOU,HRL,276,Y
c-3,c-3,c-4,1630,XE,TUS,IAH,936,N
c-6,c-3,c-6,1156,FL,MCO,MDW,989,N
c-5,c-27,c-5,1201,US,SEA,PHL,2378,Y
c-2,c-25,c-5,815,EV,ATL,PIA,564,N
c-4,c-23,c-6,916,HP,PHX,IAD,1956,Y
c-10,c-29,c-7,1008,OO,SLC,STL,1156,N
c-8,c-29,c-2,536,FL,MDW,ATL,590,N
c-6,c-6,c-2,1854,UA,ORD,PBI,1144,Y
c-2,c-4,c-5,1916,XE,IAH,CAE,878,N
c-10,c-9,c-1,1432,WN,MDW,DEN,895,N
c-3,c-29,c-3,1351,MQ,LGA,RDU,431,N
c-4,c-26,c-2,2200,WN,MDW,CMH,284,Y
c-9,c-14,c-3,2035,WN,SNA,SMF,404,N
c-2,c-6,c-1,1100,OH,DSM,CVG,505,N
c-3,c-13,c-1,1020,OH,CMH,LGA,478,N
c-3,c-17,c-5,1630,XE,LBB,IAH,458,N
c-3,c-13,c-7,1526,MQ,ORD,RIC,642,N
c-9,c-13,c-3,557,YV,MSN,ORD,109,N
c-7,c-24,c-1,1942,MQ,BWI,BOS,370,N
c-8,c-14,c-1,1320,AA,MIA,SJU,1045,N
c-3,c-22,c-3,619,AS,SAN,SEA,1050,N
c-4,c-4,c-2,1854,EV,CLE,ATL,554,Y
c-7,c-24,c-1,926,WN,LAX,SAT,1210,N
c-4,c-13,c-4,2332,US,LAS,CLT,1916,N
c-6,c-20,c-1,2022,NW,DTW,GRR,120,Y
c-9,c-16,c-5,1655,DL,SLC,RDU,1823,N
c-4,c-17,c-7,621,AA,AUS,DFW,190,Y
c-10,c-21,c-6,1745,MQ,DFW,SPS,113,N
c-2,c-6,c-7,852,NW,MSY,DTW,926,N
c-5,c-14,c-7,656,B6,BOS,MCO,1121,N
c-7,c-7,c-4,2134,EV,SLC,RNO,422,N
c-12,c-9,c-6,1208,CO,SAT,EWR,1569,N
c-5,c-26,c-4,1521,DH,IAD,BNA,542,N
c-4,c-15,c-6,828,DL,BWI,ATL,576,N
c-2,c-1,c-3,1235,WN,PHL,RDU,336,N
c-12,c-2,c-5,805,WN,MDW,CLE,307,N
c-10,c-2,c-7,1113,B6,SYR,JFK,209,N
c-5,c-8,c-1,1155,WN,SAT,HOU,192,N
c-5,c-7,c-7,913,MQ,CVG,ORD,264,N
c-1,c-16,c-7,1249,DL,SFO,JFK,2586,N
c-6,c-17,c-6,1942,FL,BWI,CLT,361,N
c-8,c-15,c-2,1401,OO,SLC,SGU,269,Y
c-1,c-7,c-6,2007,WN,MHT,MCO,1142,N
c-2,c-27,c-1,1515,DL,PBI,ATL,545,Y
c-7,c-27,c-4,550,EV,CHA,ATL,106,N
c-1,c-28,c-5,1723,OO,DEN,COS,72,N
c-10,c-12,c-4,1930,OH,CVG,MHT,741,N
c-9,c-8,c-4,1836,NW,BUF,MSP,734,N
c-6,c-17,c-6,1836,MQ,ORD,JAX,865,N
c-4,c-10,c-1,1937,MQ,ICT,DFW,328,N
c-9,c-6,c-3,1241,XE,MKE,EWR,725,N
c-7,c-9,c-7,830,US,PIT,SFO,2254,N
c-11,c-18,c-6,1123,OO,BIL,SLC,387,N
c-7,c-30,c-7,1510,CO,MCO,IAH,853,N
c-4,c-16,c-7,820,OO,EKO,SLC,200,N
c-2,c-22,c-2,1213,AS,ANC,JNU,571,N
c-12,c-20,c-2,1145,F9,DEN,DTW,1123,Y
c-10,c-12,c-3,1730,WN,JAX,BWI,663,Y
c-5,c-3,c-3,829,DL,BOS,LGA,185,N
c-10,c-12,c-4,656,WN,OAK,LAS,407,Y
c-5,c-31,c-3,1736,UA,ORD,PHL,678,Y
c-4,c-13,c-3,1426,AA,ORD,MCI,403,N
c-2,c-2,c-4,1131,OO,DEN,PSC,853,N
c-6,c-3,c-6,14,CO,OAK,IAH,1628,N
c-7,c-25,c-1,1744,DL,MSP,ATL,906,N
c-8,c-1,c-1,1458,DH,IAD,CHS,441,N
c-6,c-30,c-5,855,DL,DCA,ATL,547,N
c-9,c-12,c-1,1459,AA,ORD,LAX,1745,N
c-5,c-26,c-4,1219,CO,TPA,CLE,927,N
c-6,c-3,c-6,559,DL,DAY,ATL,432,N
c-7,c-28,c-4,1452,F9,DEN,IND,977,N
c-4,c-2,c-7,1031,AA,DFW,TUS,813,N
c-10,c-19,c-3,1604,OO,DEN,GJT,212,N
c-7,c-23,c-6,1201,OO,ORD,CLE,316,N
c-6,c-14,c-2,2134,FL,ATL,LAS,1747,Y
c-5,c-30,c-2,1135,MQ,RDU,EWR,416,N
c-10,c-30,c-7,1151,DL,BDL,PBI,1133,N
c-10,c-13,c-5,1240,MQ,CRP,DFW,354,Y
c-12,c-14,c-4,1608,AA,MCO,DFW,984,N
c-3,c-10,c-5,1835,US,DCA,CLT,331,N
c-8,c-11,c-5,1830,CO,ORD,EWR,719,Y
c-12,c-14,c-4,1728,CO,DCA,IAH,1208,Y
c-6,c-9,c-4,1846,OO,FAR,DEN,627,N
c-9,c-1,c-5,2140,YV,FAT,LAS,258,Y
c-12,c-31,c-7,955,B6,FLL,EWR,1065,N
c-4,c-18,c-2,1430,UA,DEN,PDX,992,N
c-7,c-24,c-7,2121,XE,IAH,CLL,74,N
c-2,c-6,c-7,951,OO,SLC,JAC,205,N
c-3,c-19,c-7,1653,YV,CLT,ATL,227,Y
c-7,c-28,c-4,1754,US,CLT,ILM,185,N
c-10,c-27,c-5,1757,EV,VPS,ATL,264,Y
c-6,c-25,c-7,826,US,FLL,CLT,631,N
c-10,c-19,c-4,1129,WN,SMF,SNA,404,N
c-11,c-30,c-3,1400,WN,BWI,MHT,377,N
c-9,c-23,c-6,850,US,PHX,DEN,602,N
c-3,c-30,c-4,1430,WN,MDW,ALB,717,N
c-5,c-7,c-6,708,AA,ORD,MCO,1005,N
c-10,c-9,c-7,1245,AA,DCA,MIA,920,N
c-3,c-28,c-1,635,WN,SMF,LAS,397,N
c-3,c-16,c-3,918,CO,EWR,FLL,1065,N
c-11,c-20,c-1,2014,WN,SAN,SMF,480,Y
c-10,c-13,c-5,921,XE,CRP,IAH,201,Y
c-12,c-8,c-4,1420,XE,IAH,CRP,201,N
c-5,c-2,c-2,1849,XE,CLE,BDL,475,N
c-3,c-29,c-3,1722,EV,JFK,RDU,426,Y
c-5,c-9,c-1,1204,US,ALB,PHL,212,N
c-5,c-3,c-3,1731,XE,IAH,IND,845,N
c-2,c-22,c-3,1650,WN,MCO,FLL,178,N
c-1,c-13,c-4,1409,DL,ATL,CMH,446,N
c-2,c-17,c-4,1358,WN,LAS,SAN,258,Y
c-11,c-7,c-1,847,AA,DFW,BOS,1562,N
c-2,c-5,c-7,735,OH,BOS,RDU,612,N
c-8,c-18,c-5,607,FL,BUF,ATL,712,N
c-6,c-24,c-6,2035,US,PHL,ALB,212,Y
c-6,c-18,c-7,1240,US,FLL,CLT,631,N
c-5,c-25,c-4,1244,AA,DFW,MCO,984,N
c-10,c-12,c-4,756,US,PHX,PIT,1813,N
c-7,c-19,c-2,1651,DL,JFK,LAX,2475,Y
c-8,c-20,c-6,1512,AA,ORD,MIA,1197,N
c-2,c-6,c-7,2234,NW,GTF,FCA,146,N
c-12,c-20,c-2,926,NW,ROC,DTW,296,N
c-12,c-20,c-3,639,WN,LAS,SMF,397,N
c-1,c-30,c-1,1401,XE,LFT,IAH,201,N
c-8,c-19,c-5,2120,UA,LIH,SFO,2447,N
c-10,c-22,c-6,842,UA,OKC,DEN,495,N
c-10,c-26,c-4,1157,AA,DFW,SMF,1431,N
c-8,c-8,c-1,1753,HA,HNL,OGG,100,N
c-6,c-5,c-1,1110,WN,PHX,ABQ,328,N
c-5,c-26,c-4,1053,US,LGA,BOS,185,N
c-10,c-28,c-6,1203,NW,SJC,MSP,1576,N
c-10,c-8,c-6,1325,EV,AVL,ATL,164,N
c-9,c-19,c-2,1411,AA,LAX,IAD,2288,N
c-3,c-22,c-2,1630,OH,CVG,ATW,411,N
c-6,c-16,c-4,1730,WN,MDW,MCI,405,N
c-2,c-24,c-4,1003,AA,LGA,DFW,1389,Y
c-10,c-30,c-7,1040,XE,DCA,CLE,310,N
c-8,c-2,c-2,944,UA,SFO,LAX,337,N
c-5,c-31,c-2,1700,UA,PHL,DEN,1557,N
c-3,c-4,c-5,1550,OO,SEA,GEG,224,N
c-3,c-3,c-4,1235,MQ,ORD,GRR,137,Y
c-12,c-6,c-3,1949,OH,CVG,DTW,229,N
c-8,c-7,c-7,742,OH,CVG,BHM,396,N
c-4,c-10,c-1,2220,XE,IAH,CRP,201,Y
c-5,c-19,c-4,535,OH,SGF,CVG,491,N
c-8,c-29,c-2,1102,MQ,DFW,ICT,328,Y
c-8,c-14,c-1,1445,DL,LAS,ATL,1747,N
c-8,c-23,c-2,2114,WN,LAS,SAN,258,Y
c-5,c-19,c-5,849,CO,DEN,IAH,861,N
c-2,c-15,c-2,1219,MQ,ORD,MEM,491,N
c-8,c-16,c-3,822,FL,JAX,ATL,270,N
c-8,c-22,c-1,2334,DL,SEA,JFK,2421,Y
c-7,c-8,c-6,1724,NW,ATL,MSP,906,N
c-10,c-25,c-3,1757,XE,ALB,EWR,143,Y
c-2,c-10,c-5,2115,WN,LAX,PHX,370,N
c-9,c-23,c-6,1956,MQ,ORD,GRB,174,Y
c-7,c-5,c-2,944,DH,IAD,RSW,890,Y
c-5,c-15,c-7,1545,CO,IAH,DTW,1076,N
c-3,c-28,c-1,2346,DL,ATL,TLH,223,Y
c-1,c-28,c-5,655,FL,TPA,ATL,406,N
c-7,c-29,c-5,1355,XE,PWM,CLE,609,N
c-9,c-16,c-5,1839,FL,ATL,LAS,1747,Y
c-3,c-14,c-2,842,NW,FNT,DTW,56,N
c-10,c-7,c-5,1525,WN,SDF,LAS,1624,Y
c-6,c-18,c-6,1510,OO,SLC,EUG,619,Y
c-8,c-25,c-5,723,XE,IAH,MEM,469,N
c-6,c-22,c-3,1336,NW,MEM,MSP,700,N
c-7,c-13,c-3,1640,OO,SLC,RNO,422,N
c-5,c-19,c-4,1047,DL,DFW,CVG,812,N
c-2,c-22,c-2,1626,UA,DEN,SFO,967,Y
c-8,c-10,c-3,1620,EV,PNS,TPA,330,N
c-7,c-30,c-7,1538,WN,MSY,HOU,303,Y
c-7,c-12,c-3,1640,CO,DFW,IAH,224,N
c-6,c-6,c-1,1253,XE,EWR,RDU,416,N
c-5,c-15,c-7,752,FL,ATL,CAK,528,N
c-4,c-10,c-1,1920,WN,SMF,SNA,404,Y
c-5,c-2,c-1,626,NW,COS,MSP,725,N
c-11,c-11,c-5,840,WN,STL,MCI,237,N
c-1,c-16,c-1,1250,WN,PHX,OAK,646,N
c-8,c-29,c-1,1914,AA,ORD,BOS,867,Y
c-8,c-5,c-6,1035,OH,PVD,CVG,722,N
c-4,c-11,c-2,2029,US,BOS,PHL,280,N
c-8,c-25,c-4,940,WN,PHX,OKC,833,N
c-5,c-14,c-7,1742,NW,MSY,MSP,1040,N
c-6,c-3,c-6,809,FL,ATL,MDW,590,N
c-5,c-17,c-2,1557,NW,PWM,DTW,668,N
c-11,c-10,c-5,1039,OO,SLC,MSY,1428,N
c-10,c-11,c-2,919,WN,LAX,MDW,1750,N
c-6,c-17,c-5,1700,WN,HOU,BWI,1246,Y
c-9,c-5,c-2,514,MQ,BGR,BOS,201,N
c-3,c-9,c-4,830,WN,STL,TUL,351,N
c-10,c-23,c-7,1150,OO,DEN,COS,72,N
c-5,c-15,c-1,1317,MQ,PNS,DFW,604,Y
c-2,c-8,c-2,553,MQ,RIC,ORD,642,N
c-11,c-20,c-7,2026,XE,CLE,CMH,112,N
c-3,c-8,c-2,1428,DH,SAV,IAD,515,Y
c-7,c-16,c-6,927,MQ,RDU,BOS,612,Y
c-7,c-20,c-4,1832,MQ,CLT,ORD,599,Y
c-5,c-27,c-5,720,WN,SEA,MDW,1733,N
c-8,c-26,c-5,1215,MQ,MEM,ORD,491,N
c-9,c-1,c-5,1322,EV,ATL,CRP,876,Y
c-2,c-7,c-2,2230,DL,ATL,SAT,874,N
c-8,c-25,c-5,1105,YV,CLT,SRQ,547,N
c-11,c-16,c-4,2036,UA,ORD,LGA,733,Y
c-10,c-1,c-7,2015,OH,CVG,PWM,810,Y
c-10,c-14,c-6,916,WN,RNO,OAK,180,N
c-7,c-18,c-2,928,EV,DTW,ATL,594,N
c-2,c-27,c-1,705,YV,CAE,PHL,522,N
c-10,c-28,c-6,1920,EV,BWI,ATL,576,N
c-10,c-22,c-6,1320,WN,SNA,LAS,226,N
c-6,c-21,c-2,1654,DL,SLC,IAH,1195,N
c-4,c-4,c-2,1850,WN,ELP,HOU,677,N
c-10,c-26,c-4,1420,AA,MSY,MIA,674,N
c-7,c-5,c-2,905,EV,GSO,TPA,580,N
c-10,c-5,c-3,840,DH,IAD,TYS,419,N
c-2,c-21,c-2,800,AA,SJC,DFW,1438,N
c-11,c-27,c-7,1754,XE,CVG,IAH,871,N
c-9,c-11,c-1,1355,US,SNA,LAS,226,N
c-4,c-8,c-6,1459,AA,SMF,DFW,1431,Y
c-7,c-13,c-3,1548,OO,SLC,FCA,532,N
c-3,c-3,c-4,1817,OO,LAX,MRY,267,N
c-8,c-29,c-2,2115,CO,SNA,EWR,2433,N
c-6,c-30,c-4,1217,DL,PDX,CVG,1975,N
c-8,c-15,c-2,758,EV,AGS,ATL,143,N
c-8,c-14,c-1,710,OH,XNA,CVG,561,N
c-7,c-24,c-1,2024,UA,SFO,PHX,651,N
c-1,c-22,c-6,2347,NW,HNL,PDX,2603,N
c-6,c-1,c-4,1117,DL,SLC,LAX,590,N
c-8,c-10,c-3,951,AS,PDX,SNA,859,N
c-8,c-20,c-6,827,MQ,LAW,DFW,140,N
c-5,c-6,c-6,653,F9,DEN,DFW,641,N
c-8,c-10,c-4,1440,OH,CVG,LEX,70,N
c-3,c-11,c-5,1218,AA,ORD,MSP,334,N
c-5,c-7,c-7,723,AA,TUS,ORD,1437,N
c-9,c-27,c-2,1341,XE,EWR,RDU,416,Y
c-1,c-9,c-7,1005,WN,SAT,BWI,1407,N
c-10,c-17,c-2,1202,NW,GRR,DTW,120,N
c-4,c-11,c-2,1611,YV,IAD,MDW,577,N
c-1,c-11,c-2,1621,AA,LAX,STL,1593,N
c-6,c-18,c-7,2026,US,CLT,IND,428,Y
c-10,c-27,c-4,1021,US,MCI,PHL,1038,N
