"Music","Slow songs or fast songs","Dance","Folk","Country","Classical music","Musical","Pop","Rock","Metal or Hardrock","Punk","Hiphop, Rap","Reggae, Ska","Swing, Jazz","Rock n roll","Alternative","Latino","Techno, Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci-fi","War","Fantasy/Fairy tales","Animated","Documentary","Western","Action","History","Psychology","Politics","Mathematics","Physics","Internet","PC","Economy Management","Biology","Chemistry","Reading","Geography","Foreign languages","Medicine","Law","Cars","Art exhibitions","Religion","Countryside, outdoors","Dancing","Musical instruments","Writing","Passive sport","Active sport","Gardening","Celebrities","Shopping","Science and technology","Theatre","Fun with friends","Adrenaline sports","Pets","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous dogs","Fear of public speaking","Smoking","Alcohol","Healthy eating","Daily events","Prioritising workload","Writing notes","Workaholism","Thinking ahead","Final judgement","Reliability","Keeping promises","Loss of interest","Friends versus money","Funniness","Fake","Criminal damage","Decision making","Elections","Self-criticism","Judgment calls","Hypochondria","Empathy","Eating to survive","Giving","Compassion to animals","Borrowed stuff","Loneliness","Cheating in school","Health","Changing the past","God","Dreams","Charity","Number of friends","Punctuality","Lying","Waiting","New environment","Mood swings","Appearence and gestures","Socializing","Achievements","Responding to a serious letter","Children","Assertiveness","Getting angry","Knowing the right people","Public speaking","Unpopularity","Life struggles","Happiness in life","Energy levels","Small - big dogs","Personality","Finding lost valuables","Getting up","Interests or hobbies","Parents' advice","Questionnaires or polls","Internet usage","Finances","Shopping centres","Branded clothing","Entertainment spending","Spending on looks","Spending on gadgets","Spending on healthy eating","Age","Height","Weight","Number of siblings","Gender","Left - right handed","Education","Only child","Village - town","House - block of flats"
5,3,5,2,2,5,5,3,4,4,3,1,2,4,4,3,1,1,5,5,5,4,4,1,4,4,2,2,4,4,5,5,3,5,4,4,4,4,2,2,4,5,3,5,3,5,4,5,3,4,1,3,3,3,3,1,1,1,4,5,4,3,3,3,2,1,2,3,3,3,2,2,1,"tried smoking","drink a lot",3,5,5,3,3,3,5,5,5,4,5,3,2,5,3,5,3,4,3,5,3,1,5,5,3,2,3,3,3,3,4,4,"i am always on time","only to avoid hurting someone",3,3,3,3,4,2,3,2,5,3,3,1,4,2,3,5,3,3,3,3,3,2,3,"few hours a day",4,1,1,1,3,2,3,25,184,85,3,"male","left handed","college/bachelor degree","no","village","house/bungalow"
5,3,2,3,3,4,5,3,3,1,4,2,2,3,4,2,4,1,4,5,5,5,5,5,5,5,5,5,5,1,4,5,2,4,1,1,4,2,2,3,2,5,5,4,3,5,4,2,2,4,2,1,2,5,5,2,3,3,4,3,4,2,5,2,3,3,2,5,3,3,1,2,3,"tried smoking","social drinker",3,5,5,5,4,3,3,4,3,1,3,3,2,3,2,1,5,2,1,5,2,5,5,5,4,2,4,5,1,3,3,2,"i am often early","sometimes",2,3,3,4,2,3,4,5,2,4,4,2,3,5,3,4,1,3,4,1,4,4,2,"few hours a day",4,3,1,2,3,1,5,20,170,62,1,"female","right handed","college/bachelor degree","no","city","house/bungalow"
5,3,3,2,1,3,2,4,4,1,5,4,5,5,5,3,3,1,2,3,3,4,4,2,3,5,5,3,4,1,3,3,3,3,1,1,2,1,1,3,2,3,3,4,2,1,3,5,1,4,2,3,2,3,5,1,4,5,3,2,5,5,5,1,5,5,2,5,4,4,4,1,2,"current smoker","social drinker",3,3,1,4,3,3,2,4,4,1,5,5,2,1,3,5,4,5,5,5,1,3,5,4,3,5,3,2,3,4,1,5,"i am always on time","sometimes",2,3,3,5,4,3,3,3,2,3,4,3,3,3,4,3,3,4,4,4,4,3,4,"less than an hour a day",1,5,2,3,4,1,3,19,170,60,2,"female","right handed","secondary school","no","village","house/bungalow"
5,2,4,3,3,4,3,2,5,4,3,5,4,5,4,2,4,2,2,5,1,4,5,3,3,5,3,4,4,3,4,4,4,4,4,3,4,5,3,2,2,4,5,3,2,4,3,3,4,4,1,1,1,5,5,1,1,1,4,4,5,4,3,4,3,1,4,5,4,2,1,4,5,"never smoked","social drinker",3,5,3,1,4,4,2,4,5,1,5,2,1,1,4,5,4,4,1,5,2,4,4,5,4,2,4,3,2,4,2,1,"i am often early","only to avoid hurting someone",3,2,2,3,2,2,5,4,4,2,3,5,4,4,2,3,2,4,4,2,2,2,4,"few hours a day",5,1,3,4,2,4,5,21,,,1,"male","right handed","secondary school","no","village","house/bungalow"
5,4,5,5,5,5,1,4,5,4,3,4,4,4,5,3,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2,3,2,5,5,5,5,4,4,5,4,5,4,4,5,5,5,4,5,5,4,5,"tried smoking","social drinker",4,4,3,4,,4,3,3,5,4,4,5,4,4,5,4,5,4,5,4,5,4,5,4,3,3,5,4,5,4,4,4,"i am always on time","only to avoid hurting someone",3,4,5,3,4,4,3,5,4,5,3,5,3,4,3,5,4,5,4,5,4,5,3,"few hours a day",3,4,5,4,5,4,4,23,184,82,2,"male","right handed","secondary school","no","village","house/bungalow"
5,4,5,1,2,2,5,5,5,1,1,5,4,4,5,2,5,4,1,5,2,5,5,5,3,3,5,1,3,2,5,1,3,2,1,1,5,5,4,1,1,3,2,5,1,1,3,1,1,3,5,1,1,3,5,1,5,5,1,4,5,3,4,1,2,2,5,5,5,5,5,5,1,"tried smoking","social drinker",5,5,3,5,3,3,5,5,5,3,5,5,1,5,3,5,5,5,3,5,1,2,1,2,3,3,3,5,4,1,1,5,"i am often running late","never",2,4,3,5,4,4,4,3,5,5,5,2,1,3,4,4,2,4,3,4,4,4,1,"few hours a day",2,5,4,5,4,3,2,21,176,55,1,"female","right handed","secondary school","no","village","house/bungalow"
5,3,1,3,3,5,1,2,4,2,3,3,2,4,5,5,1,2,5,5,5,5,5,3,5,5,5,5,5,3,5,5,3,4,5,5,5,5,4,3,3,5,4,4,3,4,3,5,1,5,2,5,5,5,1,4,1,4,4,5,5,2,1,1,1,1,2,4,4,2,1,3,3,"tried smoking","drink a lot",4,2,3,2,3,5,1,5,5,5,5,5,2,1,3,5,5,5,1,1,1,1,2,5,2,1,1,3,3,3,3,5,"i am always on time","sometimes",5,5,2,5,5,4,1,3,5,1,4,3,1,1,3,2,2,4,3,4,5,3,3,"most of the day",3,3,3,4,4,3,4,20,170,62,1,"male","right handed","secondary school","no","city","block of flats"
5,4,4,2,3,3,4,5,5,2,5,4,2,2,2,4,3,5,2,5,1,3,5,4,3,3,5,5,4,2,5,3,3,3,3,4,5,4,4,5,5,5,4,5,5,4,5,3,3,5,2,1,1,3,3,3,4,4,5,4,5,4,4,2,2,1,2,3,4,1,1,5,3,"never smoked","social drinker",3,3,4,5,5,5,5,5,5,3,5,3,2,1,4,5,5,5,1,5,3,1,5,5,4,1,3,2,5,3,2,3,"i am often early","sometimes",4,2,3,4,2,2,3,3,5,2,4,5,3,1,4,3,2,3,3,1,2,4,3,"few hours a day",5,4,4,3,4,5,4,20,168,69,1,"female","right handed","secondary school","no","village","house/bungalow"
4,3,2,2,2,3,3,3,5,4,3,2,2,5,5,4,3,1,2,5,1,3,5,2,3,2,4,4,5,3,4,4,3,3,3,3,4,3,2,5,5,4,5,5,5,4,4,4,2,2,1,1,2,2,3,2,4,4,5,4,4,2,3,3,2,2,3,5,4,3,3,3,3,"tried smoking","social drinker",3,4,4,3,2,4,3,3,3,2,4,4,2,2,3,1,4,5,2,3,2,2,4,4,4,4,3,2,5,3,3,3,"i am often early","sometimes",3,3,3,3,2,3,3,5,3,4,3,4,3,5,3,3,3,3,4,4,3,3,4,"less than an hour a day",3,3,3,2,4,3,4,18,173,55,3,"female","right handed","primary school","no","city","block of flats"
1,3,2,2,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,4,5,1,5,3,1,5,1,1,3,4,5,3,1,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,1,3,5,1,1,5,5,1,3,3,1,1,5,4,1,3,1,1,1,1,1,1,5,3,1,"former smoker","social drinker",1,3,1,1,1,3,1,3,4,3,5,5,2,,3,1,3,3,1,3,3,3,3,1,2,5,3,3,3,3,1,3,"i am often running late","sometimes",3,3,2,3,3,4,3,5,5,4,5,3,3,1,4,5,1,4,1,3,5,3,1,"few hours a day",1,5,5,5,5,3,3,27,180,80,2,"male","right handed","secondary school","no","city","block of flats"
5,4,1,1,1,1,1,1,4,5,3,2,1,1,3,1,1,2,1,4,4,2,3,1,1,4,1,1,3,1,2,3,3,2,3,4,4,1,1,4,4,3,1,3,5,3,1,2,1,3,1,1,1,1,3,1,1,4,1,2,4,3,1,1,1,1,3,4,1,1,3,5,1,"current smoker","drink a lot",3,2,3,3,4,3,1,3,3,1,3,2,2,4,3,3,2,5,1,4,2,1,4,4,3,2,3,3,1,4,1,4,"i am always on time","sometimes",2,4,4,4,3,3,4,3,2,3,4,2,3,4,3,4,3,4,1,2,3,3,3,"few hours a day",3,4,5,5,5,2,5,17,163,68,0,"female","right handed","secondary school","yes","city","block of flats"
5,3,4,1,3,2,5,4,3,1,2,3,1,2,4,4,3,2,3,5,1,3,5,5,3,2,5,5,4,2,4,2,3,1,2,1,5,4,3,2,2,5,5,5,1,2,1,4,3,4,3,4,3,3,2,2,2,2,2,5,5,4,5,3,3,2,4,5,3,3,3,1,1,"never smoked","social drinker",3,2,5,5,4,3,3,3,4,3,4,4,2,1,3,3,5,5,2,5,5,3,5,5,3,1,3,4,5,3,1,3,"i am always on time","sometimes",2,3,4,3,2,2,4,3,3,2,4,4,3,4,4,4,3,3,2,2,2,1,5,"few hours a day",3,4,3,2,2,3,3,19,178,60,1,"female","right handed","primary school","no","village","house/bungalow"
5,4,2,1,3,2,3,4,3,1,1,4,3,1,2,2,1,3,2,5,3,2,5,3,5,5,3,4,5,1,5,2,1,5,2,4,5,4,2,5,5,3,3,5,5,3,4,1,2,4,5,5,1,2,4,1,3,3,5,3,5,4,5,1,1,1,3,1,1,2,4,3,2,"tried smoking","social drinker",4,5,3,1,3,1,2,4,4,2,3,4,2,5,3,4,1,4,1,2,4,1,4,5,4,5,4,2,5,4,1,2,"i am always on time","only to avoid hurting someone",2,4,2,4,5,4,4,2,2,1,5,4,5,1,4,5,5,3,1,5,2,4,2,"few hours a day",2,5,5,5,4,5,3,18,182,70,2,"male","right handed","primary school","no","village","house/bungalow"
5,5,5,1,1,1,2,3,1,1,1,5,2,1,1,1,2,5,1,5,5,5,5,1,3,5,3,3,5,3,5,5,3,4,1,2,5,3,3,1,1,1,5,3,1,3,5,2,1,2,1,1,1,5,5,1,3,5,5,1,5,5,,1,1,1,3,1,1,1,3,2,1,"current smoker","social drinker",1,5,3,5,3,5,1,5,5,3,3,5,3,1,3,3,5,5,1,3,3,3,4,5,2,5,3,5,1,3,3,5,"i am always on time","only to avoid hurting someone",3,5,3,5,5,3,3,3,3,1,5,5,5,1,3,5,3,3,3,3,5,5,3,"less than an hour a day",,5,5,5,5,3,3,26,192,90,1,"male","right handed","secondary school","no","city","block of flats"
5,3,4,3,3,4,2,1,3,1,2,5,4,4,2,5,3,1,3,5,3,3,5,3,2,3,4,5,4,3,4,3,3,1,1,1,3,4,1,5,5,3,1,5,3,2,4,3,2,4,2,5,1,5,5,3,1,3,4,2,5,3,5,1,3,2,2,2,3,2,1,4,3,"tried smoking","drink a lot",4,2,2,2,1,2,2,3,5,2,4,4,2,5,4,4,2,4,1,4,2,3,5,5,2,5,3,1,2,3,1,4,"i am always on time","only to avoid hurting someone",2,4,3,3,4,3,4,3,3,2,4,5,3,1,5,4,3,4,3,4,5,4,3,"few hours a day",2,3,2,5,4,2,3,18,200,90,2,"male","right handed","secondary school","no","village","house/bungalow"
5,3,4,5,1,4,3,3,5,5,4,5,5,5,4,4,3,4,3,5,4,5,5,3,4,3,4,5,4,3,2,3,4,1,4,4,5,5,3,2,1,3,5,5,3,3,4,4,1,5,1,5,3,3,5,3,1,2,5,3,5,4,4,1,2,1,1,2,2,1,1,3,3,"current smoker","drink a lot",3,3,4,3,5,4,1,5,3,5,5,5,1,3,1,5,1,5,1,5,4,5,5,5,2,5,2,1,1,3,2,5,"i am often early","sometimes",5,5,2,3,4,3,1,5,5,2,3,5,5,1,5,3,4,3,2,2,4,2,3,"few hours a day",1,3,1,3,1,1,5,30,178,71,2,"male","right handed","masters degree","no","city","block of flats"
5,3,3,2,4,4,3,5,5,3,3,2,1,4,3,3,3,1,1,5,1,3,5,5,3,3,5,5,3,3,3,2,3,1,2,2,3,2,2,1,1,3,3,3,1,1,1,1,2,4,1,1,2,4,2,3,3,4,3,2,3,1,1,1,2,1,2,2,4,2,3,5,5,"never smoked","social drinker",2,4,1,4,2,5,3,4,4,1,3,2,2,5,5,4,5,3,1,4,2,1,4,4,5,4,4,2,1,4,1,1,"i am often running late","sometimes",2,1,5,4,3,4,5,2,3,4,4,5,5,5,4,1,1,3,2,4,1,4,3,"few hours a day",4,5,2,1,4,2,4,24,153,42,1,"female","right handed","secondary school","no","city","house/bungalow"
5,3,3,3,2,3,1,4,2,2,1,4,3,4,2,2,5,2,2,5,1,2,5,3,2,2,4,5,4,1,4,4,5,2,3,2,5,3,2,5,3,5,3,4,2,2,2,3,3,4,5,4,4,5,5,2,2,3,3,3,5,5,5,4,2,1,3,1,3,1,5,5,2,"tried smoking","social drinker",1,3,2,3,5,5,3,3,5,3,5,4,2,5,5,2,4,5,1,4,3,5,5,5,2,5,4,2,5,2,3,5,"i am always on time","sometimes",1,3,3,5,3,3,4,4,5,3,4,4,5,3,3,3,3,3,3,5,5,2,2,"few hours a day",4,4,5,2,5,3,3,20,168,51,0,"female","right handed","secondary school","yes","village","house/bungalow"
5,3,2,2,3,5,4,4,5,3,4,3,3,2,3,5,2,1,2,5,4,3,4,3,4,5,2,4,3,1,5,2,4,3,1,3,5,4,4,1,1,1,1,2,1,1,2,1,3,1,1,1,1,4,1,1,1,2,4,2,3,1,1,3,1,2,1,1,3,1,2,4,3,"tried smoking","social drinker",1,2,1,5,2,2,1,3,5,3,4,5,2,5,5,5,5,4,3,3,3,3,5,5,4,5,3,5,3,3,2,2,"i am always on time","sometimes",2,3,4,4,2,2,3,2,4,4,4,4,5,3,3,3,2,3,1,5,3,2,3,"few hours a day",4,3,1,2,2,4,2,20,172,56,1,"male","right handed","secondary school","no","village","house/bungalow"
5,4,2,3,2,4,4,2,5,2,4,3,4,4,5,5,3,2,2,5,3,3,4,2,5,5,2,4,5,3,5,3,3,4,4,4,5,4,4,2,2,4,4,4,3,2,5,3,3,4,3,3,1,4,2,1,1,2,5,3,5,4,3,1,2,2,2,4,4,2,1,4,2,"tried smoking","social drinker",3,3,3,4,4,2,3,3,2,4,4,4,2,1,4,5,5,4,1,3,2,3,4,4,3,5,3,3,3,4,3,3,"i am often running late","only to avoid hurting someone",2,3,2,3,3,2,5,3,3,2,2,4,4,1,4,4,2,3,3,4,3,3,3,"few hours a day",3,2,4,4,3,4,5,20,176,64,1,"male","right handed","secondary school","no","village","house/bungalow"
5,5,5,5,4,,3,4,5,3,3,5,3,2,,1,,3,1,5,3,3,5,1,3,1,5,5,3,1,5,2,1,3,1,1,5,3,3,1,1,1,4,2,1,1,1,1,2,,4,1,1,5,3,5,5,5,3,3,5,3,5,5,5,3,5,1,2,3,5,3,5,"tried smoking","social drinker",3,3,4,3,3,5,5,5,5,1,5,3,1,1,1,5,5,5,5,5,1,5,5,5,5,4,3,5,5,3,3,1,"i am often running late","only to avoid hurting someone",1,3,5,3,3,1,1,5,3,3,4,5,5,3,2,3,3,3,5,5,4,4,3,"few hours a day",3,3,3,4,3,1,5,25,164,54,1,,"right handed","secondary school","no","village","house/bungalow"
5,2,2,4,3,5,3,2,4,3,3,2,3,5,3,4,4,1,3,5,2,4,3,3,2,4,4,5,5,2,4,5,4,3,3,4,4,4,2,4,4,5,5,5,4,3,4,4,4,4,1,1,2,4,2,1,1,3,3,5,3,1,3,1,1,1,2,1,1,1,3,1,3,"former smoker","social drinker",3,2,1,1,1,2,4,3,4,1,5,3,2,1,5,3,4,5,1,4,3,2,3,2,1,2,3,3,4,3,1,2,"i am always on time","everytime it suits me",3,3,3,3,3,3,4,3,5,2,1,5,5,2,4,3,3,3,5,4,2,2,3,"few hours a day",2,3,3,2,2,3,2,19,168,68,3,"female","right handed","secondary school","no","village","house/bungalow"
4,3,3,5,3,4,2,3,3,1,2,1,2,5,4,4,3,2,3,5,1,2,3,2,5,5,3,3,4,3,3,3,3,2,3,3,3,3,3,4,5,4,3,4,4,2,1,5,3,5,4,4,1,4,2,4,1,2,4,4,5,2,5,3,3,3,4,1,2,1,3,3,3,"tried smoking","social drinker",4,3,3,4,3,3,3,4,4,3,4,3,2,1,5,5,5,5,1,5,2,2,3,3,3,3,3,3,4,3,2,3,"i am often early","sometimes",3,3,3,3,4,2,3,4,3,3,2,3,4,2,2,3,3,3,3,2,4,4,3,"few hours a day",5,1,1,1,1,1,4,20,157,48,2,"female","right handed","secondary school","no","village","house/bungalow"
4,3,4,2,4,1,1,4,3,1,4,2,5,3,3,2,2,3,3,3,1,3,4,1,2,2,3,2,3,3,5,2,1,1,4,2,5,5,2,3,2,1,5,3,2,2,2,2,2,5,2,4,1,5,3,2,1,2,4,2,4,5,1,1,1,1,1,1,2,1,3,2,2,"tried smoking","social drinker",2,2,1,2,1,3,3,3,5,2,4,3,3,3,3,4,4,4,1,5,5,3,3,4,2,5,2,2,5,3,1,4,"i am always on time","sometimes",3,4,2,4,4,3,4,4,4,1,3,4,3,2,5,4,3,3,1,3,4,4,2,"few hours a day",1,2,2,4,1,2,2,21,173,73,5,"male","right handed","secondary school","no","village","house/bungalow"
5,2,2,5,4,5,5,5,3,1,3,4,3,3,3,3,5,2,3,4,1,3,4,4,4,4,4,4,4,2,4,4,4,4,3,1,4,2,5,2,2,5,4,5,2,1,2,3,3,4,5,1,1,5,4,1,3,5,3,3,5,3,4,2,3,3,2,5,5,2,3,4,2,"tried smoking","drink a lot",3,4,3,4,3,3,2,4,4,4,4,2,2,4,2,5,4,4,2,5,2,2,4,3,2,5,4,5,5,3,2,4,"i am often running late","only to avoid hurting someone",3,4,4,5,4,2,2,2,4,3,4,3,2,3,4,5,4,4,2,5,5,4,3,"few hours a day",3,5,4,2,4,2,3,19,173,63,1,"female","right handed","secondary school","no","village","house/bungalow"
5,1,3,2,3,2,2,4,5,3,3,1,2,3,5,1,5,1,1,5,4,4,5,5,2,1,4,3,3,1,3,2,4,2,2,1,5,3,4,2,1,3,4,5,4,4,3,2,1,5,5,4,3,4,2,4,5,5,2,3,5,2,5,3,2,1,2,1,4,3,3,3,2,"tried smoking","social drinker",4,5,4,5,4,4,5,5,5,4,5,5,1,4,3,1,3,5,3,5,5,5,,5,3,1,5,1,3,4,2,5,"i am always on time","only to avoid hurting someone",1,5,5,5,1,2,1,5,5,1,5,5,5,5,4,4,2,3,3,5,5,4,5,"few hours a day",5,5,5,2,5,5,5,19,171,55,0,"female","right handed","secondary school","yes","village","house/bungalow"
5,3,1,2,4,4,1,2,3,2,2,3,4,5,3,1,4,3,1,5,4,5,5,5,5,5,2,3,3,2,5,1,2,4,4,1,5,4,5,1,1,1,5,5,1,3,1,1,1,5,2,5,1,5,2,3,2,4,2,1,5,1,1,1,1,2,1,2,3,3,5,5,5,"never smoked","social drinker",3,2,1,5,5,4,5,5,5,1,4,5,2,3,4,5,5,4,4,5,5,5,4,5,5,5,5,5,3,3,1,2,"i am often running late","only to avoid hurting someone",3,2,5,4,1,1,1,1,1,2,3,5,5,2,3,1,1,1,5,5,3,3,1,"few hours a day",4,1,1,3,1,5,4,19,168,60,2,"female","right handed","secondary school","no","village","block of flats"
4,4,4,2,2,4,3,4,4,4,4,4,4,2,4,3,4,4,1,5,5,5,5,5,4,3,4,4,3,2,3,1,4,1,1,1,4,2,2,4,4,4,1,3,3,2,2,2,2,4,4,1,3,5,5,3,3,3,2,3,4,3,5,2,1,,4,4,2,1,5,3,3,"current smoker","social drinker",4,2,2,2,3,4,4,4,3,1,4,2,3,4,5,1,4,4,2,4,2,4,5,4,2,5,4,2,3,2,2,3,"i am always on time","sometimes",3,1,3,4,1,4,3,4,3,3,4,4,4,4,5,4,2,3,2,4,3,3,3,"few hours a day",4,3,2,3,3,3,4,18,165,48,1,"female","right handed","primary school","no","city","block of flats"
4,4,4,4,3,2,1,4,5,4,4,2,4,1,3,4,5,1,1,3,1,1,5,5,2,2,5,5,4,2,3,1,1,1,5,4,5,2,5,2,2,1,1,2,1,3,3,1,1,2,2,1,1,4,2,3,3,5,2,1,5,3,5,2,1,3,1,4,4,4,1,5,4,"never smoked","social drinker",2,2,3,1,4,5,1,4,4,2,3,3,3,2,5,1,5,4,3,1,1,3,4,4,4,2,3,4,1,4,1,2,"i am always on time","sometimes",1,4,5,2,4,5,3,4,4,5,4,4,2,2,5,3,4,3,2,2,2,4,4,"few hours a day",5,4,2,1,1,1,3,18,168,65,1,"female","right handed","college/bachelor degree","no","village","house/bungalow"
5,3,1,1,1,3,3,3,5,4,2,1,1,3,4,2,4,1,2,5,1,2,5,3,1,4,5,5,3,2,3,5,5,4,1,1,5,1,1,2,3,5,4,4,1,5,2,1,5,2,1,1,3,5,1,3,1,5,1,4,5,1,3,1,1,2,1,2,5,3,1,1,2,"tried smoking","never",3,1,2,1,2,3,4,2,3,4,5,1,5,1,5,5,5,3,1,3,1,3,4,4,3,5,2,2,5,4,1,3,"i am often running late","sometimes",3,5,3,5,4,3,3,5,3,2,4,3,3,2,4,4,4,3,3,3,2,3,2,"few hours a day",3,5,3,3,4,2,3,16,174,64,0,"female","right handed","secondary school","yes","city","block of flats"
1,3,3,3,2,3,5,4,4,3,3,2,4,3,4,2,4,1,1,5,2,3,5,3,3,5,5,5,5,2,5,5,4,5,3,2,5,3,2,3,4,5,2,5,2,5,2,5,2,2,2,2,2,4,4,3,2,5,5,5,5,1,5,1,3,4,5,1,1,1,5,5,1,"tried smoking","drink a lot",4,3,5,1,5,3,2,5,5,4,5,5,1,1,3,5,3,3,5,5,3,5,5,5,2,3,5,3,3,3,1,3,"i am often early","sometimes",1,3,4,4,3,3,5,3,3,3,5,1,3,4,4,5,3,3,3,1,3,4,3,"less than an hour a day",3,5,5,5,5,5,5,19,171,57,0,"female","right handed","secondary school","yes","city","block of flats"
5,4,4,2,1,3,3,4,3,1,1,5,4,3,2,2,5,3,2,4,3,2,5,5,2,3,5,5,4,2,3,2,2,3,4,1,4,1,5,1,1,4,5,5,2,1,4,2,1,4,4,2,1,5,2,1,2,4,3,2,5,5,5,1,1,5,1,5,1,4,3,3,5,"former smoker","social drinker",2,5,4,4,4,3,1,5,5,4,2,2,1,5,2,1,5,4,2,5,3,5,4,5,2,5,3,4,1,3,1,3,"i am often early","only to avoid hurting someone",3,3,4,4,5,3,3,5,4,3,5,2,3,4,4,4,3,4,1,5,4,2,2,"few hours a day",3,5,3,4,4,2,3,18,173,64,3,"female","right handed","secondary school","no","city","house/bungalow"
5,2,2,1,2,2,3,4,2,1,1,5,3,2,3,2,4,1,1,5,5,4,5,5,3,4,5,5,3,2,3,2,3,2,2,2,4,2,4,2,1,1,2,5,1,1,2,1,1,3,2,1,1,2,2,1,3,5,3,3,5,1,3,3,1,2,2,4,2,2,2,4,2,"former smoker","drink a lot",4,3,3,5,2,2,,3,2,2,4,4,2,3,2,1,3,2,2,4,1,2,4,3,2,4,3,3,4,3,1,3,"i am always on time","everytime it suits me",2,4,3,5,3,3,4,4,2,4,5,4,3,3,4,3,2,4,3,3,2,2,2,"few hours a day",1,5,4,3,5,4,4,19,157,48,2,"female","right handed","primary school","no","city","house/bungalow"
5,3,4,2,1,5,2,2,4,1,3,3,3,4,4,4,2,2,4,5,1,3,5,3,3,3,4,4,2,1,4,4,2,4,1,2,3,1,3,4,2,4,4,3,2,3,2,4,2,3,3,2,3,2,4,3,1,4,3,4,4,3,4,5,4,3,4,5,5,3,5,3,4,"former smoker","social drinker",3,4,3,2,3,2,1,3,3,2,3,3,2,5,2,5,3,4,1,3,2,4,5,4,2,3,4,2,2,3,3,4,"i am often running late","sometimes",2,2,4,5,4,3,4,3,4,4,5,4,4,5,3,4,3,3,3,4,3,3,3,"less than an hour a day",3,4,4,3,4,2,4,21,173,59,1,"female","left handed","secondary school","yes","city","block of flats"
3,4,2,1,1,1,1,2,3,2,1,2,2,2,2,2,1,2,1,3,3,3,5,3,3,4,5,5,4,3,4,3,3,5,2,2,5,5,4,2,2,1,3,3,2,4,5,3,1,3,1,1,1,5,5,2,3,2,3,2,4,5,3,2,3,2,3,3,3,3,5,3,2,"former smoker","never",3,4,1,2,1,3,1,3,4,1,3,5,3,3,3,5,3,3,2,3,2,2,3,3,3,5,4,3,1,4,1,4,"i am always on time","sometimes",1,3,4,3,3,4,2,4,3,4,3,2,3,2,4,3,3,3,3,2,2,2,2,"few hours a day",2,1,4,3,2,3,4,21,180,80,1,"male","right handed","college/bachelor degree","no","city","block of flats"
5,4,2,1,1,3,5,3,3,1,2,5,3,3,3,3,2,1,4,5,3,3,4,4,4,5,4,3,3,2,4,3,4,4,4,5,4,3,1,2,1,2,2,5,3,5,4,3,1,2,1,1,2,5,3,1,5,5,3,4,5,3,5,2,4,5,2,5,5,5,3,4,4,"tried smoking","social drinker",4,4,2,4,2,5,3,4,3,4,2,3,1,4,5,3,4,4,1,5,1,5,5,4,2,4,3,1,4,4,2,3,"i am often early","only to avoid hurting someone",4,4,3,4,3,4,4,4,5,4,3,5,1,2,5,4,5,4,3,4,3,5,3,"few hours a day",5,5,4,3,4,3,5,18,180,60,1,"female","right handed","secondary school","yes","city","block of flats"
3,3,3,2,1,2,5,5,4,1,1,1,1,2,2,1,4,1,3,5,1,5,5,4,4,2,3,2,2,1,3,3,3,2,1,1,4,3,4,2,1,4,1,5,2,2,1,5,4,3,2,2,2,2,2,2,2,5,2,5,5,1,2,2,2,2,4,,3,3,2,5,1,"never smoked","never",3,4,5,5,4,5,1,5,5,1,5,2,1,3,3,5,4,5,1,5,1,3,3,4,3,2,3,2,5,4,3,3,"i am often early","sometimes",4,3,3,4,3,4,2,4,4,2,4,3,4,4,4,3,1,3,3,1,3,4,3,"less than an hour a day",5,4,3,3,4,3,3,21,175,63,0,"female","right handed","secondary school","yes","city","block of flats"
,3,2,1,2,4,5,5,5,1,4,1,2,4,5,4,3,1,2,5,2,4,2,2,4,4,4,3,4,2,2,4,5,2,4,1,4,3,2,5,3,5,2,5,5,1,1,2,2,2,1,1,4,2,1,4,3,2,5,3,2,1,1,3,1,2,4,1,2,2,1,5,4,"never smoked","social drinker",4,4,4,5,5,5,3,5,4,2,3,4,4,5,3,2,5,5,5,4,1,4,4,4,5,2,4,4,3,2,1,1,"i am often early","everytime it suits me",1,1,5,4,1,1,4,2,2,2,2,5,5,5,2,3,3,3,4,5,1,4,4,"few hours a day",5,1,2,1,1,2,5,17,178,70,0,"female","right handed","secondary school","yes","city","block of flats"
5,3,5,2,4,3,5,5,5,2,3,2,3,3,4,3,5,2,1,5,5,5,5,4,2,1,5,5,2,1,4,1,5,2,1,1,5,1,1,3,1,5,1,3,3,1,1,1,1,2,1,1,1,2,3,1,5,5,1,4,5,1,5,5,3,3,2,5,4,5,3,5,4,"tried smoking","social drinker",3,2,3,5,1,3,3,4,4,3,4,2,3,2,3,1,2,4,1,5,3,1,5,4,2,5,3,2,1,3,1,3,"i am always on time","everytime it suits me",1,3,4,4,1,3,3,3,3,5,1,5,3,3,4,2,1,4,1,5,2,3,3,"most of the day",3,2,1,1,4,2,3,20,160,46,0,"female","right handed","secondary school","yes","city","block of flats"
